"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
11,1961,777,10," ",8," "
11,1962,777,11," ",9," "
11,1963,777,0," ",0," "
11,1964,777,0," ",0," "
11,1965,777,0," ",0," "
11,1966,777,0," ",0," "
11,1967,777,0," ",0," "
11,1968,777,0," ",0," "
11,1969,777,0," ",0," "
11,1970,777,0," ",0," "
11,1971,777,0," ",0," "
11,1972,777,0," ",0," "
11,1973,777,0," ",0," "
11,1974,777,0," ",0," "
11,1975,777,0," ",0," "
11,1976,777,0," ",0," "
11,1977,777,0," ",0," "
11,1978,777,0," ",0," "
11,1979,777,0," ",0," "
11,1980,777,0," ",0," "
11,1981,777,0," ",0," "
11,1982,777,0," ",0," "
11,1983,777,0," ",0," "
11,1984,777,0," ",0," "
11,1985,777,0," ",0," "
11,1986,777,0," ",0," "
11,1987,777,0," ",0," "
11,1988,777,0," ",0," "
11,1989,777,0," ",0," "
11,1990,777,0," ",0," "
11,1991,777,0," ",0," "
11,1992,777,1,"F",9," "
11,1993,777,0,"F",4," "
11,1994,777,0,"F",3," "
11,1995,777,200," ",1200,"F"
11,1996,777,0," ",0,"M"
11,1997,777,0," ",0,"M"
11,1998,777,0," ",0,"M"
11,1999,777,0," ",0,"M"
11,2000,777,0," ",0,"M"
11,2001,777,0," ",0,"M"
11,2002,777,0," ",0,"M"
11,2003,777,400," ",2500,"F"
11,2004,777,400," ",2500,"F"
11,2005,777,300," ",1900,"F"
11,2006,777,600," ",3700,"F"
11,2007,777,400," ",2500,"F"
11,2008,777,300," ",1900,"F"
11,2009,777,400," ",2500,"F"
11,2010,777,540," ",3321," "
11,2011,777,512," ",3139," "
27,1961,777,11971," ",10800," "
27,1962,777,10965," ",5959," "
27,1963,777,10459," ",6284," "
27,1964,777,10180," ",8187," "
27,1965,777,11412," ",7371," "
27,1966,777,15108," ",12235," "
27,1967,777,13698," ",12655," "
27,1968,777,11459," ",6867," "
27,1969,777,11677," ",9501," "
27,1970,777,10039," ",8865," "
27,1971,777,9397," ",7533," "
