"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
27,1961,336,11971," ",1400,"F"
27,1962,336,10965," ",1400,"F"
27,1963,336,10459," ",1300,"F"
27,1964,336,10180," ",1500,"F"
27,1965,336,11412," ",2000,"F"
27,1966,336,15108," ",1800,"F"
27,1967,336,13698," ",1490," "
27,1968,336,11459," ",1500,"F"
27,1969,336,11677," ",1300,"F"
27,1970,336,10039," ",1200,"F"
27,1971,336,9397," ",1200,"F"
27,1972,336,8870," ",863," "
27,1973,336,7291," ",810," "
27,1974,336,9064," ",860," "
27,1975,336,5557," ",836," "
27,1976,336,7249," ",646," "
27,1977,336,5002," ",680,"F"
27,1978,336,5298," ",740,"F"
27,1979,336,5742," ",426," "
27,1980,336,3908," ",282," "
27,1981,336,5481," ",291," "
27,1982,336,5059," ",569," "
27,1983,336,5361," ",367," "
27,1984,336,5703," ",383," "
27,1985,336,5349," ",226," "
27,1986,336,4582," ",218," "
27,1987,336,2767," ",179," "
27,1988,336,1337," ",67," "
27,1989,336,664," ",91," "
27,1990,336,517," ",39," "
27,1991,336,618," ",2," "
27,1992,336,0,"*",0,"*"
27,1993,336,50," ",1,"F"
27,1994,336,0,"*",0," "
27,1995,336,20," ",1,"F"
27,1996,336,0,"*",0," "
27,1997,336,48," ",1,"F"
27,1998,336,8," ",0," "
27,1999,336,0,"F",0,"F"
27,2000,336,0,"M",0,"M"
27,2001,336,0,"M",0,"M"
27,2002,336,0,"M",0,"M"
27,2003,336,0,"M",0,"M"
27,2004,336,0,"M",0,"M"
27,2005,336,0,"M",0,"M"
27,2006,336,0,"M",0,"M"
27,2007,336,0,"M",0,"M"
27,2008,336,0,"M",0,"M"
27,2009,336,0,"M",0,"M"
27,2010,336,0,"M",0,"M"
27,2011,336,0,"M",0,"M"
40,1961,336,3600,"F",3000,"F"
40,1962,336,3600,"F",3000,"F"
40,1963,336,3600,"F",3000,"F"
40,1964,336,3600,"F",3000,"F"
40,1965,336,3600,"F",3000,"F"
40,1966,336,3600,"F",3000,"F"
40,1967,336,3600,"F",3000,"F"
40,1968,336,3600,"F",3000,"F"
40,1969,336,3600,"F",3200,"F"
40,1970,336,2800,"F",2500,"*"
40,1971,336,2800,"F",2500,"*"
40,1972,336,2400,"F",2400,"*"
40,1973,336,1500,"*",1600,"*"
40,1974,336,1500,"*",1600,"*"
40,1975,336,1600,"*",1700,"*"
40,1976,336,1500,"*",1600,"*"
40,1977,336,1000,"*",1100,"*"
40,1978,336,1000,"*",1100,"*"
40,1979,336,1000,"*",1100,"*"
40,1980,336,1000,"F",1100,"F"
40,1981,336,1000,"F",1100,"F"
40,1982,336,1000,"F",1100,"F"
40,1983,336,1000,"F",1100,"F"
40,1984,336,1000,"F",1100,"F"
40,1985,336,1000,"F",1100,"F"
