"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,677,0,"M",0,"M"
3,1962,677,0,"M",0,"M"
3,1963,677,0,"M",0,"M"
3,1964,677,0,"M",0,"M"
3,1965,677,0,"M",0,"M"
3,1966,677,0,"M",0,"M"
3,1967,677,0,"M",0,"M"
3,1968,677,0,"M",0,"M"
3,1969,677,0,"M",0,"M"
3,1970,677,0,"M",0,"M"
3,1971,677,0,"M",0,"M"
3,1972,677,0,"M",0,"M"
3,1973,677,0,"M",0,"M"
3,1974,677,0,"M",0,"M"
3,1975,677,0,"M",0,"M"
3,1976,677,0,"M",0,"M"
3,1977,677,0,"M",0,"M"
3,1978,677,0,"M",0,"M"
3,1979,677,0,"M",0,"M"
3,1980,677,0,"M",0,"M"
3,1981,677,0,"M",0,"M"
3,1982,677,0,"M",0,"M"
3,1983,677,0,"M",0,"M"
3,1984,677,0,"M",0,"M"
3,1985,677,0,"M",0,"M"
3,1986,677,0,"M",0,"M"
3,1987,677,0,"M",0,"M"
3,1988,677,0,"M",0,"M"
3,1989,677,0,"M",0,"M"
3,1990,677,0,"M",0,"M"
3,1991,677,0,"M",0,"M"
3,1992,677,0,"M",0,"M"
3,1993,677,0,"M",0,"M"
3,1994,677,0,"M",0,"M"
3,1995,677,0,"M",0,"M"
3,1996,677,150," ",100,"F"
3,1997,677,146,"E",110,"E"
3,1998,677,132,"E",101,"E"
3,1999,677,195,"F",130,"F"
3,2000,677,225,"F",150,"F"
3,2001,677,300,"F",200,"F"
3,2002,677,1050,"F",700,"F"
3,2003,677,915,"E",700,"F"
3,2004,677,1350,"F",900,"F"
3,2005,677,1200,"F",800,"F"
3,2006,677,1500,"F",1000,"F"
3,2007,677,1500,"F",1017,"E"
3,2008,677,1500,"F",1065,"E"
3,2009,677,2200,"F",1500,"F"
3,2010,677,2100,"F",1550,"F"
3,2011,677,2200,"F",1600,"F"
9,1961,677,257," ",150," "
9,1962,677,288," ",188," "
9,1963,677,194," ",131," "
9,1964,677,158," ",108," "
9,1965,677,156," ",114," "
9,1966,677,165," ",129," "
9,1967,677,233," ",191," "
9,1968,677,240," ",195," "
9,1969,677,210," ",140," "
9,1970,677,226," ",176," "
9,1971,677,265," ",205," "
9,1972,677,248," ",204," "
9,1973,677,273," ",241," "
9,1974,677,330," ",295," "
9,1975,677,282," ",203," "
9,1976,677,345," ",172," "
9,1977,677,340," ",260," "
9,1978,677,320," ",250," "
9,1979,677,291," ",227," "
9,1980,677,195," ",170," "
9,1981,677,170," ",140," "
9,1982,677,205," ",170," "
9,1983,677,210," ",163," "
9,1984,677,194," ",187," "
9,1985,677,245," ",211," "
9,1986,677,229," ",200," "
9,1987,677,232," ",296," "
9,1988,677,242," ",283," "
9,1989,677,242," ",326," "
9,1990,677,250,"F",300,"F"
9,1991,677,260,"F",310,"F"
9,1992,677,270,"F",320,"F"
9,1993,677,280,"F",330,"F"
9,1994,677,280,"F",396,"E"
9,1995,677,280,"F",345,"E"
9,1996,677,280,"F",274,"E"
9,1997,677,280,"F",218,"E"
9,1998,677,280,"F",288,"E"
9,1999,677,250,"F",300,"F"
9,2000,677,250,"F",300,"F"
9,2001,677,250,"F",300,"F"
9,2002,677,240,"F",290,"F"
9,2003,677,242,"E",292,"E"
9,2004,677,243,"F",293,"F"
9,2005,677,243,"F",286,"E"
9,2006,677,245,"F",295,"F"
9,2007,677,370,"F",450,"F"
9,2008,677,370,"F",450,"F"
9,2009,677,370,"F",450,"F"
9,2010,677,370,"F",450,"F"
9,2011,677,370,"F",450,"F"
10,1961,677,770," ",1681," "
10,1962,677,804," ",1673," "
10,1963,677,836," ",1708," "
10,1964,677,880," ",1009," "
10,1965,677,809," ",1417," "
10,1966,677,809," ",1879," "
10,1967,677,809," ",1311," "
10,1968,677,809," ",1867," "
10,1969,677,809," ",2172," "
10,1970,677,935," ",2048," "
10,1971,677,809," ",1706," "
10,1972,677,948," ",1847," "
10,1973,677,1069," ",2112," "
10,1974,677,1211," ",2864," "
10,1975,677,1140," ",2270," "
10,1976,677,985," ",1875," "
10,1977,677,1011," ",2139," "
10,1978,677,996," ",2160," "
10,1979,677,1003," ",2202," "
10,1980,677,1070," ",2092," "
10,1981,677,1165," ",2309," "
10,1982,677,1300," ",2400," "
10,1983,677,1388," ",2100," "
10,1984,677,1352," ",2589," "
10,1985,677,1289," ",1895," "
10,1986,677,1306," ",1821," "
10,1987,677,1190," ",1744," "
10,1988,677,1203," ",2258," "
10,1989,677,1179," ",2432," "
10,1990,677,1113," ",2066," "
10,1991,677,1054," ",2662," "
10,1992,677,1163," ",2872," "
10,1993,677,1197," ",2748," "
10,1994,677,1007," ",2476," "
10,1995,677,1095," ",2618," "
