"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
138,1961,277,0,"M",0,"M"
138,1962,277,0,"M",0,"M"
138,1963,277,0,"M",0,"M"
138,1964,277,0,"M",0,"M"
138,1965,277,0,"M",0,"M"
138,1966,277,0,"M",0,"M"
138,1967,277,0,"M",0,"M"
138,1968,277,0,"M",0,"M"
138,1969,277,0,"M",0,"M"
138,1970,277,0,"M",0,"M"
138,1971,277,0,"M",0,"M"
138,1972,277,0,"M",0,"M"
138,1973,277,0,"M",0,"M"
138,1974,277,0,"M",0,"M"
138,1975,277,0,"M",0,"M"
138,1976,277,0,"M",0,"M"
138,1977,277,0,"M",0,"M"
138,1978,277,0,"M",0,"M"
138,1979,277,0,"M",0,"M"
138,1980,277,0,"M",0,"M"
138,1981,277,0,"M",0,"M"
138,1982,277,237," ",85," "
138,1983,277,330," ",97," "
138,1984,277,606," ",248," "
138,1985,277,424," ",143," "
138,1986,277,406," ",176," "
138,1987,277,468," ",169," "
138,1988,277,456," ",137," "
138,1989,277,466," ",208," "
138,1990,277,515," ",175," "
138,1991,277,325," ",139," "
138,1992,277,597," ",336," "
138,1993,277,537," ",223," "
138,1994,277,296," ",212," "
138,1995,277,6," ",6," "
138,1996,277,490," ",351," "
138,1997,277,478," ",399," "
138,1998,277,310," ",217," "
138,1999,277,310," ",248," "
138,2000,277,250," ",200," "
138,2001,277,310," ",96," "
138,2002,277,310," ",62," "
138,2003,277,310," ",279," "
138,2004,277,310," ",279," "
138,2005,277,310," ",93," "
138,2006,277,250," ",63," "
138,2007,277,310," ",93," "
138,2008,277,289,"E",95,"E"
138,2009,277,259,"E",78,"E"
138,2010,277,276,"E",105,"E"
138,2011,277,290,"E",115,"F"
