"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
16,1961,780,834000," ",1314540," "
16,1962,780,697300," ",1190160," "
16,1963,780,688000," ",1105200," "
16,1964,780,671800," ",983880," "
16,1965,780,886000," ",1319220," "
16,1966,780,876200," ",1255680," "
16,1967,780,971000," ",1264140," "
16,1968,780,897000," ",1055160," "
16,1969,780,976000," ",1340820," "
16,1970,780,918000," ",1233900," "
16,1971,780,694000," ",777600," "
16,1972,780,896261," ",1201860," "
16,1973,780,888857," ",1115820," "
16,1974,780,583000," ",725760," "
16,1975,780,511000," ",788580," "
16,1976,780,650000," ",872000," "
16,1977,780,735000," ",972000," "
16,1978,780,835000," ",1170000," "
16,1979,780,760000," ",1080000," "
16,1980,780,635000," ",896000," "
16,1981,780,570000," ",842000," "
16,1982,780,575000," ",885000," "
16,1983,780,581000," ",946000," "
16,1984,780,676000," ",928000," "
16,1985,780,924000," ",1378000," "
16,1986,780,1057942," ",1571019," "
16,1987,780,772300," ",1225149," "
16,1988,780,512304," ",877080," "
16,1989,780,543386," ",827810," "
16,1990,780,541704," ",841733," "
16,1991,780,583439," ",961939," "
16,1992,780,588097," ",956751," "
16,1993,780,478300," ",808000," "
16,1994,780,559700," ",964000," "
16,1995,780,458500," ",739000," "
16,1996,780,507236," ",882942," "
16,1997,780,577493," ",1057000," "
16,1998,780,477939," ",812000," "
16,1999,780,407928," ",711000," "
16,2000,780,448335," ",821000," "
16,2001,780,456680," ",858740," "
16,2002,780,436661," ",8e+05," "
16,2003,780,407920," ",794000," "
16,2004,780,390526," ",730000," "
16,2005,780,402000," ",836000," "
16,2006,780,419000," ",884000," "
16,2007,780,440492," ",838682," "
16,2008,780,420473," ",848715," "
16,2009,780,416000," ",923500," "
16,2010,780,416346," ",923464," "
16,2011,780,708723," ",1523315," "
18,1961,780,0," ",0," "
18,1962,780,0," ",0," "
18,1963,780,0," ",0," "
18,1964,780,0," ",0," "
18,1965,780,0," ",0," "
18,1966,780,0," ",0," "
18,1967,780,9,"F",30,"F"
18,1968,780,10,"F",40,"F"
18,1969,780,10,"F",40,"F"
18,1970,780,15,"F",50,"F"
18,1971,780,15,"F",50,"F"
18,1972,780,15,"F",50,"F"
18,1973,780,15,"F",50,"F"
18,1974,780,15,"F",50,"F"
18,1975,780,18,"F",60,"F"
18,1976,780,18,"F",60,"F"
18,1977,780,20,"F",70,"F"
18,1978,780,20,"F",70,"F"
18,1979,780,20,"F",70,"F"
18,1980,780,20,"F",70,"F"
18,1981,780,30,"F",105,"F"
18,1982,780,30,"F",105,"F"
18,1983,780,30,"F",105,"F"
18,1984,780,30," ",105," "
18,1985,780,50,"F",175,"F"
18,1986,780,60,"F",200,"F"
18,1987,780,75,"F",260,"F"
18,1988,780,90," ",300,"F"
18,1989,780,90,"F",315,"F"
18,1990,780,97,"E",320,"F"
18,1991,780,107,"E",363,"E"
18,1992,780,97,"E",326,"E"
18,1993,780,86,"E",330,"F"
18,1994,780,95,"E",350,"F"
18,1995,780,88,"E",309,"E"
18,1996,780,103,"E",390,"E"
18,1997,780,109,"E",415,"E"
18,1998,780,98,"E",350,"E"
18,1999,780,93,"E",351,"E"
18,2000,780,95,"E",364,"E"
18,2001,780,99,"E",403,"E"
18,2002,780,97,"E",387,"E"
18,2003,780,94,"E",385,"E"
18,2004,780,96,"E",354,"E"
18,2005,780,97,"E",384,"E"
18,2006,780,90,"F",350,"F"
18,2007,780,94,"E",391,"E"
18,2008,780,89,"E",377,"E"
18,2009,780,91,"E",376,"E"
18,2010,780,88,"E",410,"F"
18,2011,780,71,"E",282,"E"
21,1961,780,35628," ",48219," "
21,1962,780,40688," ",47477," "
21,1963,780,36094," ",44122," "
21,1964,780,41795," ",51235," "
21,1965,780,47269," ",61585," "
21,1966,780,33692," ",44457," "
21,1967,780,43173," ",40345," "
21,1968,780,48424," ",51206," "
21,1969,780,45952," ",48719," "
21,1970,780,33304," ",38172," "
21,1971,780,31432," ",34791," "
21,1972,780,32307," ",35470," "
21,1973,780,58306," ",62226," "
21,1974,780,34670," ",31554," "
21,1975,780,27648," ",30738," "
21,1976,780,47860," ",38764," "
21,1977,780,34469," ",35022," "
21,1978,780,16562," ",16954," "
21,1979,780,25143," ",28505," "
21,1980,780,26174," ",27680," "
21,1981,780,36416," ",38886," "
21,1982,780,14655," ",14170," "
21,1983,780,10993," ",12919," "
21,1984,780,20880," ",19091," "
21,1985,780,21184," ",20081," "
21,1986,780,28737," ",27857," "
21,1987,780,20495," ",19435," "
21,1988,780,13533," ",16054," "
21,1989,780,7120," ",8328," "
21,1990,780,3016," ",3650," "
21,1991,780,2845," ",3303," "
21,1992,780,2553," ",3244," "
21,1993,780,2721," ",3670," "
21,1994,780,1755," ",2304," "
21,1995,780,1651," ",2135," "
21,1996,780,442," ",624," "
21,1997,780,429," ",568," "
21,1998,780,687," ",873," "
21,1999,780,1070," ",1417," "
21,2000,780,1117," ",1336," "
21,2001,780,954," ",1308," "
21,2002,780,987," ",1459," "
21,2003,780,1047," ",1485," "
21,2004,780,1513," ",2326," "
21,2005,780,4168," ",5936," "
21,2006,780,4179," ",6052," "
21,2007,780,4501," ",6362," "
21,2008,780,710," ",804," "
21,2009,780,599," ",802," "
21,2010,780,723," ",934," "
21,2011,780,855," ",1054," "
28,1961,780,5382," ",4471," "
28,1962,780,8666," ",6381," "
28,1963,780,18014," ",10465," "
28,1964,780,19028," ",12163," "
28,1965,780,17324," ",12193," "
28,1966,780,24902," ",15148," "
28,1967,780,21297," ",13380," "
28,1968,780,30046," ",22048," "
