"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
101,1961,310,117065,"*",90000,"*"
101,1962,310,115800,"*",86300,"*"
101,1963,310,97600,"*",72700,"*"
101,1964,310,97900,"*",81000,"*"
101,1965,310,100200,"*",89200,"*"
101,1966,310,98600,"*",91300,"*"
101,1967,310,99800,"*",89600,"*"
101,1968,310,99100,"*",65900,"*"
101,1969,310,151500,"*",81000,"*"
101,1970,310,155500,"*",91800,"*"
101,1971,310,138800,"*",86900,"*"
101,1972,310,157500,"*",95000,"*"
101,1973,310,177300,"*",88600,"*"
101,1974,310,199800,"*",87200,"*"
101,1975,310,200400,"*",85600,"*"
101,1976,310,214500,"*",96500,"*"
101,1977,310,196200,"*",95500,"*"
101,1978,310,201200,"*",107300,"*"
101,1979,310,189200,"*",98500,"*"
101,1980,310,250100,"*",123000,"*"
101,1981,310,247700,"*",151500,"*"
101,1982,310,249100,"*",153000,"*"
101,1983,310,242500,"*",155300,"*"
101,1984,310,244800,"*",152000,"*"
101,1985,310,251400,"*",157200,"*"
101,1986,310,251900,"*",182600,"*"
101,1987,310,229900,"*",161600,"*"
101,1988,310,204500,"*",174600,"*"
101,1989,310,205300,"*",172400,"*"
101,1990,310,195300,"*",192000,"*"
101,1991,310,194300,"*",192800,"*"
101,1992,310,190900,"*",209300,"*"
101,1993,310,184800,"*",206100,"*"
101,1994,310,183900,"*",203000,"*"
101,1995,310,173900,"*",223400,"*"
101,1996,310,171957," ",233900,"*"
101,1997,310,172127," ",240600,"*"
101,1998,310,174309," ",245500,"*"
101,1999,310,174000,"*",245500,"*"
101,2000,310,174000,"*",282200,"*"
101,2001,310,175000,"F",283630,"*"
101,2002,310,170000,"F",267687,"*"
101,2003,310,185000,"F",300950,"*"
101,2004,310,130000,"F",208300,"*"
101,2005,310,120000,"F",192950,"*"
101,2006,310,125000,"F",208520,"*"
101,2007,310,128000,"F",177467,"*"
101,2008,310,132000,"F",176780,"*"
101,2009,310,135000,"F",178467,"*"
101,2010,310,135448,"E",169294,"E"
101,2011,310,131608,"E",163692,"E"
216,1961,310,37600," ",108180,"F"
216,1962,310,27840," ",1e+05,"F"
216,1963,310,44000," ",136660,"F"
216,1964,310,48000," ",139100,"F"
216,1965,310,49600," ",140300,"F"
216,1966,310,48000," ",135450,"F"
216,1967,310,47040," ",132730,"F"
216,1968,310,47520," ",134250,"F"
216,1969,310,47040," ",132120,"F"
216,1970,310,46560," ",131520,"F"
216,1971,310,45000,"F",151200,"*"
216,1972,310,43700,"F",131200,"*"
216,1973,310,42300,"F",158180,"*"
216,1974,310,40960," ",154850,"*"
216,1975,310,42880," ",146050,"*"
216,1976,310,42080," ",136060,"*"
216,1977,310,40320," ",127580,"*"
216,1978,310,36960," ",91820,"*"
216,1979,310,38240," ",81820,"*"
216,1980,310,38560," ",102425,"*"
216,1981,310,40160," ",118800,"*"
216,1982,310,41280," ",103950,"*"
216,1983,310,40320," ",122120,"*"
216,1984,310,40480," ",124250,"*"
216,1985,310,40000," ",131820,"*"
216,1986,310,37440," ",120300,"*"
216,1987,310,34880," ",121200,"*"
216,1988,310,35520," ",114550,"*"
216,1989,310,34880," ",115665,"*"
216,1990,310,35360," ",122450,"*"
216,1991,310,35840," ",112400,"*"
216,1992,310,37920," ",112730,"*"
216,1993,310,37440," ",120300,"*"
216,1994,310,39680," ",123940,"*"
216,1995,310,39360," ",130300,"*"
216,1996,310,39520," ",140610,"*"
216,1997,310,39520," ",136970,"*"
216,1998,310,38560," ",127270,"*"
216,1999,310,38240," ",131820,"*"
216,2000,310,38080," ",138180,"*"
216,2001,310,38080," ",136363,"*"
216,2002,310,38080," ",139400,"*"
216,2003,310,38100,"F",136300,"*"
216,2004,310,38000,"F",136300,"*"
216,2005,310,38535,"E",136300,"*"
216,2006,310,36978,"E",136300,"*"
216,2007,310,35445,"E",136300,"*"
216,2008,310,33837,"E",137000,"F"
216,2009,310,32733,"E",128198,"E"
216,2010,310,31982,"E",122177,"E"
216,2011,310,29876,"E",103560,"E"
