"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
101,1961,311,85500,"C",72675,"C"
101,1962,311,81985,"C",69687.25,"C"
101,1963,311,69065,"C",58705.25,"C"
101,1964,311,76950,"C",65407.5,"C"
101,1965,311,84740,"C",72029,"C"
101,1966,311,86735,"C",73724.75,"C"
101,1967,311,85120,"C",72352,"C"
101,1968,311,62605,"C",53214.25,"C"
101,1969,311,76950,"C",65407.5,"C"
101,1970,311,87210,"C",74128.5,"C"
101,1971,311,82555,"C",70171.75,"C"
101,1972,311,90250,"C",76712.5,"C"
101,1973,311,84170,"C",71544.5,"C"
101,1974,311,82840,"C",70414,"C"
101,1975,311,81320,"C",69122,"C"
101,1976,311,91675,"C",77923.75,"C"
101,1977,311,90725,"C",77116.25,"C"
101,1978,311,101935,"C",86644.75,"C"
101,1979,311,93575,"C",79538.75,"C"
101,1980,311,116850,"C",99322.5,"C"
101,1981,311,143925,"C",122336.25,"C"
101,1982,311,145350,"C",123547.5,"C"
101,1983,311,147535,"C",125404.75,"C"
101,1984,311,144400,"C",122740,"C"
101,1985,311,149340,"C",126939,"C"
101,1986,311,173470,"C",147449.5,"C"
101,1987,311,153520,"C",130492,"C"
101,1988,311,165870,"C",140989.5,"C"
101,1989,311,163780,"C",139213,"C"
101,1990,311,182400,"C",155040,"C"
101,1991,311,183160,"C",155686,"C"
101,1992,311,198835,"C",169009.75,"C"
101,1993,311,195795,"C",166425.75,"C"
101,1994,311,192850,"C",163922.5,"C"
101,1995,311,212230,"C",180395.5,"C"
101,1996,311,222205,"C",188874.25,"C"
101,1997,311,228570,"C",194284.5,"C"
101,1998,311,233225,"C",198241.25,"C"
101,1999,311,233225,"C",198241.25,"C"
101,2000,311,268090,"C",227876.5,"C"
101,2001,311,269448.5,"C",229031.225,"C"
101,2002,311,254302.65,"C",216157.2525,"C"
101,2003,311,285902.5,"C",243017.125,"C"
101,2004,311,197885,"C",168202.25,"C"
101,2005,311,183302.5,"C",155807.125,"C"
101,2006,311,198094,"C",168379.9,"C"
101,2007,311,168593.65,"C",143304.6025,"C"
101,2008,311,167941,"C",142749.85,"C"
101,2009,311,169543.65,"C",144112.1025,"C"
101,2010,311,160829.3,"C",136704.905,"C"
101,2011,311,155507.4,"C",132181.29,"C"
216,1961,311,108180,"C",89789.4,"C"
216,1962,311,1e+05,"C",83000,"C"
216,1963,311,136660,"C",113427.8,"C"
216,1964,311,139100,"C",115453,"C"
216,1965,311,140300,"C",116449,"C"
216,1966,311,135450,"C",112423.5,"C"
216,1967,311,132730,"C",110165.9,"C"
216,1968,311,134250,"C",111427.5,"C"
216,1969,311,132120,"C",109659.6,"C"
216,1970,311,131520,"C",109161.6,"C"
216,1971,311,151200,"C",125496,"C"
216,1972,311,131200,"C",108896,"C"
216,1973,311,158180,"C",131289.4,"C"
216,1974,311,154850,"C",128525.5,"C"
216,1975,311,146050,"C",121221.5,"C"
216,1976,311,136060,"C",112929.8,"C"
216,1977,311,127580,"C",105891.4,"C"
216,1978,311,91820,"C",76210.6,"C"
216,1979,311,81820,"C",67910.6,"C"
216,1980,311,102425,"C",85012.75,"C"
216,1981,311,118800,"C",98604,"C"
216,1982,311,103950,"C",86278.5,"C"
216,1983,311,122120,"C",101359.6,"C"
216,1984,311,124250,"C",103127.5,"C"
216,1985,311,131820,"C",109410.6,"C"
216,1986,311,120300,"C",99849,"C"
216,1987,311,121200,"C",100596,"C"
216,1988,311,114550,"C",95076.5,"C"
216,1989,311,115665,"C",96001.95,"C"
216,1990,311,122450,"C",101633.5,"C"
216,1991,311,112400,"C",93292,"C"
216,1992,311,112730,"C",93565.9,"C"
216,1993,311,120300,"C",99849,"C"
216,1994,311,123940,"C",102870.2,"C"
216,1995,311,130300,"C",108149,"C"
216,1996,311,140610,"C",116706.3,"C"
216,1997,311,136970,"C",113685.1,"C"
216,1998,311,127270,"C",105634.1,"C"
216,1999,311,131820,"C",109410.6,"C"
216,2000,311,138180,"C",114689.4,"C"
216,2001,311,136363,"C",113181.29,"C"
216,2002,311,139400,"C",115702,"C"
216,2003,311,136300,"C",113129,"C"
216,2004,311,136300,"C",113129,"C"
216,2005,311,136300,"C",113129,"C"
216,2006,311,136300,"C",113129,"C"
216,2007,311,136300,"C",113129,"C"
216,2008,311,137000,"C",113710,"C"
216,2009,311,128198,"C",106404.34,"C"
216,2010,311,122177,"C",101406.91,"C"
216,2011,311,103560,"C",85954.8,"C"
