"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
53,1961,263,2500,"F",5250," "
53,1962,263,3000,"F",6480," "
53,1963,263,3500,"F",9000," "
53,1964,263,1500,"F",3050," "
53,1965,263,3000,"F",7500," "
53,1966,263,3000,"F",7735," "
53,1967,263,3500,"F",8700," "
53,1968,263,2500,"F",5800," "
53,1969,263,2500,"F",6500," "
53,1970,263,3500,"F",8900," "
53,1971,263,2500,"F",5800," "
53,1972,263,2500,"F",6000," "
53,1973,263,2500,"F",5200," "
53,1974,263,3500,"F",9600," "
53,1975,263,3000,"F",7475," "
53,1976,263,3000,"F",8000," "
53,1977,263,3500,"F",8870," "
53,1978,263,3500,"F",9000," "
53,1979,263,3500,"F",8928," "
53,1980,263,3500,"F",9148," "
53,1981,263,3500,"F",9368," "
53,1982,263,2500,"F",6000,"F"
53,1983,263,3000,"F",7000,"F"
53,1984,263,10000,"F",25500," "
53,1985,263,10000,"F",26000,"F"
53,1986,263,10000,"F",25000,"F"
53,1987,263,8000,"F",20000,"F"
53,1988,263,8000,"F",20000,"F"
53,1989,263,3000,"F",7000," "
53,1990,263,3533,"E",7000," "
53,1991,263,4000,"F",10000," "
53,1992,263,3500,"F",8000," "
53,1993,263,4500,"F",11000,"F"
53,1994,263,6000,"F",15500,"F"
53,1995,263,7770,"E",15000,"F"
53,1996,263,9578,"E",17810,"E"
53,1997,263,10198,"E",16762,"E"
53,1998,263,10267,"E",16347,"E"
53,1999,263,10225,"E",16791,"E"
53,2000,263,9526,"E",16369,"E"
53,2001,263,10365,"E",18187,"E"
53,2002,263,11900,"E",21898,"E"
53,2003,263,11264,"E",19282,"E"
53,2004,263,11294,"E",20050,"E"
53,2005,263,9666,"E",17964,"E"
53,2006,263,6938,"E",12653,"E"
53,2007,263,7632,"E",14281,"E"
53,2008,263,7719,"E",14056,"E"
53,2009,263,7103,"E",14971,"E"
53,2010,263,7000,"E",12800,"E"
53,2011,263,7100,"F",13000,"F"
81,1961,263,11000,"F",26000,"F"
81,1962,263,11000,"F",26000,"F"
81,1963,263,11000,"F",26000,"F"
81,1964,263,16000,"F",39000,"F"
81,1965,263,15000,"F",36000,"F"
81,1966,263,15000,"F",36000,"F"
81,1967,263,17000,"F",42000,"F"
81,1968,263,17000,"F",42000,"F"
81,1969,263,18000,"F",44000,"F"
81,1970,263,18000,"F",44000,"F"
81,1971,263,18000,"F",44000,"F"
81,1972,263,17000,"F",40000,"F"
81,1973,263,17000,"F",40000,"F"
81,1974,263,17000,"F",42000,"F"
81,1975,263,20000,"F",48000,"F"
