"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
10,1961,592,0," ",0," "
10,1962,592,0," ",0," "
10,1963,592,0," ",0," "
10,1964,592,0," ",0," "
10,1965,592,0," ",0," "
10,1966,592,0," ",0," "
10,1967,592,0," ",0," "
10,1968,592,0," ",0," "
10,1969,592,0," ",0," "
10,1970,592,0," ",0," "
10,1971,592,0," ",0," "
10,1972,592,0," ",0," "
10,1973,592,0," ",0," "
10,1974,592,0," ",0," "
10,1975,592,0," ",0," "
10,1976,592,0," ",0," "
10,1977,592,0," ",0," "
10,1978,592,0," ",0," "
10,1979,592,0," ",0," "
10,1980,592,20,"F",80,"F"
10,1981,592,40,"F",140,"F"
10,1982,592,60,"F",200,"F"
10,1983,592,82," ",277," "
10,1984,592,102," ",311," "
10,1985,592,116," ",502," "
10,1986,592,320," ",968," "
10,1987,592,496," ",1567," "
10,1988,592,375," ",2462," "
10,1989,592,380," ",3261," "
10,1990,592,402," ",3385," "
10,1991,592,370," ",3323," "
10,1992,592,408," ",4067," "
10,1993,592,395,"*",5500,"*"
10,1994,592,370,"*",4500,"*"
10,1995,592,457," ",4280," "
10,1996,592,330," ",3422," "
10,1997,592,481," ",3381," "
10,1998,592,442," ",3850," "
10,1999,592,322," ",3197," "
10,2000,592,400,"F",5000,"*"
10,2001,592,464,"E",4000,"F"
10,2002,592,493,"E",4047,"E"
10,2003,592,208," ",2930," "
10,2004,592,175," ",3023," "
10,2005,592,230," ",4222," "
10,2006,592,308," ",5625," "
10,2007,592,247," ",5350," "
10,2008,592,235,"F",5000,"F"
10,2009,592,241," ",4478," "
10,2010,592,230,"E",4300,"E"
10,2011,592,190,"F",2996," "
27,1961,592,0,"M",0,"M"
27,1962,592,0,"M",0,"M"
27,1963,592,0,"M",0,"M"
27,1964,592,0,"M",0,"M"
27,1965,592,0,"M",0,"M"
27,1966,592,0,"M",0,"M"
27,1967,592,0,"M",0,"M"
27,1968,592,0,"M",0,"M"
27,1969,592,0,"M",0,"M"
27,1970,592,0,"M",0,"M"
27,1971,592,0,"M",0,"M"
27,1972,592,0,"M",0,"M"
27,1973,592,0,"M",0,"M"
27,1974,592,0,"M",0,"M"
27,1975,592,0,"M",0,"M"
27,1976,592,0,"M",0,"M"
27,1977,592,0,"M",0,"M"
27,1978,592,0,"M",0,"M"
27,1979,592,0,"M",0,"M"
27,1980,592,0,"M",0,"M"
27,1981,592,0,"M",0,"M"
27,1982,592,0,"M",0,"M"
27,1983,592,0,"M",0,"M"
27,1984,592,0,"M",0,"M"
27,1985,592,0,"M",0,"M"
27,1986,592,0,"M",0,"M"
27,1987,592,0,"M",0,"M"
27,1988,592,0,"M",0,"M"
27,1989,592,0,"M",0,"M"
27,1990,592,0,"M",0,"M"
27,1991,592,0,"M",0,"M"
27,1992,592,0,"M",0,"M"
27,1993,592,0,"M",0,"M"
27,1994,592,0,"M",0,"M"
27,1995,592,0,"M",0,"M"
27,1996,592,0,"M",0,"M"
27,1997,592,0,"M",0,"M"
27,1998,592,0,"M",0,"M"
27,1999,592,0,"M",0,"M"
27,2000,592,0,"M",0,"M"
27,2001,592,0,"M",0,"M"
27,2002,592,0,"M",0,"M"
27,2003,592,10," ",8," "
27,2004,592,24," ",21," "
27,2005,592,45," ",40," "
27,2006,592,70,"F",40," "
27,2007,592,60,"F",100," "
27,2008,592,0,"F",0," "
27,2009,592,17," ",106," "
27,2010,592,18," ",36," "
27,2011,592,17," ",133," "
33,1961,592,0," ",0," "
33,1962,592,0," ",0," "
33,1963,592,0," ",0," "
33,1964,592,0," ",0," "
33,1965,592,0," ",0," "
33,1966,592,0," ",0," "
33,1967,592,0," ",0," "
33,1968,592,0," ",0," "
33,1969,592,0," ",0," "
33,1970,592,0," ",0," "
33,1971,592,0," ",0," "
33,1972,592,0," ",0," "
33,1973,592,0," ",0," "
33,1974,592,0," ",0," "
33,1975,592,0," ",0," "
33,1976,592,0," ",0," "
33,1977,592,0," ",0," "
33,1978,592,0," ",0," "
33,1979,592,0," ",0," "
33,1980,592,0," ",0," "
33,1981,592,0," ",0," "
33,1982,592,0," ",0," "
33,1983,592,0," ",0," "
33,1984,592,0," ",0," "
33,1985,592,0," ",0," "
33,1986,592,0," ",0," "
33,1987,592,0," ",0," "
33,1988,592,13,"*",113,"*"
33,1989,592,14,"*",225,"*"
33,1990,592,15,"*",410,"*"
33,1991,592,15,"*",200,"*"
33,1992,592,8,"F",220," "
33,1993,592,13,"E",220," "
33,1994,592,12,"F",310," "
33,1995,592,13,"F",340," "
33,1996,592,7,"F",180," "
33,1997,592,6,"F",150," "
33,1998,592,9,"F",250," "
33,1999,592,8,"F",210," "
33,2000,592,8,"F",230," "
33,2001,592,7,"E",130," "
33,2002,592,8,"F",130," "
33,2003,592,8,"F",100," "
33,2004,592,13,"F",160," "
33,2005,592,12,"F",150," "
33,2006,592,6,"F",80," "
33,2007,592,6,"F",80," "
33,2008,592,4,"F",50," "
33,2009,592,4,"F",51,"E"
33,2010,592,4,"F",60,"F"
33,2011,592,4,"F",68,"E"
40,1961,592,0," ",0," "
40,1962,592,0," ",0," "
40,1963,592,0," ",0," "
40,1964,592,0," ",0," "
40,1965,592,0," ",0," "
40,1966,592,0," ",0," "
40,1967,592,0," ",0," "
40,1968,592,0," ",0," "
40,1969,592,0," ",0," "
40,1970,592,0," ",0," "
40,1971,592,0," ",0," "
