"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
32,1961,224,0,"M",5000,"F"
32,1962,224,0,"M",5000,"F"
32,1963,224,0,"M",5000,"F"
32,1964,224,0,"M",5000,"F"
32,1965,224,0,"M",5106," "
32,1966,224,0,"M",6140," "
32,1967,224,0,"M",8000,"F"
32,1968,224,0,"M",10000,"F"
32,1969,224,0,"M",12329," "
32,1970,224,0,"M",15688," "
32,1971,224,0,"M",22026," "
32,1972,224,0,"M",22900," "
32,1973,224,0,"M",24700," "
32,1974,224,0,"M",24000," "
32,1975,224,0,"M",25000,"F"
32,1976,224,0,"M",25500,"F"
32,1977,224,0,"M",26000,"F"
32,1978,224,0,"M",27000,"F"
32,1979,224,0,"M",27500,"F"
32,1980,224,0,"M",28000,"F"
32,1981,224,0,"M",28600,"F"
32,1982,224,0,"M",29200,"F"
32,1983,224,0,"M",29600,"F"
32,1984,224,0,"M",30100,"F"
32,1985,224,95000,"F",30300,"F"
32,1986,224,95000,"F",31000,"F"
32,1987,224,95000,"F",32000,"F"
32,1988,224,95000,"F",33000,"F"
32,1989,224,95000,"F",33000,"F"
32,1990,224,95000,"F",33600,"F"
32,1991,224,95000,"F",34000,"F"
32,1992,224,95000,"F",29788,"E"
32,1993,224,95000,"F",35000,"F"
32,1994,224,95000,"F",40920,"E"
32,1995,224,93792,"E",35705,"E"
32,1996,224,82104,"E",35200,"F"
32,1997,224,86638,"E",35400,"F"
32,1998,224,87662,"E",35600,"F"
32,1999,224,85973,"E",35800,"F"
32,2000,224,83832,"E",36000,"F"
32,2001,224,76832,"E",38150,"E"
32,2002,224,108741,"E",37130,"E"
32,2003,224,86363,"E",37796,"E"
32,2004,224,98000,"F",37000,"F"
32,2005,224,98740,"E",41866,"E"
32,2006,224,95000,"F",36000,"F"
32,2007,224,96610,"E",36610,"E"
32,2008,224,95000,"F",40360,"E"
32,2009,224,95000,"F",37231,"E"
32,2010,224,95000,"F",38596,"E"
32,2011,224,95000,"F",45976,"E"
39,1961,224,,,0," "
39,1962,224,,,0," "
39,1963,224,,,0," "
39,1964,224,,,0," "
39,1965,224,,,0," "
39,1966,224,,,0," "
39,1967,224,,,0," "
39,1968,224,,,0," "
39,1969,224,,,0," "
39,1970,224,,,0," "
39,1971,224,,,0," "
39,1972,224,,,0," "
39,1973,224,,,0," "
39,1974,224,,,0," "
39,1975,224,,,0," "
39,1976,224,,,0," "
39,1977,224,,,0," "
39,1978,224,,,0," "
39,1979,224,,,0," "
39,1980,224,,,0," "
39,1981,224,,,0," "
39,1982,224,,,0," "
39,1983,224,,,0," "
39,1984,224,,,10,"F"
39,1985,224,,,0," "
39,1986,224,,,0," "
39,1987,224,,,0," "
39,1988,224,,,0," "
39,1989,224,,,0," "
39,1990,224,,,0," "
39,1991,224,,,0," "
39,1992,224,,,0," "
39,1993,224,,,0,"M"
39,1994,224,,,0,"M"
39,1995,224,,,0,"M"
39,1996,224,,,0,"M"
39,1997,224,,,0,"M"
39,1998,224,,,0,"M"
39,1999,224,,,0,"M"
39,2000,224,,,0,"M"
39,2001,224,,,0,"M"
39,2002,224,,,0,"M"
39,2003,224,,,0,"M"
39,2004,224,,,0,"M"
39,2005,224,,,0,"M"
39,2006,224,,,0,"M"
39,2007,224,,,0,"M"
39,2008,224,,,0,"M"
39,2009,224,,,0,"M"
39,2010,224,,,0,"M"
39,2011,224,,,0,"M"
53,1961,224,0,"M",500,"F"
53,1962,224,0,"M",500,"F"
53,1963,224,0,"M",500,"F"
53,1964,224,0,"M",500,"F"
53,1965,224,0,"M",500,"F"
53,1966,224,0,"M",500,"F"
53,1967,224,0,"M",500,"F"
53,1968,224,0,"M",500,"F"
53,1969,224,0,"M",500,"F"
53,1970,224,0,"M",1500,"F"
53,1971,224,0,"M",752," "
53,1972,224,0,"M",839," "
53,1973,224,0,"M",309," "
53,1974,224,0,"M",500," "
53,1975,224,0,"M",1500," "
53,1976,224,0,"M",500,"F"
53,1977,224,0,"M",2000," "
53,1978,224,0,"M",500,"F"
53,1979,224,0,"M",500,"F"
53,1980,224,0,"M",500,"F"
53,1981,224,0,"M",500,"F"
53,1982,224,0,"M",500,"F"
53,1983,224,0,"M",500,"F"
53,1984,224,0,"M",500,"F"
53,1985,224,1800,"F",500,"F"
53,1986,224,1800,"F",500,"F"
53,1987,224,1800,"F",500,"F"
53,1988,224,1800,"F",500,"F"
53,1989,224,1800,"F",500,"F"
53,1990,224,1800,"F",588,"E"
53,1991,224,1800,"F",539,"E"
53,1992,224,1800,"F",472,"E"
53,1993,224,1800,"F",495,"E"
53,1994,224,1800,"F",579,"E"
53,1995,224,1250,"E",505,"E"
53,1996,224,1094,"E",579,"E"
53,1997,224,1624,"E",780,"E"
53,1998,224,1644,"E",864,"E"
53,1999,224,1609,"E",493,"E"
53,2000,224,1569,"E",522,"E"
53,2001,224,1437,"E",559,"E"
53,2002,224,2037,"E",541,"E"
53,2003,224,1618,"E",430,"E"
53,2004,224,1836,"E",486,"E"
53,2005,224,1850,"F",550,"F"
53,2006,224,1817,"E",481,"E"
53,2007,224,1900,"F",570,"F"
53,2008,224,2000,"F",620,"F"
53,2009,224,2269,"E",495,"E"
53,2010,224,2266,"E",650,"E"
53,2011,224,2313,"E",600,"F"
81,1961,224,0,"M",5000,"F"
81,1962,224,0,"M",5000,"F"
81,1963,224,0,"M",5000,"F"
81,1964,224,0,"M",5000,"F"
81,1965,224,0,"M",5000,"F"
81,1966,224,0,"M",5000,"F"
81,1967,224,0,"M",12000,"F"
81,1968,224,0,"M",5000,"F"
81,1969,224,0,"M",5000,"F"
81,1970,224,0,"M",5000,"F"
81,1971,224,0,"M",5000,"F"
81,1972,224,0,"M",5000,"F"
81,1973,224,0,"M",5000,"F"
81,1974,224,0,"M",5000,"F"
81,1975,224,0,"M",5000,"F"
81,1976,224,0,"M",5000,"F"
81,1977,224,0,"M",5000,"F"
81,1978,224,0,"M",5000,"F"
81,1979,224,0,"M",5000,"F"
81,1980,224,0,"M",5000,"F"
81,1981,224,0,"M",5000,"F"
81,1982,224,0,"M",5000,"F"
81,1983,224,0,"M",5000,"F"
81,1984,224,0,"M",6000,"F"
81,1985,224,26500,"F",7000,"F"
81,1986,224,27000,"F",7500,"F"
81,1987,224,30000,"F",8000,"F"
81,1988,224,38000,"F",10000,"F"
81,1989,224,40000,"F",11000,"F"
81,1990,224,44000,"F",12000,"F"
81,1991,224,44000,"F",10999,"E"
81,1992,224,52000,"F",14000,"F"
81,1993,224,55000,"F",15000,"F"
81,1994,224,52000,"F",14000,"F"
81,1995,224,62830,"E",12216,"E"
81,1996,224,55000,"F",15000,"F"
81,1997,224,58037,"E",20205,"E"
81,1998,224,70000,"F",20000,"F"
81,1999,224,68503,"E",18049,"E"
81,2000,224,66810,"E",18047,"E"
81,2001,224,61174,"E",19337,"E"
81,2002,224,78294,"E",20650,"E"
81,2003,224,62182,"E",19900,"E"
81,2004,224,70561,"E",22719,"E"
81,2005,224,71094,"E",25464,"E"
81,2006,224,69817,"E",27934,"E"
81,2007,224,71000,"F",20500,"F"
81,2008,224,71000,"F",22600,"E"
81,2009,224,70000,"F",18039,"E"
81,2010,224,71000,"F",21300,"E"
81,2011,224,72471,"E",24000,"F"
107,1961,224,0,"M",37000," "
107,1962,224,0,"M",37000," "
107,1963,224,0,"M",37000," "
107,1964,224,0,"M",37000," "
107,1965,224,0,"M",37000," "
107,1966,224,0,"M",40000," "
107,1967,224,0,"M",40000," "
107,1968,224,0,"M",60000," "
107,1969,224,0,"M",60000," "
107,1970,224,0,"M",60000," "
107,1971,224,0,"M",60000," "
107,1972,224,0,"M",40000," "
107,1973,224,0,"M",45000," "
107,1974,224,0,"M",59000," "
107,1975,224,0,"M",59000," "
107,1976,224,0,"M",44000," "
107,1977,224,0,"M",48000," "
107,1978,224,0,"M",57000," "
107,1979,224,0,"M",55000," "
107,1980,224,0,"M",58000," "
107,1981,224,0,"M",61000," "
107,1982,224,0,"M",74000," "
107,1983,224,0,"M",60000," "
107,1984,224,0,"M",52600," "
107,1985,224,91000,"F",55000," "
107,1986,224,1e+05,"F",60519," "
107,1987,224,94000,"F",57298," "
107,1988,224,94000,"F",53873," "
107,1989,224,75000,"F",47722," "
107,1990,224,90000,"F",56636," "
107,1991,224,83000,"F",51601," "
107,1992,224,84000,"F",53407," "
107,1993,224,76000,"F",47636," "
107,1994,224,90000,"F",55693," "
107,1995,224,108524,"E",48595," "
107,1996,224,95000,"F",55693," "
107,1997,224,110000,"F",75020," "
107,1998,224,111360,"E",83137," "
107,1999,224,108979,"E",75027," "
107,2000,224,106285,"E",75020," "
107,2001,224,97319,"E",75020," "
107,2002,224,106410," ",72571," "
107,2003,224,84512," ",57637," "
107,2004,224,95900," ",65216," "
107,2005,224,96624," ",73792," "
107,2006,224,94888," ",64524," "
107,2007,224,96496," ",65617," "
107,2008,224,96000,"F",66450," "
107,2009,224,96743," ",66729," "
107,2010,224,98000,"F",67009," "
107,2011,224,100030,"E",79821,"E"
159,1961,224,155000,"F",139000," "
159,1962,224,155000,"F",141000," "
159,1963,224,160000,"F",145000," "
159,1964,224,165000,"F",158000," "
159,1965,224,165000,"F",154000," "
159,1966,224,170000,"F",157000," "
159,1967,224,170000,"F",162000," "
159,1968,224,170000,"F",167000," "
159,1969,224,170000,"F",171000," "
159,1970,224,130000,"F",125000," "
159,1971,224,130000,"F",125000," "
159,1972,224,130000,"F",125000," "
159,1973,224,130000,"F",125000," "
159,1974,224,130000,"F",125000," "
159,1975,224,130000,"F",125000," "
159,1976,224,135000,"F",127000," "
159,1977,224,135000,"F",129000," "
159,1978,224,140000,"F",131000," "
159,1979,224,140000,"F",133000," "
159,1980,224,140000,"F",135000,"F"
