"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,407,0,"M",0,"M"
3,1962,407,0,"M",0,"M"
3,1963,407,0,"M",0,"M"
3,1964,407,0,"M",0,"M"
3,1965,407,0,"M",0,"M"
3,1966,407,0,"M",0,"M"
3,1967,407,0,"M",0,"M"
3,1968,407,0,"M",0,"M"
3,1969,407,0,"M",0,"M"
3,1970,407,0,"M",0,"M"
3,1971,407,0,"M",0,"M"
3,1972,407,0,"M",0,"M"
3,1973,407,0,"M",0,"M"
3,1974,407,0,"M",0,"M"
3,1975,407,0,"M",0,"M"
3,1976,407,0,"M",0,"M"
3,1977,407,0,"M",0,"M"
3,1978,407,0,"M",0,"M"
3,1979,407,0,"M",0,"M"
3,1980,407,0,"M",0,"M"
3,1981,407,0,"M",0,"M"
3,1982,407,0,"M",0,"M"
3,1983,407,0,"M",0,"M"
3,1984,407,0,"M",0,"M"
3,1985,407,0,"M",0,"M"
3,1986,407,0,"M",0,"M"
3,1987,407,0,"M",0,"M"
3,1988,407,0,"M",0,"M"
3,1989,407,0,"M",0,"M"
3,1990,407,950,"*",16000,"*"
3,1991,407,1300,"*",22000,"*"
3,1992,407,1700,"*",29000,"*"
3,1993,407,1900,"*",31000,"*"
3,1994,407,2000,"*",33000,"*"
3,1995,407,1400,"*",23000,"*"
3,1996,407,1100,"*",19000,"*"
3,1997,407,1200,"*",20000,"*"
3,1998,407,1450,"*",24000,"*"
3,1999,407,850,"*",14000,"*"
3,2000,407,900,"*",15000,"*"
3,2001,407,950,"*",16000,"*"
3,2002,407,1000,"*",17000,"*"
3,2003,407,1700," ",29500," "
3,2004,407,1500," ",26500," "
3,2005,407,1600," ",27000," "
3,2006,407,1008," ",22495," "
3,2007,407,900,"*",20000," "
3,2008,407,830," ",23600," "
3,2009,407,451," ",17476," "
3,2010,407,1436," ",20682," "
3,2011,407,1600," ",30700," "
11,1961,407,0,"M",0,"M"
11,1962,407,0,"M",0,"M"
11,1963,407,0,"M",0,"M"
11,1964,407,0,"M",0,"M"
11,1965,407,0,"M",0,"M"
11,1966,407,0,"M",0,"M"
11,1967,407,0,"M",0,"M"
11,1968,407,0,"M",0,"M"
11,1969,407,0,"M",0,"M"
11,1970,407,0,"M",0,"M"
11,1971,407,0,"M",0,"M"
11,1972,407,0,"M",0,"M"
11,1973,407,0,"M",0,"M"
11,1974,407,0,"M",0,"M"
11,1975,407,0,"M",0,"M"
11,1976,407,0,"M",0,"M"
11,1977,407,0,"M",0,"M"
11,1978,407,0,"M",0,"M"
11,1979,407,0,"M",0,"M"
11,1980,407,0,"M",0,"M"
11,1981,407,0,"M",0,"M"
11,1982,407,0,"M",0,"M"
11,1983,407,0,"M",0,"M"
11,1984,407,0,"M",0,"M"
11,1985,407,0,"M",0,"M"
11,1986,407,0,"M",0,"M"
11,1987,407,0,"M",0,"M"
11,1988,407,0,"M",0,"M"
11,1989,407,0,"M",0,"M"
11,1990,407,0,"M",0,"M"
11,1991,407,0,"M",0,"M"
11,1992,407,0,"M",0,"M"
11,1993,407,0,"M",0,"M"
11,1994,407,0,"M",0,"M"
11,1995,407,0,"M",0,"M"
11,1996,407,0,"M",0,"M"
11,1997,407,0,"M",0,"M"
11,1998,407,0,"M",0,"M"
11,1999,407,0,"M",0,"M"
11,2000,407,0,"M",0,"M"
11,2001,407,0,"M",0,"M"
11,2002,407,0,"M",0,"M"
11,2003,407,155," ",6220," "
11,2004,407,159," ",6673," "
11,2005,407,140," ",5799," "
11,2006,407,137," ",5815," "
11,2007,407,129," ",5192," "
11,2008,407,131," ",5270," "
11,2009,407,137," ",5915," "
11,2010,407,139," ",6042," "
11,2011,407,140," ",6239," "
15,1961,407,300,"F",50000,"F"
15,1962,407,300,"F",50000,"F"
15,1963,407,316," ",60000," "
15,1964,407,273," ",52500," "
15,1965,407,294," ",59600," "
15,1966,407,297," ",59700," "
15,1967,407,295," ",85600," "
15,1968,407,314," ",65400," "
15,1969,407,309," ",55000," "
15,1970,407,403," ",44000," "
15,1971,407,345," ",74300," "
15,1972,407,400," ",86700," "
15,1973,407,367," ",92500," "
15,1974,407,421," ",124000," "
15,1975,407,427," ",99000," "
15,1976,407,452," ",78000," "
15,1977,407,524," ",102400," "
15,1978,407,445," ",86000," "
