"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,420,0,"M",0,"M"
3,1962,420,0,"M",0,"M"
3,1963,420,0,"M",0,"M"
3,1964,420,0,"M",0,"M"
3,1965,420,0,"M",0,"M"
3,1966,420,0,"M",0,"M"
3,1967,420,0,"M",0,"M"
3,1968,420,0,"M",0,"M"
3,1969,420,0,"M",0,"M"
3,1970,420,0,"M",0,"M"
3,1971,420,0,"M",0,"M"
3,1972,420,0,"M",0,"M"
3,1973,420,0,"M",0,"M"
3,1974,420,0,"M",0,"M"
3,1975,420,0,"M",0,"M"
3,1976,420,0,"M",0,"M"
3,1977,420,0,"M",0,"M"
3,1978,420,0,"M",0,"M"
3,1979,420,0,"M",0,"M"
3,1980,420,0,"M",0,"M"
3,1981,420,0,"M",0,"M"
3,1982,420,0,"M",0,"M"
3,1983,420,0,"M",0,"M"
3,1984,420,0,"M",0,"M"
3,1985,420,0,"M",0,"M"
3,1986,420,0,"M",0,"M"
3,1987,420,0,"M",0,"M"
3,1988,420,0,"M",0,"M"
3,1989,420,0,"M",0,"M"
3,1990,420,0,"M",0,"M"
3,1991,420,0,"M",0,"M"
3,1992,420,0,"M",0,"M"
3,1993,420,0,"M",0,"M"
3,1994,420,0,"M",0,"M"
3,1995,420,0,"M",0,"M"
3,1996,420,20,"F",100,"F"
3,1997,420,40,"F",200,"F"
3,1998,420,20,"F",100,"F"
3,1999,420,50,"F",300,"F"
3,2000,420,20,"*",100,"F"
3,2001,420,20,"*",100,"*"
3,2002,420,20,"*",100,"*"
3,2003,420,20,"*",100,"*"
3,2004,420,20,"*",100,"*"
3,2005,420,20,"*",100,"*"
3,2006,420,20,"*",100,"*"
3,2007,420,20,"*",100,"*"
3,2008,420,19,"E",107,"E"
3,2009,420,20,"E",109,"E"
3,2010,420,24,"E",100,"F"
3,2011,420,20,"E",93,"E"
4,1961,420,0," ",0," "
4,1962,420,0," ",0," "
4,1963,420,0," ",0," "
4,1964,420,0," ",0," "
4,1965,420,0," ",0," "
4,1966,420,0," ",0," "
4,1967,420,0," ",0," "
4,1968,420,0," ",0," "
4,1969,420,1000,"F",2000,"F"
4,1970,420,2500,"F",5000,"F"
4,1971,420,4000,"F",7000,"F"
4,1972,420,6000,"F",9000,"F"
4,1973,420,7400,"F",11000,"F"
4,1974,420,7700,"F",15000,"F"
4,1975,420,7900,"F",18000,"F"
4,1976,420,8100,"F",21000,"F"
4,1977,420,8700,"F",25000,"F"
4,1978,420,9000,"F",28000,"F"
4,1979,420,10000,"F",31000,"F"
4,1980,420,12000,"F",35000,"F"
4,1981,420,14240," ",39930," "
4,1982,420,12680," ",35600," "
4,1983,420,14360," ",44450," "
4,1984,420,17010," ",48994," "
4,1985,420,25500," ",114907," "
4,1986,420,19050," ",78661," "
4,1987,420,20790," ",85380," "
4,1988,420,18990," ",77135," "
4,1989,420,21890," ",96141," "
4,1990,420,19770," ",78298," "
4,1991,420,24120," ",114693," "
4,1992,420,21190," ",119986," "
4,1993,420,21630," ",73405," "
4,1994,420,22040," ",81866," "
4,1995,420,20780," ",110515," "
4,1996,420,20430," ",111356," "
4,1997,420,20850," ",103866," "
4,1998,420,19360," ",102448," "
4,1999,420,19980," ",119338," "
4,2000,420,19570," ",77719," "
4,2001,420,19970," ",124959," "
4,2002,420,20740," ",134864," "
4,2003,420,23100,"*",176407," "
4,2004,420,22700,"*",173800,"*"
4,2005,420,23280,"*",207500,"*"
4,2006,420,24661," ",177883," "
4,2007,420,21696," ",169950," "
4,2008,420,20400," ",280400," "
4,2009,420,21420," ",318950," "
4,2010,420,27782," ",248347," "
4,2011,420,27937," ",248737," "
11,1961,420,0,"M",0,"M"
11,1962,420,0,"M",0,"M"
11,1963,420,0,"M",0,"M"
11,1964,420,0,"M",0,"M"
11,1965,420,0,"M",0,"M"
11,1966,420,0,"M",0,"M"
11,1967,420,0,"M",0,"M"
11,1968,420,0,"M",0,"M"
11,1969,420,0,"M",0,"M"
11,1970,420,0,"M",0,"M"
11,1971,420,0,"M",0,"M"
11,1972,420,0,"M",0,"M"
11,1973,420,0,"M",0,"M"
11,1974,420,0,"M",0,"M"
11,1975,420,0,"M",0,"M"
11,1976,420,0,"M",0,"M"
11,1977,420,0,"M",0,"M"
11,1978,420,0,"M",0,"M"
11,1979,420,0,"M",0,"M"
11,1980,420,0,"M",0,"M"
11,1981,420,0,"M",0,"M"
11,1982,420,0,"M",0,"M"
11,1983,420,0,"M",0,"M"
11,1984,420,0,"M",0,"M"
11,1985,420,0,"M",0,"M"
11,1986,420,0,"M",0,"M"
11,1987,420,0,"M",0,"M"
11,1988,420,0,"M",0,"M"
11,1989,420,0,"M",0,"M"
11,1990,420,0,"M",0,"M"
11,1991,420,0,"M",0,"M"
11,1992,420,0,"M",0,"M"
11,1993,420,0,"M",0,"M"
11,1994,420,0,"M",0,"M"
11,1995,420,100," ",300," "
11,1996,420,100," ",100," "
11,1997,420,100," ",100," "
11,1998,420,100," ",100," "
11,1999,420,100," ",200," "
11,2000,420,100," ",200," "
11,2001,420,100," ",200," "
11,2002,420,100," ",200," "
11,2003,420,116," ",35," "
11,2004,420,157," ",244," "
11,2005,420,109," ",191," "
11,2006,420,117," ",179," "
11,2007,420,114," ",143," "
11,2008,420,134," ",167," "
11,2009,420,285," ",338," "
11,2010,420,735," ",655," "
11,2011,420,635," ",631," "
19,1961,420,15000," ",37000," "
19,1962,420,15000," ",37000," "
19,1963,420,15000," ",37000," "
19,1964,420,14000," ",35000," "
19,1965,420,14000," ",35000," "
19,1966,420,14000," ",35000," "
19,1967,420,13000," ",33000," "
19,1968,420,13000," ",33000," "
19,1969,420,8000," ",20000," "
19,1970,420,14000," ",34000," "
19,1971,420,14000," ",34000," "
19,1972,420,17000," ",41000," "
19,1973,420,19000," ",46000," "
19,1974,420,17400," ",45000," "
19,1975,420,18000,"F",46000,"*"
19,1976,420,28000," ",54880," "
19,1977,420,27000," ",52920," "
19,1978,420,24665," ",46490," "
19,1979,420,22760," ",35530," "
19,1980,420,21895," ",37130," "
19,1981,420,26220," ",53910," "
19,1982,420,23015," ",45000," "
19,1983,420,12581," ",14813," "
19,1984,420,30588," ",46569," "
19,1985,420,38571," ",50526," "
19,1986,420,35070," ",48350," "
19,1987,420,40000," ",56000," "
19,1988,420,35070," ",48350," "
19,1989,420,37480," ",52721," "
19,1990,420,33600," ",45855," "
19,1991,420,27260," ",37112," "
19,1992,420,27524," ",30959," "
19,1993,420,26964," ",35281," "
19,1994,420,26230," ",38359," "
19,1995,420,25247," ",36423," "
