"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,497,0,"M",0,"M"
3,1962,497,0,"M",0,"M"
3,1963,497,0,"M",0,"M"
3,1964,497,0,"M",0,"M"
3,1965,497,0,"M",0,"M"
3,1966,497,0,"M",0,"M"
3,1967,497,0,"M",0,"M"
3,1968,497,0,"M",0,"M"
3,1969,497,0,"M",0,"M"
3,1970,497,0,"M",0,"M"
3,1971,497,0,"M",0,"M"
3,1972,497,0,"M",0,"M"
3,1973,497,0,"M",0,"M"
3,1974,497,0,"M",0,"M"
3,1975,497,0,"M",0,"M"
3,1976,497,0,"M",0,"M"
3,1977,497,0,"M",0,"M"
3,1978,497,0,"M",0,"M"
3,1979,497,0,"M",0,"M"
3,1980,497,0,"M",0,"M"
3,1981,497,0,"M",0,"M"
3,1982,497,0,"M",0,"M"
3,1983,497,0,"M",0,"M"
3,1984,497,0,"M",0,"M"
3,1985,497,0,"M",0,"M"
3,1986,497,0,"M",0,"M"
3,1987,497,0,"M",0,"M"
3,1988,497,0,"M",0,"M"
3,1989,497,0,"M",0,"M"
3,1990,497,0,"M",0,"M"
3,1991,497,0,"M",0,"M"
3,1992,497,0,"M",0,"M"
3,1993,497,0,"M",0,"M"
3,1994,497,0,"M",0,"M"
3,1995,497,0,"M",0,"M"
3,1996,497,0,"M",0,"M"
3,1997,497,0,"M",0,"M"
3,1998,497,0,"M",0,"M"
3,1999,497,0,"M",0,"M"
3,2000,497,0,"M",0,"M"
3,2001,497,0,"M",0,"M"
3,2002,497,0,"M",0,"M"
3,2003,497,0,"M",0,"M"
3,2004,497,60,"F",602," "
3,2005,497,70,"F",700," "
3,2006,497,100,"F",860," "
3,2007,497,200,"F",1525," "
3,2008,497,400,"F",2840," "
3,2009,497,200,"F",1350," "
3,2010,497,210,"E",1637," "
3,2011,497,233," ",1900," "
4,1961,497,1500,"F",14770," "
4,1962,497,1500,"F",15030," "
4,1963,497,1500,"F",14980," "
4,1964,497,1500,"F",15435," "
4,1965,497,1500,"F",15164," "
4,1966,497,1500,"F",15693," "
4,1967,497,1500,"F",14706," "
4,1968,497,1500,"F",14484," "
4,1969,497,1700,"F",16962," "
4,1970,497,1600,"F",16275," "
4,1971,497,1400,"F",13892," "
4,1972,497,1100,"F",11050," "
4,1973,497,1300,"F",12972," "
4,1974,497,1250,"F",12607," "
4,1975,497,1000,"F",10230," "
4,1976,497,1300,"F",9529," "
4,1977,497,1200,"F",8945," "
4,1978,497,1100,"F",8407," "
4,1979,497,1100,"F",8234," "
4,1980,497,1000,"F",7758," "
4,1981,497,950,"F",7059," "
4,1982,497,1100,"F",8192," "
4,1983,497,1200,"F",9156," "
4,1984,497,900,"F",6576," "
4,1985,497,800,"F",5797," "
4,1986,497,750,"F",5724," "
4,1987,497,1100,"F",7990," "
4,1988,497,1100,"F",8000," "
4,1989,497,1200,"F",8830," "
4,1990,497,1020," ",11921," "
4,1991,497,1170," ",9203," "
4,1992,497,1490," ",15595," "
4,1993,497,1740," ",19254," "
4,1994,497,1770," ",21177," "
4,1995,497,1880," ",15666," "
4,1996,497,1890," ",14538," "
4,1997,497,1960," ",15411," "
4,1998,497,2330," ",25314," "
4,1999,497,2560," ",29082," "
4,2000,497,2690," ",29281," "
4,2001,497,3640," ",31644," "
4,2002,497,3880," ",38966," "
4,2003,497,3970," ",40156," "
4,2004,497,3064," ",45919," "
4,2005,497,3162," ",47305," "
4,2006,497,3283," ",47271," "
4,2007,497,3376," ",44672," "
4,2008,497,3501," ",43485," "
4,2009,497,3568," ",60110," "
4,2010,497,3668," ",52136," "
4,2011,497,3792," ",71982," "
8,1961,497,0,"M",0," "
8,1962,497,0,"M",0," "
8,1963,497,0,"M",0," "
8,1964,497,0,"M",0," "
8,1965,497,0,"M",0," "
8,1966,497,0,"M",10,"F"
8,1967,497,0,"M",12,"F"
8,1968,497,0,"M",17,"F"
8,1969,497,0,"M",20,"F"
8,1970,497,0,"M",27,"F"
8,1971,497,0,"M",30,"F"
8,1972,497,0,"M",54," "
8,1973,497,0,"M",23," "
8,1974,497,0,"M",15," "
8,1975,497,0,"M",12," "
8,1976,497,0,"M",16," "
8,1977,497,0,"M",10," "
8,1978,497,0,"M",12," "
8,1979,497,0,"M",70," "
8,1980,497,0,"M",14," "
8,1981,497,0,"M",21," "
8,1982,497,0,"M",15," "
8,1983,497,0,"M",8," "
8,1984,497,0,"M",143," "
8,1985,497,50,"F",180," "
8,1986,497,50,"F",200,"F"
8,1987,497,50,"F",208," "
8,1988,497,60,"F",249," "
8,1989,497,60,"F",250,"F"
8,1990,497,59,"E",270,"F"
8,1991,497,60,"E",202,"E"
8,1992,497,61,"E",280,"F"
8,1993,497,64,"E",199,"E"
8,1994,497,61,"E",206,"E"
8,1995,497,62,"E",220,"F"
8,1996,497,64,"E",237,"E"
8,1997,497,67,"E",296,"E"
8,1998,497,70,"E",260,"E"
8,1999,497,72,"E",323,"E"
8,2000,497,75,"E",225,"F"
8,2001,497,78,"E",230,"F"
8,2002,497,65,"F",250,"F"
8,2003,497,70,"F",265,"F"
8,2004,497,75,"F",285,"F"
8,2005,497,52,"F",200,"F"
8,2006,497,78,"F",300,"F"
8,2007,497,80,"F",305,"F"
8,2008,497,69,"E",276,"E"
8,2009,497,86,"E",344,"E"
8,2010,497,90,"F",383,"E"
8,2011,497,86,"E",404,"E"
9,1961,497,0,"M",86600," "
9,1962,497,0,"M",82000," "
9,1963,497,0,"M",79300," "
9,1964,497,0,"M",79000," "
9,1965,497,0,"M",70000," "
9,1966,497,0,"M",89000," "
9,1967,497,0,"M",74600," "
9,1968,497,0,"M",179000," "
9,1969,497,0,"M",194000," "
9,1970,497,0,"M",202457," "
9,1971,497,0,"M",198600," "
9,1972,497,0,"M",186000," "
9,1973,497,0,"M",232770," "
9,1974,497,0,"M",306000," "
9,1975,497,0,"M",339000," "
9,1976,497,0,"M",247000," "
9,1977,497,0,"M",320000," "
9,1978,497,0,"M",280000," "
9,1979,497,0,"M",301000," "
9,1980,497,19220," ",396000," "
9,1981,497,19600," ",409000," "
