"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,201,0," ",0," "
1,1962,201,0," ",0," "
1,1963,201,0," ",0," "
1,1964,201,0," ",0," "
1,1965,201,0," ",0," "
1,1966,201,0," ",0," "
1,1967,201,0," ",0," "
1,1968,201,0," ",0," "
1,1969,201,0," ",0," "
1,1970,201,0," ",0," "
1,1971,201,0," ",0," "
1,1972,201,0," ",0," "
1,1973,201,0," ",0," "
1,1974,201,0," ",0," "
1,1975,201,0," ",0," "
1,1976,201,0," ",0," "
1,1977,201,0," ",0," "
1,1978,201,0," ",0," "
1,1979,201,0," ",0," "
1,1980,201,0," ",0," "
1,1981,201,0," ",0," "
1,1982,201,0," ",0," "
1,1983,201,0," ",0," "
1,1984,201,0," ",0," "
1,1985,201,0," ",0," "
1,1986,201,0," ",0," "
1,1987,201,0," ",0," "
1,1988,201,0," ",0," "
1,1989,201,0," ",0," "
1,1990,201,249," ",47," "
1,1991,201,125," ",24," "
1,1992,201,59," ",20," "
1,1993,201,29," ",10," "
1,1994,201,40,"*",10,"*"
1,1995,201,50,"*",10,"*"
1,1996,201,30,"*",10,"*"
1,1997,201,20,"*",8,"*"
1,1998,201,20,"*",5,"*"
1,1999,201,8," ",5," "
1,2000,201,8," ",3," "
1,2001,201,11," ",14," "
1,2002,201,8," ",11," "
1,2003,201,27," ",78," "
1,2004,201,9," ",18," "
1,2005,201,11," ",24," "
1,2006,201,21," ",22," "
1,2007,201,18," ",25," "
1,2008,201,7," ",11," "
1,2009,201,5," ",5.3," "
1,2010,201,13," ",36," "
1,2011,201,14," ",24," "
4,1961,201,20650," ",6340," "
4,1962,201,15000," ",5500," "
4,1963,201,10000," ",4500," "
4,1964,201,8400," ",3075," "
4,1965,201,10220," ",3696," "
4,1966,201,7810," ",2982," "
4,1967,201,9130," ",3532," "
4,1968,201,22680," ",8946," "
4,1969,201,25940," ",11940," "
4,1970,201,21270," ",6205," "
4,1971,201,15890," ",6516," "
4,1972,201,17960," ",5506," "
4,1973,201,15880," ",5822," "
4,1974,201,16380," ",5099," "
4,1975,201,15470," ",7247," "
4,1976,201,17920," ",8876," "
4,1977,201,13760," ",4779," "
4,1978,201,15940," ",8859," "
4,1979,201,17990," ",4443," "
4,1980,201,16220," ",3020," "
4,1981,201,13020," ",2463," "
4,1982,201,9970," ",1700," "
4,1983,201,9090," ",1100," "
4,1984,201,22840," ",1707," "
4,1985,201,12580," ",1976," "
4,1986,201,4600," ",757," "
4,1987,201,7650," ",2090," "
4,1988,201,6570," ",1474," "
4,1989,201,3230," ",1206," "
4,1990,201,3530," ",773," "
4,1991,201,1950," ",950," "
4,1992,201,1540," ",893," "
4,1993,201,1810," ",781," "
4,1994,201,1970," ",458," "
4,1995,201,1510," ",454," "
4,1996,201,1370," ",839," "
4,1997,201,1440," ",434," "
4,1998,201,1150," ",601," "
4,1999,201,980," ",367," "
4,2000,201,690," ",194," "
4,2001,201,920," ",458," "
4,2002,201,920," ",435," "
4,2003,201,840,"*",490," "
4,2004,201,862," ",613," "
4,2005,201,1090," ",423," "
4,2006,201,1218," ",654," "
4,2007,201,873," ",561," "
4,2008,201,1369," ",1081," "
4,2009,201,2588," ",2693," "
4,2010,201,4233," ",4590," "
4,2011,201,3700,"*",3800,"*"
9,1961,201,9800," ",4600," "
9,1962,201,15189," ",11140," "
9,1963,201,14664," ",12050," "
9,1964,201,15589," ",11900," "
9,1965,201,16625," ",16500," "
9,1966,201,16468," ",15550," "
9,1967,201,23344," ",12900," "
9,1968,201,19193," ",8200," "
9,1969,201,22310," ",14200," "
9,1970,201,21530," ",8900," "
9,1971,201,16890," ",9510," "
9,1972,201,11800," ",5600," "
9,1973,201,9750," ",6700," "
9,1974,201,8200," ",6800," "
9,1975,201,8150," ",12940," "
9,1976,201,8630," ",15540," "
9,1977,201,28700," ",41400," "
9,1978,201,54340," ",40000," "
9,1979,201,21800," ",12400," "
9,1980,201,23000," ",16800," "
9,1981,201,22050," ",13370," "
9,1982,201,14000," ",13900," "
9,1983,201,7380," ",6550," "
9,1984,201,10500," ",6900," "
9,1985,201,15500," ",11500," "
9,1986,201,16900," ",18100," "
9,1987,201,12800," ",20700," "
9,1988,201,14955," ",25060," "
9,1989,201,16900," ",15000," "
9,1990,201,26900," ",25000," "
9,1991,201,27000," ",25800," "
9,1992,201,25000," ",24000," "
9,1993,201,24000," ",25100," "
9,1994,201,17200," ",32000," "
9,1995,201,9000," ",12000," "
9,1996,201,1500,"F",3000," "
9,1997,201,3500,"F",7000," "
9,1998,201,4500,"F",9000," "
9,1999,201,8000,"F",17000," "
9,2000,201,6000,"F",10900," "
9,2001,201,3000,"F",1800," "
9,2002,201,2000,"F",3000," "
9,2003,201,1500,"F",2500,"F"
