"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,333,0," ",0," "
1,1962,333,0," ",0," "
1,1963,333,0," ",0," "
1,1964,333,0," ",0," "
1,1965,333,0," ",0," "
1,1966,333,0," ",0," "
1,1967,333,0," ",0," "
1,1968,333,0," ",0," "
1,1969,333,0," ",0," "
1,1970,333,0," ",0," "
1,1971,333,0," ",0," "
1,1972,333,0," ",0," "
1,1973,333,0," ",0," "
1,1974,333,0," ",0," "
1,1975,333,0," ",0," "
1,1976,333,0," ",0," "
1,1977,333,0," ",0," "
1,1978,333,0," ",0," "
1,1979,333,0," ",0," "
1,1980,333,0," ",0," "
1,1981,333,0," ",0," "
1,1982,333,0," ",0," "
1,1983,333,0," ",0," "
1,1984,333,0," ",0," "
1,1985,333,0," ",0," "
1,1986,333,0," ",0," "
1,1987,333,0," ",0," "
1,1988,333,0," ",0," "
1,1989,333,0," ",0," "
1,1990,333,198," ",70," "
1,1991,333,154," ",50," "
1,1992,333,127," ",60," "
1,1993,333,0,"M",0,"M"
1,1994,333,0,"M",0,"M"
1,1995,333,0,"M",0,"M"
1,1996,333,0,"M",0,"M"
1,1997,333,0,"M",0,"M"
1,1998,333,0,"M",0,"M"
1,1999,333,0,"M",0,"M"
1,2000,333,0,"M",0,"M"
1,2001,333,0,"M",0,"M"
1,2002,333,0,"M",0,"M"
1,2003,333,0,"M",0,"M"
1,2004,333,0,"M",0,"M"
1,2005,333,0,"M",0,"M"
1,2006,333,0,"M",0,"M"
1,2007,333,0,"M",0,"M"
1,2008,333,0,"M",0,"M"
1,2009,333,0,"M",0,"M"
1,2010,333,0,"M",0,"M"
1,2011,333,0,"M",0,"M"
2,1961,333,46800,"F",17000,"F"
2,1962,333,46800,"F",18000,"*"
2,1963,333,46800,"F",18000,"*"
2,1964,333,46800,"F",18000,"*"
2,1965,333,46800,"F",19000,"*"
2,1966,333,46800,"F",20000,"*"
2,1967,333,46800,"F",20000,"F"
2,1968,333,46200,"F",20500,"F"
2,1969,333,46800,"F",21000,"F"
2,1970,333,46800,"F",20000,"F"
2,1971,333,47400,"F",16000,"F"
2,1972,333,47900,"F",19400,"F"
2,1973,333,50800,"F",21700,"F"
2,1974,333,50400,"F",22800,"F"
2,1975,333,56400,"F",22800,"F"
2,1976,333,56400,"*",22000,"*"
2,1977,333,56400,"F",20500,"F"
2,1978,333,56400,"F",20000,"F"
2,1979,333,55700,"F",19500,"F"
2,1980,333,54300,"F",19000,"F"
2,1981,333,53900,"F",18500,"F"
2,1982,333,51400,"F",18000,"F"
2,1983,333,50000,"F",17500,"F"
2,1984,333,48600,"F",17000,"F"
2,1985,333,47100,"F",16500,"F"
2,1986,333,45700,"F",16000,"F"
2,1987,333,44300,"F",15500,"F"
2,1988,333,42900,"F",15000,"F"
2,1989,333,41400,"F",14500,"F"
2,1990,333,40000,"F",14000,"F"
2,1991,333,38600,"F",13500,"F"
2,1992,333,31607,"E",13524,"E"
2,1993,333,39000,"F",13121,"E"
2,1994,333,41270,"E",13332,"E"
2,1995,333,41023,"E",13121,"E"
2,1996,333,36748,"E",12948,"E"
2,1997,333,36116,"E",12929,"E"
2,1998,333,35735,"E",12948,"E"
2,1999,333,32733,"E",13025,"E"
2,2000,333,24102,"E",11319,"E"
2,2001,333,23476,"E",11300,"E"
2,2002,333,21775,"E",11319,"E"
2,2003,333,18350,"E",11996,"E"
2,2004,333,12750," ",8300,"F"
2,2005,333,16588," ",10000,"F"
2,2006,333,1840," ",1100,"F"
2,2007,333,2000," ",1200,"F"
2,2008,333,3160," ",1300,"F"
