"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
9,1961,210,400,"F",300,"F"
9,1962,210,400,"F",300,"F"
9,1963,210,450," ",340," "
9,1964,210,450," ",420," "
9,1965,210,400," ",460," "
9,1966,210,270," ",240," "
9,1967,210,200," ",134," "
9,1968,210,600," ",375," "
9,1969,210,600," ",380," "
9,1970,210,600," ",530," "
9,1971,210,450," ",550," "
9,1972,210,370," ",400," "
9,1973,210,300," ",300," "
9,1974,210,200," ",230," "
9,1975,210,150," ",170," "
9,1976,210,120," ",170," "
9,1977,210,100," ",150," "
9,1978,210,65," ",105," "
9,1979,210,50," ",80," "
9,1980,210,60," ",70," "
9,1981,210,50," ",75," "
9,1982,210,50,"F",75,"F"
9,1983,210,50," ",80," "
9,1984,210,50,"F",80,"F"
9,1985,210,50,"F",80,"F"
9,1986,210,50,"F",80,"F"
9,1987,210,50,"F",80,"F"
9,1988,210,50,"F",80,"F"
9,1989,210,50,"F",80,"F"
9,1990,210,50,"F",80,"F"
9,1991,210,60,"F",100,"F"
9,1992,210,60,"F",100,"F"
9,1993,210,60,"F",100,"F"
9,1994,210,60,"F",100,"F"
9,1995,210,60,"F",100,"F"
9,1996,210,60,"F",100,"F"
9,1997,210,80,"F",120,"F"
9,1998,210,80,"F",120,"F"
9,1999,210,80,"F",120,"F"
9,2000,210,80,"F",120,"F"
9,2001,210,80,"F",120,"F"
9,2002,210,90,"F",130,"F"
9,2003,210,90,"F",130,"F"
9,2004,210,87,"F",130,"F"
9,2005,210,87,"F",130,"F"
9,2006,210,90,"F",135,"F"
9,2007,210,90,"F",150,"F"
9,2008,210,90,"F",150,"F"
9,2009,210,105,"E",143,"E"
9,2010,210,102,"E",154,"E"
9,2011,210,104,"E",152,"E"
10,1961,210,1497," ",581," "
10,1962,210,1217," ",406," "
10,1963,210,1909," ",539," "
10,1964,210,854," ",302," "
10,1965,210,843," ",340," "
10,1966,210,712," ",264," "
10,1967,210,1291," ",452," "
10,1968,210,4446," ",2019," "
10,1969,210,4965," ",1504," "
10,1970,210,12969," ",7733," "
10,1971,210,35613," ",25538," "
10,1972,210,45600," ",15500," "
10,1973,210,66600," ",51200," "
10,1974,210,124591," ",83798," "
10,1975,210,139332," ",103925," "
10,1976,210,113218," ",32861," "
10,1977,210,80777," ",33001," "
10,1978,210,67715," ",55471," "
10,1979,210,105830," ",78231," "
10,1980,210,117939," ",96007," "
10,1981,210,161137," ",135701," "
10,1982,210,256850," ",198740," "
10,1983,210,378868," ",378490," "
10,1984,210,593818," ",580614," "
10,1985,210,587656," ",524278," "
10,1986,210,749630," ",806772," "
10,1987,210,1014931," ",854531," "
10,1988,210,849833," ",927338," "
10,1989,210,810126," ",772005," "
10,1990,210,792561," ",757670," "
10,1991,210,938546," ",1047363," "
10,1992,210,1032473," ",1194983," "
10,1993,210,1150400," ",1479700," "
10,1994,210,1407000," ",1076210," "
10,1995,210,1323000," ",1559000," "
10,1996,210,1260000," ",1522050," "
10,1997,210,1425000," ",1561000," "
10,1998,210,1406000," ",1696000," "
10,1999,210,1347000," ",1968000," "
10,2000,210,1180000," ",1055000," "
10,2001,210,1139000," ",1215000," "
10,2002,210,1025000," ",726121," "
10,2003,210,850899," ",1180230," "
10,2004,210,844633," ",936602," "
10,2005,210,757000," ",1285000," "
10,2006,210,736351," ",470000," "
10,2007,210,752158," ",661861," "
10,2008,210,573300," ",707989," "
10,2009,210,483000," ",614000," "
10,2010,210,592000," ",629000," "
10,2011,210,755848," ",807673," "
11,1961,210,0,"M",0,"M"
11,1962,210,0,"M",0,"M"
11,1963,210,0,"M",0,"M"
11,1964,210,0,"M",0,"M"
11,1965,210,0,"M",0,"M"
11,1966,210,0,"M",0,"M"
11,1967,210,0,"M",0,"M"
11,1968,210,0,"M",0,"M"
11,1969,210,0,"M",0,"M"
11,1970,210,0,"M",0,"M"
11,1971,210,0,"M",0,"M"
11,1972,210,0,"M",0,"M"
11,1973,210,0,"M",0,"M"
11,1974,210,0,"M",0,"M"
11,1975,210,0,"M",0,"M"
11,1976,210,0,"M",0,"M"
11,1977,210,0,"M",0,"M"
11,1978,210,0,"M",0,"M"
11,1979,210,0,"M",0,"M"
11,1980,210,0,"M",0,"M"
11,1981,210,0,"M",0,"M"
11,1982,210,0,"M",0,"M"
11,1983,210,0,"M",0,"M"
11,1984,210,0,"M",0,"M"
11,1985,210,0,"M",0,"M"
11,1986,210,0,"M",0,"M"
11,1987,210,0,"M",0,"M"
11,1988,210,0,"M",0,"M"
11,1989,210,0,"M",0,"M"
11,1990,210,0,"M",0,"M"
11,1991,210,0,"M",0,"M"
11,1992,210,0,"M",0,"M"
11,1993,210,0,"M",0,"M"
11,1994,210,0,"M",0,"M"
11,1995,210,0,"M",0,"M"
11,1996,210,0,"M",0,"M"
11,1997,210,0,"M",0,"M"
11,1998,210,0,"M",0,"M"
11,1999,210,0,"M",0,"M"
11,2000,210,0,"M",0,"M"
11,2001,210,0,"M",0,"M"
11,2002,210,0,"M",0,"M"
11,2003,210,197," ",592," "
11,2004,210,203," ",608," "
11,2005,210,346," ",1038," "
11,2006,210,472," ",1415," "
11,2007,210,430," ",1289," "
11,2008,210,174," ",523," "
11,2009,210,207," ",621," "
11,2010,210,194," ",440," "
11,2011,210,147," ",344," "
40,1961,210,0," ",0," "
40,1962,210,0," ",0," "
40,1963,210,0," ",0," "
40,1964,210,0," ",0," "
40,1965,210,0," ",0," "
40,1966,210,0," ",0," "
40,1967,210,0," ",0," "
40,1968,210,0," ",0," "
40,1969,210,0," ",0," "
40,1970,210,0," ",0," "
40,1971,210,0," ",0," "
40,1972,210,0," ",0," "
40,1973,210,0," ",0," "
40,1974,210,0," ",0," "
40,1975,210,4,"F",10,"F"
40,1976,210,25,"F",60,"F"
40,1977,210,500,"*",1300,"*"
40,1978,210,1700,"*",4300,"*"
40,1979,210,2000,"*",5000,"*"
40,1980,210,4000,"*",10000,"*"
40,1981,210,7730," ",16230," "
40,1982,210,5000,"F",12000,"F"
40,1983,210,6000,"F",13000,"F"
40,1984,210,7000,"F",14000,"F"
40,1985,210,8080," ",16352," "
40,1986,210,7450," ",9685," "
40,1987,210,7140," ",13272," "
40,1988,210,6740," ",12507," "
40,1989,210,8570," ",15678," "
40,1990,210,10370," ",21182," "
40,1991,210,8270," ",14482," "
40,1992,210,8510," ",18651," "
40,1993,210,12690," ",26215," "
40,1994,210,20740," ",44099," "
40,1995,210,24839," ",50000,"F"
40,1996,210,17846," ",35000,"F"
40,1997,210,15211," ",25333," "
40,1998,210,19190," ",42075," "
40,1999,210,18724," ",22416," "
40,2000,210,22036," ",41374," "
40,2001,210,16290," ",37019," "
40,2002,210,15540," ",31060," "
40,2003,210,15720," ",43520," "
40,2004,210,19150," ",52011," "
40,2005,210,25300," ",63246," "
40,2006,210,28490," ",70479," "
40,2007,210,21148," ",51408," "
40,2008,210,15250," ",31623," "
40,2009,210,10283," ",12311," "
40,2010,210,29887," ",73325," "
40,2011,210,23257," ",44189," "
57,1961,210,0,"M",0,"M"
57,1962,210,0,"M",0,"M"
57,1963,210,0,"M",0,"M"
57,1964,210,0,"M",0,"M"
57,1965,210,0,"M",0,"M"
57,1966,210,0,"M",0,"M"
