"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
5,1961,446,2,"F",4,"F"
5,1962,446,2,"F",4,"F"
5,1963,446,2,"F",4,"F"
5,1964,446,2,"F",4,"F"
5,1965,446,2,"F",4,"F"
5,1966,446,2,"F",5,"F"
5,1967,446,2,"F",5,"F"
5,1968,446,2,"F",5,"F"
5,1969,446,2,"F",5,"F"
5,1970,446,2,"F",5,"F"
5,1971,446,3,"F",6,"F"
5,1972,446,3,"F",7,"F"
5,1973,446,3,"F",7,"F"
5,1974,446,3,"F",7,"F"
5,1975,446,3,"F",6,"F"
5,1976,446,3,"F",7,"F"
5,1977,446,3,"F",6,"F"
5,1978,446,3,"F",5,"F"
5,1979,446,3,"F",6,"F"
5,1980,446,3,"F",7,"F"
5,1981,446,3,"F",8,"F"
5,1982,446,3,"F",9,"F"
5,1983,446,3,"F",10,"F"
5,1984,446,3,"F",11,"F"
5,1985,446,3,"F",12,"F"
5,1986,446,3,"F",13,"F"
5,1987,446,3,"F",14,"F"
5,1988,446,3,"F",15,"F"
5,1989,446,3,"T",3," "
5,1990,446,3,"F",17,"F"
5,1991,446,3,"F",18,"F"
5,1992,446,3,"F",19,"F"
5,1993,446,3,"F",20,"F"
5,1994,446,3,"T",27,"E"
5,1995,446,5,"E",28,"E"
5,1996,446,6,"E",38,"E"
5,1997,446,5,"F",30,"F"
5,1998,446,2," ",32," "
5,1999,446,6,"F",36,"F"
5,2000,446,6,"F",35,"E"
5,2001,446,6,"F",37,"E"
5,2002,446,5,"E",34,"E"
5,2003,446,6," ",38," "
5,2004,446,6,"F",36,"F"
5,2005,446,6,"F",34,"E"
5,2006,446,6,"F",35,"E"
5,2007,446,6,"F",36,"F"
5,2008,446,6,"T",36,"T"
5,2009,446,6,"T",36,"T"
5,2010,446,6,"T",36,"T"
5,2011,446,6,"T",32,"E"
10,1961,446,900,"F",7000,"F"
10,1962,446,950,"F",7500,"F"
10,1963,446,1000,"F",8000,"F"
10,1964,446,1100,"F",9000,"F"
10,1965,446,1200,"F",10000,"F"
10,1966,446,1300,"F",11500,"F"
10,1967,446,1400,"F",12500,"F"
10,1968,446,1509," ",14665," "
10,1969,446,1804," ",15399," "
10,1970,446,2303," ",18872," "
10,1971,446,2139," ",19301," "
10,1972,446,2201," ",18108," "
10,1973,446,2757," ",24691," "
10,1974,446,3380," ",27910," "
10,1975,446,3100," ",26341," "
10,1976,446,2788," ",24006," "
10,1977,446,3474," ",32450," "
10,1978,446,4204," ",45260," "
10,1979,446,2853," ",30979," "
10,1980,446,3581,"*",34517,"*"
10,1981,446,3768,"*",40228,"*"
10,1982,446,3806," ",31718," "
10,1983,446,3906," ",44618," "
10,1984,446,3843," ",38137," "
10,1985,446,4293," ",49237," "
10,1986,446,3740," ",48720," "
10,1987,446,4081," ",52418," "
10,1988,446,5144," ",64469," "
10,1989,446,5177," ",65238," "
10,1990,446,3787," ",49780," "
10,1991,446,3753," ",49941," "
10,1992,446,4422," ",52216," "
10,1993,446,5000,"F",60000,"F"
10,1994,446,5300,"F",67000,"F"
10,1995,446,5488," ",74055," "
10,1996,446,6472," ",81901," "
10,1997,446,5434," ",64785," "
10,1998,446,5579," ",77670," "
10,1999,446,4505," ",57172," "
