"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,56,1000," ",3000," "
1,1962,56,2000," ",4000," "
1,1963,56,4000," ",11000," "
1,1964,56,2000," ",7000," "
1,1965,56,1000," ",4000," "
1,1966,56,1000," ",2000," "
1,1967,56,1000," ",2000," "
1,1968,56,500," ",1000," "
1,1969,56,400," ",1000," "
1,1970,56,300," ",1000," "
1,1971,56,300," ",1000," "
1,1972,56,500," ",1000," "
1,1973,56,300," ",1000," "
1,1974,56,300," ",1000," "
1,1975,56,200," ",1000," "
1,1976,56,0," ",0," "
1,1977,56,300," ",600," "
1,1978,56,300," ",1000," "
1,1979,56,300," ",500," "
1,1980,56,400," ",1000," "
1,1981,56,400,"F",1000,"F"
1,1982,56,400,"F",1000,"F"
1,1983,56,400,"F",1000,"F"
1,1984,56,300,"F",1000,"F"
1,1985,56,300," ",1000," "
1,1986,56,300," ",1000," "
1,1987,56,400," ",1000," "
1,1988,56,400," ",1000,"F"
1,1989,56,200," ",200,"F"
1,1990,56,187," ",318," "
1,1991,56,438," ",1102," "
1,1992,56,1297," ",4195," "
1,1993,56,1212," ",3910," "
1,1994,56,1500," ",4900," "
1,1995,56,2300," ",4200," "
1,1996,56,1970," ",4381," "
1,1997,56,2100," ",9565," "
1,1998,56,2200," ",5738," "
1,1999,56,2841," ",11450," "
1,2000,56,2552," ",5915," "
1,2001,56,2602," ",9865," "
1,2002,56,3252," ",12156," "
1,2003,56,3310," ",15241," "
1,2004,56,3127," ",19322," "
1,2005,56,3161," ",14127," "
1,2006,56,2528," ",8421," "
1,2007,56,3541," ",18860," "
1,2008,56,3963," ",21172," "
1,2009,56,2637," ",15232," "
1,2010,56,2729," ",12751," "
1,2011,56,3524," ",19120," "
2,1961,56,5e+05," ",7e+05," "
2,1962,56,5e+05," ",7e+05," "
2,1963,56,5e+05," ",713000," "
2,1964,56,505000," ",720000," "
2,1965,56,5e+05," ",720000," "
2,1966,56,5e+05," ",720000," "
2,1967,56,543000," ",768000," "
2,1968,56,453000," ",773000," "
2,1969,56,457000," ",785000," "
2,1970,56,452000," ",667000," "
2,1971,56,5e+05," ",670000," "
2,1972,56,460000," ",720000," "
2,1973,56,470000," ",760000," "
2,1974,56,476200," ",770000," "
2,1975,56,484000," ",780000," "
2,1976,56,482000," ",8e+05," "
2,1977,56,480000," ",760000," "
2,1978,56,482000," ",780000," "
2,1979,56,472000," ",760000," "
2,1980,56,450000,"F",752000,"F"
2,1981,56,420000,"F",701000,"F"
2,1982,56,398000,"*",663000,"*"
2,1983,56,384000,"*",639000,"*"
2,1984,56,366000,"*",608000,"*"
2,1985,56,346500,"*",577000,"*"
2,1986,56,336000," ",567000," "
2,1987,56,302000,"*",514000,"*"
2,1988,56,290000,"*",494000,"*"
2,1989,56,270000,"*",458000,"*"
2,1990,56,273000," ",480000," "
2,1991,56,250000," ",420000," "
2,1992,56,2e+05,"F",3e+05," "
2,1993,56,280000,"F",470000," "
2,1994,56,3e+05,"F",5e+05," "
2,1995,56,320000,"F",530000," "
2,1996,56,220000,"F",360000," "
2,1997,56,2e+05," ",3e+05," "
2,1998,56,2e+05," ",330000," "
2,1999,56,160000," ",240000," "
2,2000,56,96000," ",115000," "
2,2001,56,80000," ",160000," "
2,2002,56,1e+05," ",298000," "
2,2003,56,250000," ",210000," "
2,2004,56,250000," ",4e+05," "
2,2005,56,261000," ",315000," "
2,2006,56,137000," ",359000," "
2,2007,56,137000," ",360000," "
2,2008,56,137000," ",360000," "
2,2009,56,140000," ",3e+05," "
2,2010,56,183000," ",301000," "
2,2011,56,183000," ",300120," "
3,1961,56,161516," ",154104," "
3,1962,56,135383," ",122919," "
3,1963,56,161138," ",192141," "
3,1964,56,145457," ",169231," "
3,1965,56,157631," ",165660," "
3,1966,56,146598," ",220648," "
3,1967,56,149717," ",258131," "
3,1968,56,116890," ",219547," "
