"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
8,1961,571,0,"M",0," "
8,1962,571,0,"M",0," "
8,1963,571,0,"M",0," "
8,1964,571,0,"M",0," "
8,1965,571,0,"M",0," "
8,1966,571,0,"M",20,"F"
8,1967,571,0,"M",45,"F"
8,1968,571,0,"M",60,"F"
8,1969,571,0,"M",70,"F"
8,1970,571,0,"M",100,"F"
8,1971,571,0,"M",120,"F"
8,1972,571,0,"M",138," "
8,1973,571,0,"M",35," "
8,1974,571,0,"M",38," "
8,1975,571,0,"M",277," "
8,1976,571,0,"M",125," "
8,1977,571,0,"M",290," "
8,1978,571,0,"M",172," "
8,1979,571,0,"M",361," "
8,1980,571,0,"M",454," "
8,1981,571,0,"M",1020," "
8,1982,571,0,"M",540," "
8,1983,571,0,"M",281," "
8,1984,571,0,"M",424," "
8,1985,571,180,"F",918," "
8,1986,571,180,"F",1000,"F"
8,1987,571,210,"F",1245," "
8,1988,571,230,"F",1494," "
8,1989,571,230,"F",1500,"F"
8,1990,571,206,"E",1471,"E"
8,1991,571,205,"E",1600,"F"
8,1992,571,258,"E",1743,"E"
8,1993,571,235,"E",1570,"E"
8,1994,571,234,"E",1479,"E"
8,1995,571,240,"E",1300,"F"
8,1996,571,226,"E",1090,"E"
8,1997,571,228,"E",1040,"E"
8,1998,571,221,"E",1134,"E"
8,1999,571,220,"E",1165,"E"
8,2000,571,240,"F",1328,"E"
8,2001,571,233,"E",1350,"F"
8,2002,571,245,"F",1400,"F"
8,2003,571,250,"F",1375,"F"
8,2004,571,260,"F",1430,"F"
8,2005,571,247,"E",1514,"E"
8,2006,571,286,"E",1375,"E"
8,2007,571,333,"E",1454,"E"
8,2008,571,270,"F",1500,"F"
8,2009,571,270,"F",1550,"F"
8,2010,571,270,"F",1500,"F"
8,2011,571,270,"F",1500,"F"
9,1961,571,0,"M",2000," "
9,1962,571,0,"M",2000," "
9,1963,571,0,"M",3000," "
9,1964,571,0,"M",4000," "
9,1965,571,0,"M",4000," "
9,1966,571,0,"M",2000," "
9,1967,571,0,"M",2313," "
9,1968,571,0,"M",2342," "
9,1969,571,0,"M",2370," "
9,1970,571,0,"M",2260," "
9,1971,571,0,"M",3362," "
9,1972,571,0,"M",2110," "
9,1973,571,0,"M",2150," "
9,1974,571,0,"M",2070," "
9,1975,571,0,"M",2500," "
9,1976,571,0,"M",1060," "
9,1977,571,0,"M",2170," "
9,1978,571,0,"M",1700," "
9,1979,571,0,"M",1300," "
9,1980,571,0,"M",1200," "
9,1981,571,0,"M",1400," "
9,1982,571,0,"M",1500,"F"
9,1983,571,0,"M",1500,"F"
9,1984,571,0,"M",1500,"F"
9,1985,571,210,"F",1500,"F"
9,1986,571,210,"F",1500,"F"
9,1987,571,210,"F",1500,"F"
9,1988,571,210,"F",1500,"F"
9,1989,571,210,"F",1500,"F"
9,1990,571,188,"E",1421,"E"
9,1991,571,191,"E",1600,"F"
9,1992,571,240,"F",1700,"F"
9,1993,571,237,"E",1800,"F"
9,1994,571,254,"E",1900,"F"
9,1995,571,264,"E",2000,"F"
9,1996,571,245,"E",1688,"E"
9,1997,571,241,"E",2043,"E"
9,1998,571,242,"E",1922,"E"
9,1999,571,200,"F",1800,"F"
9,2000,571,195,"E",1801,"E"
9,2001,571,210,"E",2053,"E"
9,2002,571,250,"F",1900,"F"
9,2003,571,248,"E",1931,"E"
9,2004,571,233,"F",1867,"F"
9,2005,571,240,"E",2025,"E"
9,2006,571,250,"F",2000,"F"
9,2007,571,270,"F",2200,"F"
9,2008,571,257,"E",2102,"E"
9,2009,571,282,"E",1930,"E"
9,2010,571,276,"E",1942,"E"
9,2011,571,269,"E",2024,"E"
10,1961,571,272," ",927," "
10,1962,571,272," ",927," "
10,1963,571,284," ",834," "
10,1964,571,293," ",1060," "
10,1965,571,239," ",573," "
10,1966,571,289," ",992," "
10,1967,571,332," ",1033," "
10,1968,571,336," ",1204," "
10,1969,571,333," ",1089," "
10,1970,571,353," ",997," "
10,1971,571,380,"F",1501," "
10,1972,571,405,"F",1209," "
10,1973,571,460,"F",1662," "
10,1974,571,415,"F",740," "
10,1975,571,420,"F",1191," "
10,1976,571,360,"F",523," "
10,1977,571,405,"F",1410," "
10,1978,571,430,"F",1412," "
10,1979,571,515,"F",1111," "
10,1980,571,545,"F",1448,"*"
10,1981,571,875,"F",2246," "
10,1982,571,860,"F",2281,"*"
10,1983,571,2255,"F",2027,"*"
10,1984,571,3500,"F",2536," "
10,1985,571,2580,"F",2840," "
10,1986,571,2100,"F",4000," "
10,1987,571,2400,"F",2884," "
10,1988,571,2600,"F",6991," "
10,1989,571,3300,"F",5767," "
10,1990,571,3700,"F",9262," "
10,1991,571,4300,"F",11918," "
10,1992,571,4800,"F",17252," "
10,1993,571,5700,"F",22369," "
10,1994,571,6000,"F",19440," "
10,1995,571,6006,"E",29603," "
10,1996,571,6167,"E",27236," "
10,1997,571,6900,"F",32403," "
10,1998,571,7200,"F",36567," "
10,1999,571,6000,"F",26372," "
10,2000,571,7500,"F",38071," "
10,2001,571,8708,"E",37398," "
10,2002,571,8000,"F",40973," "
10,2003,571,7875,"E",39470," "
10,2004,571,8154,"E",37169," "
10,2005,571,8255,"E",49517," "
10,2006,571,6000,"F",36348," "
10,2007,571,9500,"F",57947," "
10,2008,571,9527,"E",48928," "
10,2009,571,9936,"E",40660," "
10,2010,571,9500,"E",44342," "
10,2011,571,9000,"F",36659," "
12,1961,571,0,"M",0,"M"
12,1962,571,0,"M",0,"M"
12,1963,571,0,"M",0,"M"
12,1964,571,0,"M",0,"M"
12,1965,571,0,"M",0,"M"
12,1966,571,0,"M",0,"M"
12,1967,571,0,"M",0,"M"
12,1968,571,0,"M",0,"M"
12,1969,571,0,"M",0,"M"
12,1970,571,0,"M",0,"M"
12,1971,571,0,"M",0,"M"
12,1972,571,0,"M",0,"M"
12,1973,571,0,"M",0,"M"
12,1974,571,0,"M",0,"M"
12,1975,571,0,"M",0,"M"
12,1976,571,0,"M",0,"M"
12,1977,571,0,"M",0,"M"
12,1978,571,0,"M",0,"M"
12,1979,571,0,"M",0,"M"
12,1980,571,0,"M",0,"M"
12,1981,571,0,"M",0,"M"
12,1982,571,0,"M",0,"M"
12,1983,571,0,"M",0,"M"
12,1984,571,0,"M",0,"M"
12,1985,571,0,"M",0,"M"
12,1986,571,0,"M",0,"M"
12,1987,571,0,"M",0,"M"
12,1988,571,0,"M",0,"M"
12,1989,571,0,"M",0,"M"
12,1990,571,0,"M",0,"M"
12,1991,571,0,"M",0,"M"
12,1992,571,0,"M",0,"M"
12,1993,571,0,"M",0,"M"
12,1994,571,0,"M",0,"M"
12,1995,571,0,"M",0,"M"
12,1996,571,0,"M",0,"M"
12,1997,571,0,"M",0,"M"
12,1998,571,0,"M",0,"M"
12,1999,571,0,"M",0,"M"
12,2000,571,0,"M",0,"M"
12,2001,571,0,"M",0,"M"
12,2002,571,0,"M",0,"M"
12,2003,571,0,"M",0,"M"
12,2004,571,0,"M",0,"M"
12,2005,571,0,"M",0,"M"
12,2006,571,0,"M",0,"M"
12,2007,571,0,"M",0,"M"
12,2008,571,0,"M",0,"M"
12,2009,571,0,"M",0,"M"
12,2010,571,132," ",2375," "
12,2011,571,136," ",2439," "
16,1961,571,40000,"F",508000," "
16,1962,571,44000," ",504000," "
16,1963,571,41000," ",531000," "
16,1964,571,42000," ",536000," "
16,1965,571,38000," ",480000," "
16,1966,571,38000," ",495000," "
16,1967,571,38000," ",510000," "
16,1968,571,39000," ",568000," "
16,1969,571,40076," ",451294," "
16,1970,571,41659," ",399572," "
16,1971,571,41700," ",421660," "
16,1972,571,41044," ",365692," "
16,1973,571,41410," ",341698," "
16,1974,571,41600," ",300903," "
16,1975,571,40924," ",283732," "
16,1976,571,42820," ",271450," "
16,1977,571,43042," ",268339," "
16,1978,571,43292," ",254836," "
16,1979,571,43213," ",214100," "
16,1980,571,43280," ",206945," "
16,1981,571,43682," ",202898," "
16,1982,571,45423," ",183807," "
16,1983,571,45854," ",196125," "
16,1984,571,44846," ",158622," "
16,1985,571,45261," ",162652," "
16,1986,571,46080," ",159015," "
16,1987,571,46485," ",155390," "
16,1988,571,48427," ",160180," "
16,1989,571,48739," ",159141," "
16,1990,571,48722," ",175415," "
16,1991,571,48804," ",178765," "
16,1992,571,49060," ",183315," "
16,1993,571,49110," ",183500," "
16,1994,571,49482," ",183555," "
16,1995,571,49921," ",189350," "
16,1996,571,50109," ",186255," "
16,1997,571,50281," ",186625," "
16,1998,571,50393," ",186760," "
16,1999,571,50586," ",187000," "
16,2000,571,50586," ",187000," "
16,2001,571,50607," ",188000," "
16,2002,571,50600," ",187000," "
16,2003,571,50600," ",243000," "
16,2004,571,51000," ",243000," "
16,2005,571,124000,"*",622000," "
16,2006,571,128000,"*",639910," "
16,2007,571,154000,"*",766930," "
16,2008,571,124000,"*",802750," "
16,2009,571,124000,"*",828161," "
16,2010,571,129000,"*",1047849," "
16,2011,571,111100,"*",889176," "
18,1961,571,0,"M",0,"M"
18,1962,571,0,"M",0,"M"
18,1963,571,0,"M",0,"M"
18,1964,571,0,"M",0,"M"
18,1965,571,0,"M",0,"M"
18,1966,571,0,"M",0,"M"
18,1967,571,0,"M",0,"M"
18,1968,571,0,"M",0,"M"
18,1969,571,0,"M",0,"M"
18,1970,571,0,"M",0,"M"
18,1971,571,0,"M",0,"M"
18,1972,571,0,"M",0,"M"
18,1973,571,0,"M",0,"M"
18,1974,571,0,"M",0,"M"
18,1975,571,0,"M",0,"M"
18,1976,571,0,"M",0,"M"
18,1977,571,0,"M",0,"M"
18,1978,571,0,"M",0,"M"
18,1979,571,0,"M",0,"M"
18,1980,571,0,"M",0,"M"
18,1981,571,0,"M",0,"M"
18,1982,571,0,"M",0,"M"
18,1983,571,0,"M",0,"M"
18,1984,571,0,"M",0,"M"
18,1985,571,0,"M",0,"M"
18,1986,571,0,"M",0,"M"
18,1987,571,0,"M",0,"M"
18,1988,571,0,"M",0,"M"
18,1989,571,0,"M",0,"M"
18,1990,571,0,"M",0,"M"
18,1991,571,0,"M",0,"M"
18,1992,571,0,"M",0,"M"
18,1993,571,0,"M",0,"M"
18,1994,571,0,"M",0,"M"
18,1995,571,0,"M",0,"M"
18,1996,571,0,"M",0,"M"
18,1997,571,0,"M",0,"M"
18,1998,571,0,"M",0,"M"
18,1999,571,0,"M",0,"M"
18,2000,571,0,"M",0,"M"
18,2001,571,0,"M",0,"M"
18,2002,571,0,"M",0,"M"
18,2003,571,0,"M",0,"M"
18,2004,571,0,"M",401," "
18,2005,571,0,"M",2109," "
18,2006,571,600,"F",800,"F"
18,2007,571,500,"F",670," "
18,2008,571,500,"F",610," "
18,2009,571,315," ",315," "
18,2010,571,108.9437475," ",398," "
18,2011,571,108,"E",451," "
19,1961,571,210,"F",1800,"F"
19,1962,571,220,"F",1900,"F"
19,1963,571,230,"F",2000,"F"
19,1964,571,250,"F",2100,"F"
19,1965,571,250,"F",2100,"F"
19,1966,571,260,"F",2200,"F"
19,1967,571,270,"F",2300,"F"
19,1968,571,270,"F",2300,"F"
19,1969,571,290,"F",2500," "
19,1970,571,290,"F",2500," "
19,1971,571,300,"F",2520," "
19,1972,571,310,"F",2630," "
19,1973,571,330,"F",2800," "
19,1974,571,360,"F",3050," "
19,1975,571,360,"F",3150," "
19,1976,571,360,"F",3120," "
19,1977,571,360,"F",3135," "
19,1978,571,340,"F",2940," "
19,1979,571,340,"F",2945," "
19,1980,571,395," ",3395," "
19,1981,571,395," ",3400," "
19,1982,571,425," ",3960," "
19,1983,571,425," ",3740," "
19,1984,571,456," ",4393," "
19,1985,571,510," ",4595," "
19,1986,571,540," ",5100," "
19,1987,571,565," ",5400," "
19,1988,571,605," ",5700," "
19,1989,571,620," ",5840," "
19,1990,571,650," ",6120," "
19,1991,571,685," ",6630," "
19,1992,571,692," ",6085," "
19,1993,571,728," ",6495," "
19,1994,571,740," ",6630," "
19,1995,571,765," ",6700," "
19,1996,571,780," ",6864," "
19,1997,571,780," ",6990," "
19,1998,571,780," ",6990," "
19,1999,571,800," ",7500," "
19,2000,571,810," ",7700," "
19,2001,571,815," ",7710," "
19,2002,571,815," ",7715," "
19,2003,571,486," ",5019," "
19,2004,571,493," ",5150," "
19,2005,571,500," ",5288," "
19,2006,571,506," ",5425," "
19,2007,571,514," ",5567," "
19,2008,571,520," ",5695," "
19,2009,571,1191," ",10753," "
19,2010,571,1181," ",10633," "
19,2011,571,1167," ",10544," "
21,1961,571,40600,"F",653324," "
21,1962,571,41500,"F",672000," "
21,1963,571,42000,"F",675500," "
21,1964,571,41000,"F",665410," "
21,1965,571,42537," ",706763," "
21,1966,571,44437," ",682899," "
21,1967,571,43323," ",706426," "
21,1968,571,44531," ",754218," "
21,1969,571,44598," ",773647," "
21,1970,571,44665," ",751978," "
21,1971,571,45274," ",812246," "
21,1972,571,46609," ",978642," "
21,1973,571,38402," ",649281," "
21,1974,571,41837," ",749097," "
21,1975,571,42080," ",749680," "
21,1976,571,40766," ",732651," "
21,1977,571,41001," ",737146," "
21,1978,571,40815," ",708957," "
21,1979,571,38422," ",640767," "
21,1980,571,37732," ",618671," "
21,1981,571,36462," ",602861," "
21,1982,571,35372," ",565400," "
21,1983,571,35555," ",508529," "
21,1984,571,36492," ",519347," "
21,1985,571,37569," ",526721," "
21,1986,571,38620," ",520860," "
21,1987,571,40883," ",590311," "
21,1988,571,42704," ",543676," "
21,1989,571,45223," ",541901," "
21,1990,571,45303," ",545156," "
21,1991,571,47025," ",550053," "
21,1992,571,48022," ",551433," "
21,1993,571,53107," ",563511," "
21,1994,571,55444," ",604906," "
21,1995,571,56502," ",638371," "
21,1996,571,62146," ",593423," "
21,1997,571,64726," ",508350," "
21,1998,571,66838," ",468593," "
21,1999,571,61213," ",456465," "
21,2000,571,67590," ",538301," "
21,2001,571,67226," ",782308," "
21,2002,571,66676," ",849751," "
21,2003,571,68136," ",925018," "
21,2004,571,69617," ",949610," "
21,2005,571,68141," ",1002211," "
21,2006,571,74782," ",1217187," "
21,2007,571,75911," ",1272184," "
21,2008,571,74003," ",1154649," "
21,2009,571,75178," ",1197694," "
21,2010,571,75179," ",1189651," "
21,2011,571,76383," ",1249521," "
23,1961,571,0,"M",0," "
23,1962,571,0,"M",0," "
23,1963,571,0,"M",0," "
23,1964,571,0,"M",0," "
23,1965,571,0,"M",0," "
23,1966,571,0,"M",0," "
23,1967,571,0,"M",0," "
23,1968,571,0,"M",0," "
23,1969,571,0,"M",0," "
23,1970,571,0,"M",0," "
23,1971,571,0,"M",0," "
23,1972,571,0,"M",0," "
23,1973,571,0,"M",90," "
23,1974,571,0,"M",90," "
23,1975,571,0,"M",150,"F"
23,1976,571,0,"M",250," "
23,1977,571,0,"M",700,"F"
23,1978,571,0,"M",800,"F"
23,1979,571,0,"M",900,"F"
23,1980,571,0,"M",950,"F"
23,1981,571,0,"M",1000,"F"
23,1982,571,0,"M",700,"F"
23,1983,571,0,"M",1120,"F"
23,1984,571,0,"M",1150,"F"
23,1985,571,170,"F",1000,"F"
23,1986,571,170,"F",1000,"F"
23,1987,571,170,"F",1000,"F"
23,1988,571,170,"F",1000,"F"
23,1989,571,496," ",1000,"F"
23,1990,571,496," ",1107,"E"
23,1991,571,564," ",855,"E"
23,1992,571,594," ",846,"E"
23,1993,571,635," ",894,"E"
23,1994,571,600,"F",947,"E"
23,1995,571,570,"E",1064,"E"
23,1996,571,588,"E",987,"E"
23,1997,571,594,"E",1075,"E"
23,1998,571,500,"F",985,"E"
23,1999,571,465," ",1178," "
23,2000,571,450,"F",1200,"F"
23,2001,571,494,"E",1208,"E"
23,2002,571,248," ",1105," "
23,2003,571,264," ",1205," "
23,2004,571,94," ",563," "
23,2005,571,355,"F",2120," "
23,2006,571,101," ",1113," "
23,2007,571,59," ",608," "
23,2008,571,55,"F",564," "
23,2009,571,53,"E",585," "
23,2010,571,60,"F",600,"F"
23,2011,571,65,"E",644,"E"
32,1961,571,0,"M",0," "
