"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
48,1961,809,500,"F",520,"*"
48,1962,809,700,"F",725,"*"
48,1963,809,900,"F",940,"*"
48,1964,809,1100,"F",1120,"*"
48,1965,809,900,"F",908,"*"
48,1966,809,950,"F",965,"*"
48,1967,809,950,"F",950,"F"
48,1968,809,950,"F",950,"F"
48,1969,809,950,"F",950,"F"
48,1970,809,950,"F",950,"F"
48,1971,809,950,"F",950,"F"
48,1972,809,1000,"F",1000,"F"
48,1973,809,1000,"F",1000,"F"
48,1974,809,1000,"F",1000,"F"
48,1975,809,1000,"F",1000,"F"
48,1976,809,1000,"F",1000,"F"
48,1977,809,1000,"F",1000,"F"
48,1978,809,1000,"F",1000,"F"
48,1979,809,1000,"F",1000,"F"
48,1980,809,1000," ",1000," "
48,1981,809,1000," ",1000," "
48,1982,809,1000,"F",1000,"F"
48,1983,809,1000,"F",1000,"F"
48,1984,809,1000,"F",1000,"F"
48,1985,809,1000,"F",1000,"F"
48,1986,809,1000,"F",1000,"F"
48,1987,809,1000,"F",1000,"F"
48,1988,809,1000,"F",1000,"F"
48,1989,809,1000,"F",1000,"F"
48,1990,809,1038,"E",896,"E"
48,1991,809,1017,"E",625,"E"
48,1992,809,1024,"E",604,"E"
48,1993,809,1100,"F",1100,"F"
48,1994,809,936,"E",848,"E"
48,1995,809,945,"E",979,"E"
48,1996,809,1003,"E",1187,"E"
48,1997,809,1072,"E",1269,"E"
48,1998,809,1048,"E",1370,"E"
48,1999,809,1023,"E",1392,"E"
48,2000,809,1019,"E",1602,"E"
48,2001,809,1004,"E",1803,"E"
48,2002,809,944,"E",1390,"E"
48,2003,809,930,"E",1490,"E"
48,2004,809,951,"E",1400,"F"
48,2005,809,1018,"E",1350,"F"
48,2006,809,1021,"E",1300,"F"
48,2007,809,1017,"E",1250,"F"
48,2008,809,944,"E",1200,"F"
48,2009,809,973,"E",1185,"E"
48,2010,809,946,"E",1049,"E"
48,2011,809,1024,"E",1209,"E"
58,1961,809,100,"F",120,"F"
58,1962,809,100,"F",120,"F"
58,1963,809,110,"F",140,"F"
58,1964,809,120,"*",150,"F"
58,1965,809,150,"F",180,"F"
58,1966,809,1200,"F",2500,"F"
58,1967,809,1300,"F",2800,"F"
58,1968,809,1500,"F",3000,"F"
58,1969,809,1800," ",3500," "
58,1970,809,1850," ",3600," "
58,1971,809,2100," ",4500," "
58,1972,809,3300," ",4375," "
58,1973,809,6525," ",6557," "
58,1974,809,7370," ",9492," "
58,1975,809,8180," ",10425," "
58,1976,809,10850," ",13850," "
58,1977,809,13000," ",16550," "
58,1978,809,14400," ",10690," "
58,1979,809,14400," ",10690," "
58,1980,809,13807," ",11046," "
58,1981,809,13540," ",9240," "
58,1982,809,11800," ",7100," "
58,1983,809,11600," ",7600," "
58,1984,809,20782," ",18315," "
58,1985,809,13510," ",9956," "
58,1986,809,14000," ",6800," "
58,1987,809,16600," ",15948," "
58,1988,809,17830," ",22029," "
58,1989,809,17060," ",13945," "
58,1990,809,17700," ",17198," "
58,1991,809,17350," ",16360," "
58,1992,809,17470," ",20490," "
58,1993,809,16820," ",20184," "
58,1994,809,14310," ",15551," "
58,1995,809,14450," ",17959," "
58,1996,809,15330," ",21782," "
58,1997,809,16380," ",23287," "
58,1998,809,16400,"F",24000,"F"
58,1999,809,16500,"F",24500,"F"
58,2000,809,16800,"F",25000,"F"
58,2001,809,17000,"F",25000,"F"
58,2002,809,17500,"F",26000,"F"
58,2003,809,19500,"F",28000,"F"
58,2004,809,22910," ",30558," "
58,2005,809,22400," ",29107," "
58,2006,809,23000,"F",28000,"F"
58,2007,809,23000,"F",32000,"F"
58,2008,809,23768,"F",32000,"F"
58,2009,809,23800,"F",34681,"E"
58,2010,809,23140,"E",30707,"E"
58,2011,809,25040,"E",35394,"E"
61,1961,809,1000," ",400," "
61,1962,809,1000," ",400," "
61,1963,809,1000," ",500," "
61,1964,809,1000," ",500," "
61,1965,809,1000," ",426," "
61,1966,809,1000," ",257," "
61,1967,809,1000," ",118," "
61,1968,809,1000,"F",300,"F"
61,1969,809,1000,"F",400,"*"
61,1970,809,1000,"F",400,"*"
61,1971,809,1000,"F",400,"*"
61,1972,809,1100,"F",450,"F"
61,1973,809,1100,"F",450,"F"
61,1974,809,1100,"F",460,"F"
61,1975,809,1100,"F",460,"F"
61,1976,809,1200,"F",470,"F"
61,1977,809,1200,"F",470,"F"
61,1978,809,1200,"F",470,"F"
61,1979,809,1200,"F",480,"F"
61,1980,809,1400,"F",480,"F"
61,1981,809,1400,"F",500,"F"
61,1982,809,1600,"F",500,"F"
61,1983,809,1600,"F",500,"F"
61,1984,809,1700,"F",510,"F"
61,1985,809,1700,"F",510,"F"
61,1986,809,1700,"F",510,"F"
61,1987,809,1700,"F",510,"F"
61,1988,809,1700,"F",510,"F"
61,1989,809,1800,"F",510,"F"
61,1990,809,1993,"E",540,"E"
61,1991,809,1800,"F",553,"E"
61,1992,809,1800,"F",493,"E"
61,1993,809,1800,"F",440,"E"
61,1994,809,1800,"F",595,"E"
61,1995,809,1800,"F",668,"E"
61,1996,809,1800,"F",827,"E"
61,1997,809,1800,"F",500,"F"
61,1998,809,1800,"F",402,"E"
61,1999,809,1800,"F",421,"E"
61,2000,809,1800,"F",398,"E"
61,2001,809,1800,"F",445,"E"
61,2002,809,1800,"F",448,"E"
61,2003,809,1800,"F",322,"E"
61,2004,809,1800,"F",339,"E"
61,2005,809,1800,"F",363,"E"
61,2006,809,1800,"F",310,"E"
61,2007,809,1800,"F",240,"E"
61,2008,809,1800,"F",276,"E"
61,2009,809,2316,"E",286,"E"
61,2010,809,1800,"F",200,"E"
