"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
9,1961,671,0,"M",131000," "
9,1962,671,0,"M",141000," "
9,1963,671,0,"M",122000," "
9,1964,671,0,"M",130000," "
9,1965,671,0,"M",118000," "
9,1966,671,0,"M",114000," "
9,1967,671,0,"M",111000," "
9,1968,671,0,"M",119400," "
9,1969,671,0,"M",100400," "
9,1970,671,0,"M",112900," "
9,1971,671,0,"M",113008," "
9,1972,671,0,"M",126561," "
9,1973,671,0,"M",127636," "
9,1974,671,0,"M",122518," "
9,1975,671,0,"M",138673," "
9,1976,671,0,"M",151924," "
9,1977,671,0,"M",147816," "
9,1978,671,0,"M",133436," "
9,1979,671,0,"M",143146," "
9,1980,671,79344," ",134813," "
9,1981,671,88623," ",139745," "
9,1982,671,90000," ",161371," "
9,1983,671,82000," ",136210," "
9,1984,671,91700," ",181625," "
9,1985,671,88200," ",154469," "
9,1986,671,100700," ",155740," "
9,1987,671,105450," ",131995," "
9,1988,671,102950," ",137401," "
9,1989,671,96713," ",144838," "
9,1990,671,101842," ",155830," "
9,1991,671,106487," ",160761," "
9,1992,671,108820," ",172455," "
9,1993,671,158373," ",221321," "
9,1994,671,153980," ",240414," "
9,1995,671,149960," ",260718," "
9,1996,671,163450," ",269970," "
9,1997,671,144650," ",281573," "
9,1998,671,154600," ",286770," "
9,1999,671,150000,"F",310000," "
9,2000,671,178000," ",285000," "
9,2001,671,176400," ",310000," "
9,2002,671,175100," ",285000," "
9,2003,671,156050," ",285000," "
9,2004,671,160950," ",251922," "
9,2005,671,166100," ",265181," "
9,2006,671,171500,"F",280000,"F"
9,2007,671,168450," ",290000,"F"
9,2008,671,173940," ",237857.6," "
9,2009,671,175550," ",228498.9," "
9,2010,671,175550," ",250040.9," "
9,2011,671,178500," ",272500,"F"
21,1961,671,0,"M",131648," "
21,1962,671,0,"M",136026," "
21,1963,671,0,"M",125051," "
21,1964,671,0,"M",127770," "
21,1965,671,0,"M",123325," "
21,1966,671,0,"M",122834," "
21,1967,671,0,"M",106460," "
21,1968,671,0,"M",97272," "
21,1969,671,0,"M",100535," "
21,1970,671,0,"M",113460," "
21,1971,671,0,"M",105897," "
21,1972,671,0,"M",105000,"F"
21,1973,671,0,"M",104287," "
21,1974,671,0,"M",86136," "
21,1975,671,0,"M",94636," "
21,1976,671,0,"M",86539," "
21,1977,671,0,"M",94695," "
21,1978,671,0,"M",85481," "
21,1979,671,0,"M",84035," "
21,1980,671,0,"M",105004," "
21,1981,671,4859," ",101878," "
21,1982,671,4930," ",98875," "
21,1983,671,5299," ",121501," "
21,1984,671,5632," ",128663," "
21,1985,671,6049," ",138177," "
21,1986,671,7251," ",161770," "
21,1987,671,7633," ",203658," "
21,1988,671,8144," ",209174," "
21,1989,671,8398," ",190872," "
21,1990,671,8494," ",147072," "
21,1991,671,10211," ",166431," "
21,1992,671,10844," ",145973," "
21,1993,671,18841," ",227338," "
21,1994,671,16457," ",222377," "
21,1995,671,22754," ",247214," "
21,1996,671,32836," ",214576," "
21,1997,671,39379," ",307327," "
21,1998,671,57429," ",424433," "
21,1999,671,62154," ",462665," "
21,2000,671,69029," ",522019," "
21,2001,671,84009," ",645765," "
21,2002,671,79616," ",513526," "
21,2003,671,84438," ",501702," "
21,2004,671,74800," ",403281," "
21,2005,671,76101," ",429730," "
21,2006,671,78633," ",434483," "
21,2007,671,74526," ",438474," "
21,2008,671,71217," ",434727," "
21,2009,671,70588," ",443126," "
21,2010,671,68183," ",430305," "
21,2011,671,71185," ",443635," "
169,1961,671,5300,"F",16000,"F"
169,1962,671,5300,"F",16000," "
169,1963,671,6700,"F",20000," "
169,1964,671,7300,"F",22000," "
169,1965,671,8300,"F",25000," "
169,1966,671,8700,"F",26000," "
169,1967,671,6000,"F",18000," "
169,1968,671,6300,"F",19000," "
169,1969,671,6700,"F",20000," "
169,1970,671,6500,"F",19530," "
169,1971,671,5200,"F",15760," "
169,1972,671,6100,"F",18400," "
169,1973,671,5500,"F",16560," "
169,1974,671,6200,"F",18550," "
169,1975,671,6600,"F",19850," "
169,1976,671,6800,"F",20370," "
169,1977,671,7500,"F",22400," "
169,1978,671,8200,"F",24640," "
169,1979,671,8600,"F",25870," "
169,1980,671,10000,"F",30000,"F"
169,1981,671,11700,"F",35000,"F"
169,1982,671,13700,"F",41163," "
169,1983,671,13500,"F",40560," "
169,1984,671,13900,"F",41786," "
169,1985,671,14400,"F",43039," "
169,1986,671,14800,"F",44331," "
169,1987,671,11991," ",45520," "
169,1988,671,12508," ",49935," "
169,1989,671,13376," ",53430," "
169,1990,671,14339," ",57812," "
169,1991,671,19792," ",62553," "
169,1992,671,21000,"F",63040," "
169,1993,671,21400,"F",64151," "
169,1994,671,21100,"F",63361," "
169,1995,671,28466," ",63864," "
169,1996,671,28852," ",64531," "
169,1997,671,29226," ",65901," "
169,1998,671,29280," ",66470," "
169,1999,671,32194," ",67173," "
169,2000,671,31609," ",58743," "
169,2001,671,32804," ",68910," "
169,2002,671,34713," ",136589," "
169,2003,671,31118," ",89042," "
169,2004,671,28006," ",76723," "
169,2005,671,27350," ",74000," "
169,2006,671,30480," ",86080," "
169,2007,671,32000,"F",87500,"F"
169,2008,671,18305," ",76663," "
169,2009,671,18320," ",76726," "
169,2010,671,18299," ",85490," "
169,2011,671,18299," ",85490," "
238,1961,671,0,"M",0,"M"
238,1962,671,0,"M",0,"M"
238,1963,671,0,"M",0,"M"
238,1964,671,0,"M",0,"M"
238,1965,671,0,"M",0,"M"
238,1966,671,0,"M",0,"M"
238,1967,671,0,"M",0,"M"
238,1968,671,0,"M",0,"M"
238,1969,671,0,"M",0,"M"
238,1970,671,0,"M",0,"M"
238,1971,671,0,"M",0,"M"
238,1972,671,0,"M",0,"M"
238,1973,671,0,"M",0,"M"
238,1974,671,0,"M",0,"M"
238,1975,671,0,"M",0,"M"
238,1976,671,0,"M",0,"M"
238,1977,671,0,"M",0,"M"
238,1978,671,0,"M",0,"M"
238,1979,671,0,"M",0,"M"
238,1980,671,0,"M",0,"M"
238,1981,671,0,"M",0,"M"
238,1982,671,0,"M",0,"M"
238,1983,671,0,"M",0,"M"
238,1984,671,0,"M",0,"M"
238,1985,671,0,"M",0,"M"
238,1986,671,0,"M",0,"M"
238,1987,671,0,"M",0,"M"
238,1988,671,0,"M",0,"M"
238,1989,671,0,"M",0,"M"
238,1990,671,0,"M",0,"M"
238,1991,671,0,"M",0,"M"
238,1992,671,0,"M",0,"M"
238,1993,671,0,"M",0,"M"
238,1994,671,0,"M",0,"M"
238,1995,671,0,"M",0,"M"
238,1996,671,0,"M",0,"M"
238,1997,671,0,"M",0,"M"
238,1998,671,0,"M",0,"M"
238,1999,671,0,"M",0,"M"
238,2000,671,0,"M",0,"M"
238,2001,671,0,"M",0,"M"
238,2002,671,0,"M",0,"M"
238,2003,671,0,"M",0,"M"
238,2004,671,0,"M",0,"M"
238,2005,671,0,"M",0,"M"
238,2006,671,0,"M",0,"M"
238,2007,671,0,"M",0,"M"
238,2008,671,0,"M",0,"M"
238,2009,671,0,"M",0,"M"
238,2010,671,0,"M",0,"M"
238,2011,671,0,"M",0,"M"
