"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
27,1961,299,,,800,"F"
27,1962,299,,,600,"F"
27,1963,299,,,500,"F"
27,1964,299,,,600,"F"
27,1965,299,,,800,"F"
27,1966,299,,,500,"F"
27,1967,299,,,600,"F"
27,1968,299,,,800,"F"
27,1969,299,,,600,"F"
27,1970,299,,,600,"F"
27,1971,299,,,500,"F"
27,1972,299,,,500,"F"
27,1973,299,,,500,"F"
27,1974,299,,,500,"F"
27,1975,299,,,700,"F"
27,1976,299,,,600,"F"
27,1977,299,,,600,"F"
27,1978,299,,,0,"F"
27,1979,299,,,0," "
27,1980,299,,,0," "
27,1981,299,,,0," "
27,1982,299,,,0," "
27,1983,299,,,0," "
27,1984,299,,,0," "
27,1985,299,,,0," "
27,1986,299,,,0," "
27,1987,299,,,0," "
27,1988,299,,,0," "
27,1989,299,,,0," "
27,1990,299,,,0," "
27,1991,299,,,0," "
27,1992,299,,,0," "
27,1993,299,,,0,"M"
27,1994,299,,,0,"M"
27,1995,299,,,0,"M"
27,1996,299,,,0,"M"
27,1997,299,,,0,"M"
27,1998,299,,,0,"M"
27,1999,299,,,0,"M"
27,2000,299,,,0,"M"
27,2001,299,,,0,"M"
27,2002,299,,,0,"M"
27,2003,299,,,0,"M"
27,2004,299,,,0,"M"
27,2005,299,,,0,"M"
27,2006,299,,,0,"M"
27,2007,299,,,0,"M"
27,2008,299,,,0,"M"
27,2009,299,,,0,"M"
27,2010,299,,,0,"M"
27,2011,299,,,0,"M"
32,1961,299,62000,"F",28000,"F"
32,1962,299,62500,"F",28000,"F"
32,1963,299,63000,"F",29000,"F"
32,1964,299,64000,"F",28000,"F"
32,1965,299,64500,"F",29000,"F"
32,1966,299,65000,"F",30000,"F"
32,1967,299,64531," ",28490," "
32,1968,299,62851," ",27325," "
32,1969,299,45989," ",30000,"F"
32,1970,299,54922," ",32589," "
32,1971,299,58295," ",34323," "
32,1972,299,70000," ",42000," "
32,1973,299,68175," ",36206," "
32,1974,299,73539," ",45129," "
32,1975,299,75000,"F",55185," "
32,1976,299,79000,"F",57578," "
32,1977,299,84000,"F",58533," "
32,1978,299,89000,"F",47197," "
32,1979,299,90000,"F",47750," "
32,1980,299,90000,"F",49000,"F"
32,1981,299,90000,"F",50000,"F"
32,1982,299,91000,"F",50500,"F"
32,1983,299,90000,"F",50000,"F"
32,1984,299,92000,"F",52000,"F"
32,1985,299,92000,"F",52000,"F"
32,1986,299,93000,"F",53000,"F"
32,1987,299,93500,"F",53000,"F"
32,1988,299,94000,"F",53200,"F"
32,1989,299,95000,"F",53800,"F"
