"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
2,1961,79,23500,"F",19000,"F"
2,1962,79,24500,"F",20000," "
2,1963,79,25500,"F",21000,"F"
2,1964,79,26500,"F",22000,"F"
2,1965,79,27500,"F",23000,"F"
2,1966,79,28500,"F",24000,"F"
2,1967,79,29500,"F",25000,"F"
2,1968,79,29500,"F",26000,"F"
2,1969,79,31500,"F",27000,"F"
2,1970,79,33000,"F",28000,"F"
2,1971,79,35000,"F",29000,"F"
2,1972,79,36000,"F",30000,"F"
2,1973,79,37000," ",30000," "
2,1974,79,38000,"F",31000,"F"
2,1975,79,40000," ",32000," "
2,1976,79,42000," ",40000," "
2,1977,79,43000," ",35000," "
2,1978,79,42000," ",36000," "
2,1979,79,39500,"F",34000,"F"
2,1980,79,39500,"F",34000,"F"
2,1981,79,37000,"F",32000,"F"
2,1982,79,35000,"*",30000,"*"
2,1983,79,35000,"*",30000,"*"
2,1984,79,32000,"*",28000,"*"
2,1985,79,31000,"*",27000,"*"
2,1986,79,29000,"*",25000,"*"
2,1987,79,29000,"F",25000,"F"
2,1988,79,29000,"F",25000,"F"
2,1989,79,29000,"F",25000,"F"
2,1990,79,30000,"F",26000,"F"
2,1991,79,31269,"E",26184,"E"
2,1992,79,25000,"F",20000,"F"
2,1993,79,22839,"E",24163,"E"
2,1994,79,27000,"F",22000,"F"
2,1995,79,24802,"E",22985,"E"
2,1996,79,25730,"E",18881,"E"
2,1997,79,25075,"E",21467,"E"
2,1998,79,24534,"E",22599,"E"
2,1999,79,23131,"E",18969,"E"
2,2000,79,27000," ",22000," "
2,2001,79,27000," ",22000," "
2,2002,79,25000," ",20000," "
2,2003,79,19700," ",17000," "
2,2004,79,19000,"F",17000," "
2,2005,79,27000," ",22000," "
2,2006,79,12000," ",12000," "
2,2007,79,12000," ",20000,"*"
2,2008,79,12000," ",22000," "
2,2009,79,10000," ",19000,"P"
2,2010,79,5000," ",15000," "
2,2011,79,5000," ",15000,"*"
7,1961,79,84000,"F",65000,"*"
7,1962,79,87000,"F",70000,"*"
7,1963,79,87000,"F",70000,"*"
7,1964,79,90000,"F",75000,"*"
7,1965,79,82000,"F",60000,"*"
7,1966,79,87000,"F",70000,"*"
7,1967,79,90000,"F",75000,"*"
7,1968,79,91000,"F",77000,"*"
7,1969,79,91000,"F",78000,"*"
7,1970,79,93000,"F",78000,"*"
7,1971,79,93000,"F",78000,"*"
