"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
11,1961,103,19308," ",43990," "
11,1962,103,20001," ",49571," "
11,1963,103,25881," ",62855," "
11,1964,103,25906," ",65380," "
11,1965,103,26510," ",57500," "
11,1966,103,28613," ",77179," "
11,1967,103,29142," ",83018," "
11,1968,103,29827," ",89958," "
11,1969,103,30412," ",93251," "
11,1970,103,33408," ",97885," "
11,1971,103,31515," ",99049," "
11,1972,103,31336," ",91892," "
11,1973,103,33462," ",108683," "
11,1974,103,33159," ",110092," "
11,1975,103,38456," ",119068," "
11,1976,103,36811," ",128051," "
11,1977,103,38114," ",130112," "
11,1978,103,35966," ",130865," "
11,1979,103,36133," ",106489," "
11,1980,103,31945," ",119666," "
11,1981,103,32240," ",112885," "
11,1982,103,33830," ",129703," "
11,1983,103,30323," ",115696," "
11,1984,103,30048," ",120520," "
11,1985,103,28387," ",117711," "
11,1986,103,28231," ",108041," "
11,1987,103,26430," ",95303," "
11,1988,103,24464," ",103527," "
11,1989,103,24657," ",102959," "
11,1990,103,24717," ",104021," "
11,1991,103,24045," ",95202," "
11,1992,103,20637," ",73988," "
11,1993,103,22212," ",81779," "
11,1994,103,21953," ",85312," "
11,1995,103,12426," ",49418," "
11,1996,103,13072," ",50039," "
11,1997,103,11493," ",47225," "
11,1998,103,10477," ",48234," "
11,1999,103,11265," ",46985," "
11,2000,103,9696," ",35755," "
11,2001,103,8628," ",36591," "
11,2002,103,8518," ",33298," "
11,2003,103,9537," ",34275," "
11,2004,103,8706," ",36525," "
11,2005,103,8656," ",35559," "
11,2006,103,13721," ",47989," "
11,2007,103,8280," ",30341," "
11,2008,103,7617," ",30925," "
11,2009,103,4861," ",30313," "
11,2010,103,6210," ",34786," "
11,2011,103,4816," ",35145," "
15,1961,103,7403," ",23514," "
15,1962,103,7854," ",23402," "
15,1963,103,8268," ",30713," "
15,1964,103,8504," ",30157," "
15,1965,103,9912," ",31638," "
15,1966,103,10668," ",33713," "
15,1967,103,11603," ",46216," "
15,1968,103,12206," ",41614," "
15,1969,103,12711," ",45621," "
15,1970,103,13804," ",38577," "
15,1971,103,12122," ",46083," "
15,1972,103,11788," ",41546," "
15,1973,103,11659," ",47630," "
15,1974,103,12571," ",47403," "
15,1975,103,13632," ",45375," "
15,1976,103,10900," ",31049," "
15,1977,103,9207," ",31470," "
15,1978,103,7468," ",31230," "
15,1979,103,7147," ",22000," "
15,1980,103,7318," ",26206," "
15,1981,103,7366," ",28000," "
15,1982,103,7750," ",34700," "
15,1983,103,6000," ",18000," "
15,1984,103,7000," ",30000," "
15,1985,103,7000," ",30000," "
15,1986,103,5000,"*",20000,"*"
15,1987,103,4443," ",17274," "
15,1988,103,3476," ",13601," "
15,1989,103,3000," ",9000," "
15,1990,103,2000," ",7000," "
15,1991,103,3000," ",9000," "
15,1992,103,4000," ",17000," "
15,1993,103,4300," ",19600," "
15,1994,103,4300," ",15800," "
15,1995,103,3500," ",15700," "
15,1996,103,3500," ",18200," "
15,1997,103,5000,"F",25000,"F"
15,1998,103,5479,"E",27194,"E"
15,1999,103,4759,"E",25588,"E"
15,2000,103,4000,"F",20000,"F"
15,2001,103,4000,"F",20000,"F"
15,2002,103,4000,"F",20000,"F"
15,2003,103,4000,"T",20000,"T"
15,2004,103,4000,"T",20000,"T"
15,2005,103,4000,"T",20000,"T"
15,2006,103,4000,"T",20000,"T"
15,2007,103,4000,"T",20000,"T"
15,2008,103,4000,"T",20000,"T"
15,2009,103,4000,"T",20000,"T"
15,2010,103,4000,"T",20000,"T"
15,2011,103,4000,"T",20000,"T"
33,1961,103,633607," ",1251500," "
33,1962,103,616611," ",1475300," "
33,1963,103,593423," ",1443900," "
33,1964,103,621265," ",1452300," "
33,1965,103,663473," ",1649300," "
33,1966,103,714908," ",1662400," "
33,1967,103,678567," ",1568805," "
33,1968,103,644574," ",1686950," "
33,1969,103,709283," ",1792582," "
33,1970,103,792606," ",2026320," "
33,1971,103,831536," ",2185676," "
33,1972,103,835624," ",2128665," "
33,1973,103,809967," ",1980229," "
33,1974,103,732835," ",1648351," "
33,1975,103,736600," ",1819600," "
33,1976,103,644900," ",1558800," "
33,1977,103,624259," ",1596600," "
33,1978,103,604200," ",1635200," "
33,1979,103,592400," ",1559900," "
33,1980,103,568900," ",1509200," "
