"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,449,,,0,"M"
1,1962,449,,,0,"M"
1,1963,449,,,0,"M"
1,1964,449,,,0,"M"
1,1965,449,,,0,"M"
1,1966,449,,,0,"M"
1,1967,449,,,0,"M"
1,1968,449,,,0,"M"
1,1969,449,,,0,"M"
1,1970,449,,,0,"M"
1,1971,449,,,0,"M"
1,1972,449,,,0,"M"
1,1973,449,,,0,"M"
1,1974,449,,,0,"M"
1,1975,449,,,0,"M"
1,1976,449,,,0,"M"
1,1977,449,,,0,"M"
1,1978,449,,,0,"M"
1,1979,449,,,0,"M"
1,1980,449,,,0,"M"
1,1981,449,,,0,"M"
1,1982,449,,,0,"M"
1,1983,449,,,0,"M"
1,1984,449,,,0,"M"
1,1985,449,,,0,"M"
1,1986,449,,,0,"M"
1,1987,449,,,0,"M"
1,1988,449,,,0,"M"
1,1989,449,,,0,"M"
1,1990,449,,,0,"M"
1,1991,449,,,0,"M"
1,1992,449,,,0,"M"
1,1993,449,,,0,"M"
1,1994,449,,,0,"M"
1,1995,449,,,0,"M"
1,1996,449,,,0,"M"
1,1997,449,,,0,"M"
1,1998,449,,,0,"M"
1,1999,449,,,0,"M"
1,2000,449,,,0,"M"
1,2001,449,,,0,"M"
1,2002,449,,,0,"M"
1,2003,449,,,0,"M"
1,2004,449,,,0,"M"
1,2005,449,,,0,"M"
1,2006,449,,,0,"M"
1,2007,449,,,0,"M"
1,2008,449,,,60,"F"
1,2009,449,,,70,"F"
1,2010,449,,,80,"F"
1,2011,449,,,100,"F"
3,1961,449,,,0,"M"
3,1962,449,,,0,"M"
3,1963,449,,,0,"M"
3,1964,449,,,0,"M"
3,1965,449,,,0,"M"
3,1966,449,,,0,"M"
3,1967,449,,,0,"M"
3,1968,449,,,0,"M"
3,1969,449,,,0,"M"
3,1970,449,,,0,"M"
3,1971,449,,,0,"M"
3,1972,449,,,0,"M"
3,1973,449,,,0,"M"
3,1974,449,,,0,"M"
3,1975,449,,,0,"M"
3,1976,449,,,0,"M"
3,1977,449,,,0,"M"
3,1978,449,,,0,"M"
3,1979,449,,,0,"M"
3,1980,449,,,0,"M"
3,1981,449,,,0,"M"
3,1982,449,,,0,"M"
3,1983,449,,,0,"M"
3,1984,449,,,0,"M"
3,1985,449,,,0,"M"
3,1986,449,,,0,"M"
3,1987,449,,,0,"M"
3,1988,449,,,0,"M"
3,1989,449,,,0,"M"
3,1990,449,,,0,"M"
3,1991,449,,,0,"M"
3,1992,449,,,0,"M"
3,1993,449,,,0,"M"
3,1994,449,,,0,"M"
3,1995,449,,,0,"M"
3,1996,449,,,100,"F"
3,1997,449,,,94,"E"
3,1998,449,,,98,"E"
3,1999,449,,,92,"E"
3,2000,449,,,96,"E"
3,2001,449,,,101,"E"
3,2002,449,,,104,"E"
3,2003,449,,,114,"E"
3,2004,449,,,118,"E"
3,2005,449,,,101,"E"
3,2006,449,,,100,"E"
3,2007,449,,,99,"E"
3,2008,449,,,105,"E"
3,2009,449,,,107,"E"
3,2010,449,,,100,"F"
3,2011,449,,,123,"E"
4,1961,449,,,0," "
4,1962,449,,,0," "
4,1963,449,,,0," "
4,1964,449,,,0," "
4,1965,449,,,0," "
4,1966,449,,,0," "
4,1967,449,,,0," "
4,1968,449,,,0," "
4,1969,449,,,0," "
4,1970,449,,,0," "
4,1971,449,,,0," "
4,1972,449,,,0," "
4,1973,449,,,0," "
4,1974,449,,,0," "
4,1975,449,,,0," "
4,1976,449,,,0," "
4,1977,449,,,0," "
4,1978,449,,,0," "
4,1979,449,,,0," "
4,1980,449,,,0," "
4,1981,449,,,0," "
4,1982,449,,,0," "
4,1983,449,,,0," "
4,1984,449,,,0," "
4,1985,449,,,0," "
4,1986,449,,,0," "
4,1987,449,,,0," "
4,1988,449,,,0," "
4,1989,449,,,0," "
4,1990,449,,,0," "
4,1991,449,,,100,"F"
4,1992,449,,,107,"E"
4,1993,449,,,116,"E"
4,1994,449,,,110,"E"
4,1995,449,,,122,"E"
4,1996,449,,,116,"E"
4,1997,449,,,115,"E"
4,1998,449,,,125,"E"
4,1999,449,,,110,"F"
4,2000,449,,,97,"E"
4,2001,449,,,120,"F"
4,2002,449,,,123,"E"
4,2003,449,,,130,"F"
4,2004,449,,,150,"F"
4,2005,449,,,170,"F"
4,2006,449,,,200,"F"
4,2007,449,,,197,"E"
4,2008,449,,,191,"E"
4,2009,449,,,229,"E"
4,2010,449,,,220,"E"
4,2011,449,,,225,"F"
10,1961,449,0," ",0," "
10,1962,449,0," ",0," "
10,1963,449,0," ",0," "
10,1964,449,0," ",0," "
10,1965,449,0," ",0," "
10,1966,449,0," ",0," "
10,1967,449,0," ",0," "
10,1968,449,0," ",0," "
10,1969,449,0," ",0," "
10,1970,449,0," ",0," "
10,1971,449,0," ",0," "
10,1972,449,0," ",0," "
10,1973,449,15," ",1627," "
10,1974,449,31," ",1999," "
10,1975,449,50," ",6007," "
10,1976,449,48," ",6616," "
10,1977,449,56," ",7130," "
10,1978,449,55," ",7289," "
10,1979,449,53," ",7806," "
10,1980,449,57," ",8340," "
10,1981,449,56," ",8265," "
10,1982,449,57," ",9382," "
10,1983,449,65," ",10266," "
10,1984,449,69," ",11036," "
10,1985,449,76," ",12857," "
10,1986,449,69," ",13026," "
10,1987,449,76," ",15203," "
10,1988,449,76," ",18258," "
10,1989,449,99," ",19684," "
10,1990,449,91," ",21534," "
10,1991,449,103," ",24394," "
10,1992,449,104," ",25502," "
10,1993,449,134," ",27575," "
10,1994,449,155," ",38889," "
10,1995,449,166," ",33337," "
10,1996,449,165," ",34945," "
10,1997,449,145," ",35485," "
10,1998,449,150," ",38895," "
10,1999,449,132," ",37568," "
10,2000,449,140,"F",36000," "
10,2001,449,101," ",39394," "
10,2002,449,134," ",43412," "
10,2003,449,128," ",39288," "
10,2004,449,153," ",46265," "
10,2005,449,156," ",47992," "
10,2006,449,177," ",43641," "
10,2007,449,181," ",42739," "
10,2008,449,179," ",47102," "
10,2009,449,159," ",43416," "
10,2010,449,139," ",41295," "
10,2011,449,160," ",49696," "
11,1961,449,0,"M",3000,"F"
11,1962,449,0,"M",3000,"F"
11,1963,449,0,"M",3000,"F"
11,1964,449,0,"M",3000,"F"
11,1965,449,0,"M",3000,"F"
11,1966,449,0,"M",3000,"F"
11,1967,449,0,"M",3000,"F"
11,1968,449,0,"M",3000,"F"
11,1969,449,0,"M",3000,"F"
11,1970,449,0,"M",4000,"F"
11,1971,449,0,"M",3000," "
11,1972,449,0,"M",3000," "
11,1973,449,0,"M",4000," "
11,1974,449,0,"M",8000," "
11,1975,449,0,"M",6000," "
11,1976,449,0,"M",3000," "
11,1977,449,0,"M",4000,"F"
11,1978,449,0,"M",4000,"F"
11,1979,449,0,"M",4000,"F"
11,1980,449,0,"M",4100,"F"
11,1981,449,0,"M",4100,"F"
11,1982,449,0,"M",4100,"F"
11,1983,449,0,"M",3000,"F"
11,1984,449,0,"M",3000,"F"
11,1985,449,0,"M",2000,"F"
11,1986,449,0,"M",3000,"F"
11,1987,449,0,"M",3000,"F"
11,1988,449,0,"M",2500,"F"
11,1989,449,0,"M",3000,"F"
11,1990,449,0,"M",2600," "
11,1991,449,0,"M",2700," "
11,1992,449,0,"M",2500," "
11,1993,449,0,"M",2485," "
11,1994,449,0,"M",2080," "
11,1995,449,0,"M",1255," "
11,1996,449,0,"M",800," "
11,1997,449,0,"M",300," "
11,1998,449,0,"M",100," "
11,1999,449,0,"M",100," "
11,2000,449,0,"M",100," "
11,2001,449,0,"M",300," "
11,2002,449,0,"M",500," "
11,2003,449,0,"M",800," "
11,2004,449,0,"M",900," "
11,2005,449,0,"M",900," "
11,2006,449,0,"M",900," "
11,2007,449,0,"M",900," "
11,2008,449,0,"M",900," "
11,2009,449,0,"M",1100," "
11,2010,449,0,"M",1300," "
11,2011,449,0,"M",1600," "
15,1961,449,,,0," "
15,1962,449,,,0," "
15,1963,449,,,0," "
15,1964,449,,,0," "
15,1965,449,,,0," "
15,1966,449,,,0," "
15,1967,449,,,0," "
15,1968,449,,,0," "
15,1969,449,,,0," "
15,1970,449,,,0," "
15,1971,449,,,4500," "
15,1972,449,,,10400," "
15,1973,449,,,10400," "
