"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
10,1961,292,809," ",329," "
10,1962,292,405," ",298," "
10,1963,292,809," ",472," "
10,1964,292,405," ",177," "
10,1965,292,405," ",310," "
10,1966,292,405," ",206," "
10,1967,292,405," ",240," "
10,1968,292,405," ",164," "
10,1969,292,405," ",355," "
10,1970,292,405," ",287," "
10,1971,292,809," ",444," "
10,1972,292,405,"F",300,"F"
10,1973,292,410,"F",360,"F"
10,1974,292,319," ",169," "
10,1975,292,233," ",39," "
10,1976,292,716," ",456," "
10,1977,292,1786," ",709," "
10,1978,292,1749," ",947," "
10,1979,292,1275," ",874," "
10,1980,292,588," ",169," "
10,1981,292,332," ",175," "
10,1982,292,332," ",176," "
10,1983,292,391," ",129," "
10,1984,292,359," ",289," "
10,1985,292,402," ",522," "
10,1986,292,1335," ",1631," "
10,1987,292,498," ",283," "
10,1988,292,319," ",217," "
10,1989,292,731," ",636," "
10,1990,292,383," ",315," "
10,1991,292,730," ",586," "
10,1992,292,324," ",218," "
10,1993,292,316," ",196," "
10,1994,292,0,"F",0,"F"
10,1995,292,0,"F",0,"F"
10,1996,292,0,"F",0,"F"
10,1997,292,0,"F",0,"F"
10,1998,292,0,"F",0,"F"
10,1999,292,0,"F",0,"F"
10,2000,292,0,"F",0,"F"
10,2001,292,0,"F",0,"F"
10,2002,292,0,"F",0,"F"
10,2003,292,0,"F",0,"F"
10,2004,292,0,"F",0,"F"
10,2005,292,0,"F",0,"F"
10,2006,292,0,"T",0,"T"
10,2007,292,0,"T",0,"T"
10,2008,292,0,"T",0,"T"
10,2009,292,0,"T",0,"T"
10,2010,292,0,"T",0,"T"
10,2011,292,0,"T",0,"T"
18,1961,292,1800,"F",1100,"F"
18,1962,292,1900,"F",1150,"F"
18,1963,292,1900,"F",1150,"F"
18,1964,292,1950,"F",1200,"F"
18,1965,292,1950,"F",1200,"F"
18,1966,292,2000,"F",1250,"F"
18,1967,292,2100,"F",1300,"F"
18,1968,292,2100,"F",1300,"F"
