"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
16,1961,836,0,"M",0,"M"
16,1962,836,0,"M",0,"M"
16,1963,836,0,"M",0,"M"
16,1964,836,0,"M",0,"M"
16,1965,836,0,"M",0,"M"
16,1966,836,0,"M",0,"M"
16,1967,836,0,"M",0,"M"
16,1968,836,0,"M",0,"M"
16,1969,836,0,"M",0,"M"
16,1970,836,0,"M",0,"M"
16,1971,836,0,"M",0,"M"
16,1972,836,0,"M",0,"M"
16,1973,836,0,"M",0,"M"
16,1974,836,0,"M",0,"M"
16,1975,836,0,"M",0,"M"
16,1976,836,0,"M",0,"M"
16,1977,836,0,"M",0,"M"
16,1978,836,0,"M",0,"M"
16,1979,836,0,"M",0,"M"
16,1980,836,0,"M",0,"M"
16,1981,836,0,"M",0,"M"
16,1982,836,0,"M",0,"M"
16,1983,836,0,"M",0,"M"
16,1984,836,0,"M",0,"M"
16,1985,836,0,"M",0,"M"
16,1986,836,0,"M",0,"M"
16,1987,836,0,"M",0,"M"
16,1988,836,0,"M",0,"M"
16,1989,836,0,"M",0,"M"
16,1990,836,13000,"F",1300,"*"
16,1991,836,11000,"F",1100,"*"
16,1992,836,14500,"F",1500,"*"
16,1993,836,12500,"F",1300,"*"
16,1994,836,20500,"F",2200,"*"
16,1995,836,30000,"F",3000,"*"
16,1996,836,30603,"E",3000,"*"
16,1997,836,31020,"E",3000,"*"
16,1998,836,31627,"E",3000,"*"
16,1999,836,32061,"E",3000,"*"
16,2000,836,23000,"F",2300,"*"
16,2001,836,57000,"F",5700,"*"
16,2002,836,52000,"F",5200,"*"
16,2003,836,53990,"E",5200,"*"
16,2004,836,53000,"F",5300,"*"
16,2005,836,52000,"F",5200,"*"
16,2006,836,53000,"F",5300,"*"
16,2007,836,54000,"F",5400,"F"
16,2008,836,55000,"F",5500,"F"
16,2009,836,57000,"F",5700,"F"
16,2010,836,58000,"F",5800,"F"
16,2011,836,59054,"E",5997,"E"
19,1961,836,,,2000," "
19,1962,836,,,2000," "
19,1963,836,,,1600," "
19,1964,836,,,2100," "
19,1965,836,,,2562," "
19,1966,836,,,2019," "
19,1967,836,,,2505," "
19,1968,836,,,1768," "
19,1969,836,,,3000," "
19,1970,836,,,3450," "
19,1971,836,,,2900," "
19,1972,836,,,3000," "
19,1973,836,,,2000," "
19,1974,836,,,2400," "
19,1975,836,,,2650," "
19,1976,836,,,3185," "
19,1977,836,,,4500," "
19,1978,836,,,4800," "
19,1979,836,,,4700,"F"
19,1980,836,,,4800,"F"
19,1981,836,,,4800,"F"
19,1982,836,,,5000,"F"
19,1983,836,,,5000,"F"
19,1984,836,,,5200,"*"
19,1985,836,,,5000,"F"
19,1986,836,,,4500,"F"
