"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
18,1961,702,4150,"F",1750,"F"
18,1962,702,4200,"F",1800,"F"
18,1963,702,4200,"F",1850,"F"
18,1964,702,4320,"F",1900,"F"
18,1965,702,4330,"F",1950,"F"
18,1966,702,4330,"F",1950,"F"
18,1967,702,4440,"F",2000,"F"
18,1968,702,4440,"F",2000,"F"
18,1969,702,4550,"F",2050,"F"
18,1970,702,4550,"F",2050,"F"
18,1971,702,4650,"F",2100,"F"
18,1972,702,4650,"F",2100,"F"
18,1973,702,4700,"F",2150,"F"
18,1974,702,4700,"F",2150,"F"
18,1975,702,4700,"F",2200,"F"
18,1976,702,4800,"F",2250,"F"
18,1977,702,4900,"F",2300,"F"
18,1978,702,5150,"F",2400,"F"
18,1979,702,5350,"F",2500,"F"
18,1980,702,5550,"F",2600,"F"
18,1981,702,5900," ",2800," "
18,1982,702,5889," ",2770," "
18,1983,702,5900,"F",2800,"F"
18,1984,702,8800," ",3013," "
18,1985,702,6300,"F",3000,"F"
18,1986,702,6500,"F",3500,"F"
18,1987,702,6600," ",4100," "
18,1988,702,6900,"F",4200,"F"
18,1989,702,7200,"F",4400,"F"
18,1990,702,7300,"F",4600,"F"
18,1991,702,7400,"F",4900,"F"
18,1992,702,7500,"F",5200,"F"
18,1993,702,7300,"F",5000,"F"
18,1994,702,7000,"F",4800,"F"
18,1995,702,6700,"F",4500,"F"
18,1996,702,6200,"F",4000,"F"
18,1997,702,5700,"F",3500,"F"
18,1998,702,5200,"F",3000,"F"
18,1999,702,4700,"F",2500,"F"
18,2000,702,4200,"F",2000,"F"
18,2001,702,3700,"F",1500,"F"
18,2002,702,2000,"F",1000,"F"
18,2003,702,1700,"F",800,"F"
18,2004,702,1728," ",815," "
18,2005,702,2360," ",1190," "
18,2006,702,4040," ",3477," "
18,2007,702,3390," ",2121," "
18,2008,702,2500,"F",1500,"F"
18,2009,702,1905," ",1050," "
18,2010,702,1930.797248," ",1163," "
18,2011,702,1677.053824," ",650," "
38,1961,702,7000,"F",1000,"F"
38,1962,702,7000,"F",1000,"F"
38,1963,702,7000,"F",1000,"F"
38,1964,702,7000,"F",1000,"F"
38,1965,702,7000,"F",1000,"F"
38,1966,702,7000,"F",1000,"F"
38,1967,702,7000,"F",1000,"F"
38,1968,702,7000,"F",1000,"F"
38,1969,702,7000,"F",1000,"F"
38,1970,702,7000,"F",1000,"F"
38,1971,702,7000,"F",1000,"F"
38,1972,702,7000,"F",1000,"F"
38,1973,702,7000,"F",1000,"F"
