"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
2,1961,234,7000,"F",10500,"F"
2,1962,234,7150,"F",12600,"F"
2,1963,234,7300,"F",10700,"F"
2,1964,234,7450,"F",11200,"F"
2,1965,234,8000,"F",12300,"F"
2,1966,234,9250,"F",13000,"F"
2,1967,234,9500,"F",12000,"F"
2,1968,234,9950,"F",13700,"F"
2,1969,234,10100,"F",13300,"F"
2,1970,234,10350,"F",13200,"F"
2,1971,234,10500,"F",14200,"F"
2,1972,234,11300,"F",17400,"F"
2,1973,234,12100,"F",16500,"F"
2,1974,234,12450,"F",17500,"F"
2,1975,234,12600,"F",15800,"F"
2,1976,234,200,"F",300,"F"
2,1977,234,1000,"F",1500,"F"
2,1978,234,850,"F",1500,"F"
2,1979,234,1000,"F",1500,"F"
2,1980,234,950,"F",1500,"F"
2,1981,234,1100,"F",1500,"F"
2,1982,234,900,"F",1500,"F"
2,1983,234,950,"F",1500,"F"
2,1984,234,1800,"F",3200,"F"
2,1985,234,2800,"F",5200,"F"
2,1986,234,2100,"F",4100,"F"
2,1987,234,1800,"F",3200,"F"
2,1988,234,1800,"F",3300,"F"
2,1989,234,700,"F",1100,"F"
2,1990,234,700," ",1000," "
2,1991,234,700," ",1000," "
2,1992,234,700," ",1000," "
2,1993,234,700," ",1000," "
2,1994,234,700," ",1000," "
2,1995,234,700," ",1000," "
2,1996,234,700," ",1000," "
2,1997,234,700," ",1000," "
2,1998,234,700," ",1000," "
2,1999,234,700," ",1000," "
2,2000,234,700," ",1000," "
2,2001,234,700," ",1000," "
2,2002,234,700," ",1000," "
2,2003,234,800," ",800," "
2,2004,234,1000," ",840," "
2,2005,234,1105," ",893," "
2,2006,234,1105," ",893," "
2,2007,234,755," ",900,"F"
2,2008,234,800,"F",1143,"E"
2,2009,234,750,"E",1177,"E"
2,2010,234,760,"E",1503,"E"
2,2011,234,883,"E",1649,"E"
3,1961,234,0,"M",6000," "
3,1962,234,0,"M",5000," "
3,1963,234,0,"M",4000," "
3,1964,234,0,"M",3000," "
3,1965,234,0,"M",3000," "
3,1966,234,0,"M",4000," "
3,1967,234,0,"M",4000," "
3,1968,234,0,"M",4000," "
3,1969,234,0,"M",4000," "
3,1970,234,0,"M",4000," "
3,1971,234,0,"M",4000," "
3,1972,234,0,"M",4000,"F"
3,1973,234,0,"M",4000,"F"
3,1974,234,0,"M",4000,"F"
3,1975,234,0,"M",4000,"F"
3,1976,234,0,"M",4000,"F"
3,1977,234,0,"M",4500,"F"
3,1978,234,0,"M",4500,"F"
3,1979,234,0,"M",4550,"F"
3,1980,234,0,"M",4550,"F"
