"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,75,2000," ",2000," "
1,1962,75,2800," ",3000," "
1,1963,75,2600," ",1000," "
1,1964,75,2400," ",2000," "
1,1965,75,3000," ",3000," "
1,1966,75,4000," ",5000," "
1,1967,75,5000," ",4000," "
1,1968,75,5000," ",2000," "
1,1969,75,3000," ",3000," "
1,1970,75,4000," ",4000," "
1,1971,75,0," ",0," "
1,1972,75,0," ",0," "
1,1973,75,0," ",0," "
1,1974,75,0," ",0," "
1,1975,75,5000," ",0,"M"
1,1976,75,0," ",0," "
1,1977,75,4000," ",4000," "
1,1978,75,4000," ",3000," "
1,1979,75,4000," ",6000," "
1,1980,75,4000," ",2000," "
1,1981,75,4000,"F",4000," "
1,1982,75,4000,"F",3000," "
1,1983,75,4000,"F",4000," "
1,1984,75,3000,"F",3000," "
1,1985,75,3000," ",5000," "
1,1986,75,3000," ",5000," "
1,1987,75,3000," ",3000," "
1,1988,75,3000," ",3000,"F"
1,1989,75,3000," ",3000,"F"
1,1990,75,2749," ",2401," "
1,1991,75,2202," ",3030," "
1,1992,75,1935," ",2295," "
1,1993,75,1600," ",1200," "
1,1994,75,800," ",600," "
1,1995,75,800," ",800," "
1,1996,75,1800," ",1793," "
1,1997,75,1600," ",1203," "
1,1998,75,900," ",1281," "
1,1999,75,908," ",1124," "
1,2000,75,388," ",298," "
1,2001,75,592," ",967," "
1,2002,75,542," ",964," "
1,2003,75,465," ",594," "
1,2004,75,441," ",884," "
1,2005,75,558," ",650," "
1,2006,75,679," ",739," "
1,2007,75,690," ",1470," "
1,2008,75,857," ",1624," "
1,2009,75,831," ",1655.3," "
1,2010,75,1435," ",2601," "
1,2011,75,1360," ",3254," "
3,1961,75,19443," ",11753," "
3,1962,75,21057," ",16287," "
3,1963,75,20113," ",10996," "
3,1964,75,22278," ",15322," "
3,1965,75,25000,"F",17200,"F"
3,1966,75,20000,"F",19000,"F"
3,1967,75,18500,"F",18600,"F"
3,1968,75,19000,"F",19000,"F"
3,1969,75,19000,"F",19500,"F"
3,1970,75,19000,"F",19500,"F"
3,1971,75,20000,"F",21000,"F"
3,1972,75,20000,"F",19000,"F"
3,1973,75,20700,"F",22000,"F"
3,1974,75,21300,"F",26000,"F"
3,1975,75,21300,"F",27000,"F"
3,1976,75,21000,"F",27000,"F"
3,1977,75,21000,"F",28000,"F"
3,1978,75,20000,"F",28000,"F"
3,1979,75,20000,"F",28000,"*"
3,1980,75,20000,"F",30000,"*"
3,1981,75,20000,"F",30000,"*"
3,1982,75,20000,"*",30000,"*"
3,1983,75,20000,"*",30000,"*"
3,1984,75,20000,"*",30000,"*"
3,1985,75,20000,"*",30000,"*"
3,1986,75,20000,"*",30000,"*"
3,1987,75,20000,"*",30000,"*"
3,1988,75,20000,"*",30000,"*"
3,1989,75,20000,"*",20000,"F"
3,1990,75,16000," ",12000," "
3,1991,75,4000," ",3000," "
3,1992,75,4963," ",4667," "
3,1993,75,14687," ",17994," "
3,1994,75,11525," ",20000," "
3,1995,75,10744," ",12989," "
3,1996,75,10526," ",12725," "
3,1997,75,10302," ",12067," "
3,1998,75,9648," ",15400," "
3,1999,75,10000," ",13200," "
3,2000,75,10700," ",15700," "
3,2001,75,10700," ",15300," "
3,2002,75,11900," ",19700," "
3,2003,75,11079," ",16400," "
3,2004,75,12700," ",23100," "
3,2005,75,13923," ",24200," "
3,2006,75,13375," ",22600," "
3,2007,75,13200," ",21400," "
3,2008,75,13900," ",21800," "
3,2009,75,13000," ",25000," "
3,2010,75,14000," ",27300," "
3,2011,75,12940," ",29900," "
4,1961,75,58649," ",23214," "
4,1962,75,48000," ",31400," "
4,1963,75,44977," ",30911," "
4,1964,75,49310," ",35521," "
4,1965,75,37020," ",20595," "
4,1966,75,38810," ",6521," "
4,1967,75,36640," ",26441," "
4,1968,75,60990," ",41372," "
4,1969,75,66600," ",43733," "
4,1970,75,66780," ",41808," "
4,1971,75,67400," ",38349," "
4,1972,75,90120," ",54350," "
4,1973,75,92370," ",53177," "
4,1974,75,76190," ",49750," "
4,1975,75,88080," ",79577," "
4,1976,75,118530," ",89010," "
4,1977,75,128800," ",49671," "
4,1978,75,92390," ",55918," "
4,1979,75,130600," ",80467," "
4,1980,75,163320," ",110190," "
4,1981,75,149610," ",85973," "
4,1982,75,113210," ",60093," "
4,1983,75,103350," ",49371," "
4,1984,75,125270," ",64400," "
4,1985,75,138110," ",107714," "
4,1986,75,136900," ",89130," "
4,1987,75,117290," ",67710," "
4,1988,75,108000," ",29658," "
4,1989,75,113260," ",59560," "
4,1990,75,82080," ",41300," "
4,1991,75,132200," ",128142," "
4,1992,75,123480," ",92890," "
4,1993,75,50680," ",27246," "
4,1994,75,32650," ",15204," "
4,1995,75,73740," ",53100," "
4,1996,75,102000," ",117174," "
4,1997,75,25210," ",16815," "
4,1998,75,58640," ",45000," "
4,1999,75,46990," ",40000," "
4,2000,75,14660," ",8170," "
4,2001,75,49700," ",43661," "
4,2002,75,44600," ",33495," "
4,2003,75,70870," ",77546," "
4,2004,75,73960," ",89000," "
4,2005,75,61227," ",77500," "
4,2006,75,75035," ",89000," "
4,2007,75,82096," ",92238," "
4,2008,75,42309," ",26660," "
4,2009,75,76582," ",95712," "
4,2010,75,81670," ",88434," "
4,2011,75,59385," ",67340," "
9,1961,75,596700," ",7e+05," "
9,1962,75,411800," ",487200," "
9,1963,75,693200," ",906000," "
9,1964,75,569500," ",804500," "
9,1965,75,420500," ",480000," "
9,1966,75,412400," ",540000," "
9,1967,75,518800," ",690000," "
9,1968,75,443200," ",490000," "
9,1969,75,327400," ",425000," "
9,1970,75,299700," ",360000," "
9,1971,75,357000," ",475000," "
9,1972,75,398700," ",566000," "
9,1973,75,394600," ",561000," "
9,1974,75,282200," ",327000," "
9,1975,75,337750," ",432900," "
9,1976,75,383000," ",530000," "
9,1977,75,430000," ",570000," "
9,1978,75,5e+05," ",676000," "
9,1979,75,410000," ",522000," "
9,1980,75,349600," ",433000," "
9,1981,75,298500," ",339000," "
9,1982,75,408000," ",637000," "
9,1983,75,410000," ",593000," "
9,1984,75,434300," ",717000," "
9,1985,75,333000," ",4e+05," "
9,1986,75,312000," ",495000," "
9,1987,75,476420," ",718000," "
9,1988,75,355590," ",450000," "
9,1989,75,444200," ",667000," "
9,1990,75,451200," ",695000," "
9,1991,75,456000," ",610000," "
9,1992,75,371800," ",600200," "
9,1993,75,303500," ",436540," "
9,1994,75,259070," ",357286," "
9,1995,75,213750," ",260280," "
9,1996,75,246480," ",309500," "
9,1997,75,289500," ",512100," "
9,1998,75,240300," ",383395," "
9,1999,75,337460," ",554708," "
9,2000,75,335534," ",644150," "
9,2001,75,362545," ",664760," "
9,2002,75,292315," ",487510," "
9,2003,75,220785," ",331994," "
9,2004,75,291307," ",536091," "
9,2005,75,148225," ",226910," "
9,2006,75,138025," ",242960," "
9,2007,75,224250," ",472420," "
9,2008,75,211805," ",290525," "
9,2009,75,139368," ",181990," "
9,2010,75,284570," ",660200," "
9,2011,75,196135," ",414990," "
