"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
7,1961,254,22000,"F",210000,"F"
7,1962,254,22000,"F",210000,"F"
7,1963,254,21000,"F",2e+05,"F"
7,1964,254,22000,"F",210000,"F"
7,1965,254,18000,"F",170000,"F"
7,1966,254,19000,"F",180000,"F"
7,1967,254,20000,"F",190000,"F"
7,1968,254,20000,"F",190000,"F"
7,1969,254,23000,"F",220000,"F"
7,1970,254,21000,"F",2e+05,"F"
7,1971,254,21000,"F",2e+05,"F"
7,1972,254,21000,"F",2e+05,"F"
7,1973,254,21000,"F",2e+05,"F"
7,1974,254,21000,"F",2e+05,"F"
7,1975,254,21000,"F",2e+05,"F"
7,1976,254,19000,"F",190000,"F"
7,1977,254,18000,"F",170000,"F"
7,1978,254,20000,"F",190000,"F"
7,1979,254,20000,"F",2e+05,"F"
7,1980,254,20000,"F",2e+05,"F"
7,1981,254,19000,"F",190000,"F"
7,1982,254,19000,"F",190000,"F"
7,1983,254,20000,"F",2e+05,"F"
7,1984,254,19000,"F",190000,"F"
7,1985,254,18000,"F",180000,"F"
7,1986,254,19000,"F",190000,"F"
7,1987,254,20000,"F",2e+05,"F"
7,1988,254,20000,"F",210000,"F"
7,1989,254,21000,"F",210000,"F"
7,1990,254,21000,"F",220000,"F"
7,1991,254,21500,"F",230000,"F"
7,1992,254,21500,"F",240000,"F"
7,1993,254,21500,"F",250000,"F"
7,1994,254,21500,"F",260000,"F"
7,1995,254,22000,"F",265000,"F"
7,1996,254,22400,"F",270000,"F"
7,1997,254,22000,"F",265000,"F"
7,1998,254,22400,"F",270000,"F"
7,1999,254,22500,"F",270000,"F"
7,2000,254,23000,"F",280000,"F"
7,2001,254,23000,"F",280000,"F"
7,2002,254,23000,"F",280000,"F"
7,2003,254,23000,"F",280000,"F"
7,2004,254,23000,"F",280000,"F"
7,2005,254,23000,"F",280000,"F"
7,2006,254,23000,"F",280000,"F"
7,2007,254,23000,"F",280000,"F"
7,2008,254,23000,"F",250000,"F"
7,2009,254,23000,"F",280000,"F"
7,2010,254,23000,"F",280000,"F"
7,2011,254,23000,"F",280000,"F"
21,1961,254,2000,"F",20000,"F"
21,1962,254,2300,"F",25000,"F"
21,1963,254,2400,"F",27000,"F"
21,1964,254,2900,"F",32000,"F"
21,1965,254,4000,"F",42000,"F"
21,1966,254,5200,"F",55000,"F"
21,1967,254,4600,"F",49000,"F"
21,1968,254,4900,"F",51000,"F"
21,1969,254,5500,"F",58000,"F"
21,1970,254,2200,"F",23000,"F"
21,1971,254,2500,"F",26000,"F"
21,1972,254,2700,"F",27000,"F"
21,1973,254,2900,"F",30000,"F"
21,1974,254,3100,"F",32000,"F"
21,1975,254,3300,"F",35000,"F"
21,1976,254,4300,"F",45000,"F"
21,1977,254,5700,"F",60000,"F"
21,1978,254,7100,"F",75000,"F"
21,1979,254,7600,"F",80000,"F"
21,1980,254,5700,"F",60000,"F"
21,1981,254,6600,"F",70000,"F"
21,1982,254,7600,"F",80000,"F"
21,1983,254,8600,"F",90000,"F"
21,1984,254,11000,"F",115000,"F"
21,1985,254,13500,"F",145000,"F"
21,1986,254,14500,"F",155000,"F"
21,1987,254,18000,"F",195000,"F"
21,1988,254,21000,"F",230000,"F"
21,1989,254,25000,"F",268000,"F"
21,1990,254,33000,"F",328000,"F"
21,1991,254,33000,"F",331000,"F"
21,1992,254,31000,"F",306000,"F"
21,1993,254,23000,"F",231000,"F"
21,1994,254,31000,"F",308000,"F"
21,1995,254,33000,"F",328000,"F"
21,1996,254,36000,"F",352000,"F"
21,1997,254,36000,"F",360000,"F"
21,1998,254,38000,"F",380000,"F"
21,1999,254,40000,"F",4e+05,"F"
21,2000,254,45000,"F",450000,"F"
21,2001,254,46000,"F",460000,"F"
21,2002,254,45000,"F",450000,"F"
21,2003,254,51600,"F",516000,"F"
21,2004,254,55000,"F",550000,"F"
21,2005,254,56000,"F",560000,"F"
21,2006,254,59000,"F",590000,"F"
21,2007,254,66000,"F",660000,"F"
21,2008,254,103158," ",1091104," "
21,2009,254,103904," ",1122399," "
21,2010,254,106420," ",1292713," "
21,2011,254,109080," ",1301192," "
25,1961,254,55,"F",1000,"F"
25,1962,254,55,"F",1000,"F"
25,1963,254,55,"F",1000,"F"
25,1964,254,55,"F",1000,"F"
25,1965,254,55,"F",1000,"F"
25,1966,254,55,"F",1000,"F"
25,1967,254,55,"F",1000,"F"
25,1968,254,55,"F",1000,"F"
25,1969,254,110,"F",2000,"F"
25,1970,254,110,"F",2000,"F"
25,1971,254,140,"F",2500,"F"
25,1972,254,140,"F",2500,"F"
25,1973,254,140,"F",2500,"F"
25,1974,254,270,"F",5000,"F"
25,1975,254,700,"F",12000,"F"
25,1976,254,1019," ",21220," "
25,1977,254,2464," ",32085," "
25,1978,254,2994," ",47616," "
25,1979,254,3286," ",55908," "
25,1980,254,3335," ",64768," "
25,1981,254,3335," ",82968," "
25,1982,254,3332," ",89416," "
25,1983,254,3332," ",87117," "
25,1984,254,3530," ",87215," "
25,1985,254,3796," ",92251," "
25,1986,254,3918," ",68727," "
25,1987,254,4590," ",54124," "
25,1988,254,4309," ",70303," "
25,1989,254,3986," ",97600," "
25,1990,254,5519," ",98000," "
25,1991,254,7000,"*",1e+05," "
25,1992,254,8000,"*",135000,"F"
25,1993,254,8000,"*",140000,"F"
25,1994,254,8000,"*",126000,"*"
25,1995,254,8000,"*",130000,"*"
25,1996,254,8000,"*",130000,"*"
25,1997,254,8000,"*",137000,"*"
25,1998,254,8000,"*",138000," "
25,1999,254,8000,"*",133000,"F"
25,2000,254,9000,"*",150000,"F"
25,2001,254,9000,"*",150000,"F"
