"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
9,1961,339,,,67," "
9,1962,339,,,149," "
9,1963,339,,,230," "
9,1964,339,,,71," "
9,1965,339,,,150," "
9,1966,339,,,92," "
9,1967,339,,,125," "
9,1968,339,,,50," "
9,1969,339,,,15," "
9,1970,339,,,45," "
9,1971,339,,,110," "
9,1972,339,,,140," "
9,1973,339,,,170," "
9,1974,339,,,90," "
9,1975,339,,,180," "
9,1976,339,,,150," "
9,1977,339,,,100," "
9,1978,339,,,65," "
9,1979,339,,,70," "
9,1980,339,,,112," "
9,1981,339,,,108," "
9,1982,339,,,0,"F"
9,1983,339,,,0," "
9,1984,339,,,0," "
9,1985,339,,,0," "
9,1986,339,,,0," "
9,1987,339,,,0," "
9,1988,339,,,0," "
9,1989,339,,,0," "
9,1990,339,,,0," "
9,1991,339,,,0," "
9,1992,339,,,0," "
9,1993,339,,,0," "
9,1994,339,,,0," "
9,1995,339,,,0," "
9,1996,339,,,0," "
9,1997,339,,,0," "
9,1998,339,,,0," "
9,1999,339,,,0," "
9,2000,339,,,0," "
9,2001,339,,,0," "
9,2002,339,,,0," "
9,2003,339,,,0,"F"
9,2004,339,,,0,"T"
9,2005,339,,,0,"F"
9,2006,339,,,0,"F"
9,2007,339,,,0,"F"
9,2008,339,,,0,"F"
9,2009,339,,,0,"F"
9,2010,339,,,0,"F"
9,2011,339,,,0,"F"
11,1961,339,1498," ",1358," "
11,1962,339,1433," ",1313," "
11,1963,339,2044," ",2059," "
11,1964,339,2350," ",2409," "
11,1965,339,1950," ",1587," "
11,1966,339,2276," ",2113," "
11,1967,339,2432," ",2326," "
11,1968,339,2461," ",2414," "
11,1969,339,2095," ",1893," "
11,1970,339,2082," ",1953," "
11,1971,339,2308," ",1961," "
11,1972,339,2579," ",2020," "
11,1973,339,2927," ",2607," "
11,1974,339,3038," ",2867," "
11,1975,339,2752," ",2625," "
11,1976,339,3106," ",2703," "
11,1977,339,3382," ",3040," "
11,1978,339,4019," ",3368," "
11,1979,339,4313," ",3450,"F"
11,1980,339,5585," ",4724," "
11,1981,339,5120," ",4887," "
11,1982,339,4056," ",3957," "
11,1983,339,3269," ",2898," "
11,1984,339,4131," ",3668," "
11,1985,339,4317," ",4028," "
11,1986,339,6003," ",5502," "
11,1987,339,5345," ",5360," "
11,1988,339,5305," ",5308," "
11,1989,339,5190," ",3633," "
11,1990,339,5729," ",4010," "
