"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
2,1961,260,600,"F",1000,"F"
2,1962,260,600,"F",1100,"F"
2,1963,260,600,"F",1000,"F"
2,1964,260,600,"F",1100,"F"
2,1965,260,600,"F",1000,"F"
2,1966,260,600,"F",1100,"F"
2,1967,260,600,"F",1000,"F"
2,1968,260,600,"F",1200,"F"
2,1969,260,600,"F",1000,"F"
2,1970,260,600,"F",1200,"F"
2,1971,260,600,"F",1000,"F"
2,1972,260,600,"F",1200,"F"
2,1973,260,600,"F",1000,"F"
2,1974,260,600,"F",1300,"F"
2,1975,260,600,"F",1000,"F"
2,1976,260,600,"F",1336," "
2,1977,260,600,"F",1375," "
2,1978,260,623," ",1319," "
2,1979,260,800,"F",900,"F"
2,1980,260,1000,"F",1170," "
2,1981,260,1200,"F",1000,"F"
2,1982,260,1250,"F",800,"F"
2,1983,260,1300,"F",500,"F"
2,1984,260,1385," ",194," "
2,1985,260,1385," ",803," "
2,1986,260,1385," ",2001," "
2,1987,260,1300,"F",900,"F"
2,1988,260,1300,"F",1070," "
2,1989,260,1300,"F",800,"F"
2,1990,260,1420,"E",1100,"F"
2,1991,260,1300," ",900," "
2,1992,260,1300," ",1100," "
2,1993,260,1300," ",900," "
2,1994,260,1300," ",1100," "
2,1995,260,1300," ",900," "
2,1996,260,1300," ",1100," "
2,1997,260,1300," ",900," "
2,1998,260,1300," ",1100," "
2,1999,260,1300," ",900," "
2,2000,260,1300," ",1100," "
2,2001,260,1300," ",900," "
2,2002,260,1300," ",1100," "
2,2003,260,2400," ",2400," "
2,2004,260,1000," ",2550," "
2,2005,260,1105," ",2712," "
2,2006,260,2300," ",1592," "
2,2007,260,2300," ",1592," "
2,2008,260,2300," ",5800,"F"
2,2009,260,2000," ",9000," "
2,2010,260,2200," ",7300," "
2,2011,260,2200," ",6600," "
3,1961,260,18600," ",17800,"F"
3,1962,260,19400," ",27000,"F"
3,1963,260,21000," ",27200,"F"
3,1964,260,22900," ",48000,"F"
3,1965,260,25100," ",30000,"F"
3,1966,260,26400," ",32000,"F"
3,1967,260,29800," ",33000,"F"
3,1968,260,31400," ",34000,"F"
3,1969,260,32800," ",31000,"F"
3,1970,260,36400," ",20000,"F"
3,1971,260,36900," ",38000,"F"
3,1972,260,37000,"F",40000,"F"
3,1973,260,39800," ",53000,"F"
3,1974,260,40000,"F",47000,"F"
3,1975,260,40000,"F",52000,"F"
3,1976,260,42000,"F",42000,"F"
3,1977,260,44000,"F",52000,"F"
3,1978,260,43000,"F",38000,"F"
3,1979,260,42800," ",32000,"F"
3,1980,260,43400," ",26900," "
3,1981,260,43400," ",24000," "
3,1982,260,43600," ",17700," "
3,1983,260,43700," ",45000," "
3,1984,260,30000,"F",25000,"F"
3,1985,260,44000," ",33400," "
3,1986,260,44000," ",17900," "
3,1987,260,44300," ",37700," "
3,1988,260,44500," ",23400," "
3,1989,260,44600," ",31100," "
3,1990,260,45000," ",10000," "
3,1991,260,45000," ",35300," "
3,1992,260,45000," ",20200," "
3,1993,260,45000," ",25300," "
3,1994,260,45000," ",30000," "
3,1995,260,45000," ",38763," "
3,1996,260,44000," ",27660," "
3,1997,260,44000," ",33347," "
3,1998,260,44011," ",46876," "
3,1999,260,43679," ",42012," "
3,2000,260,32600," ",36200," "
3,2001,260,26396," ",39600," "
3,2002,260,28000," ",27300," "
3,2003,260,33600," ",27933," "
3,2004,260,33500,"F",58700," "
3,2005,260,28500,"F",30200," "
3,2006,260,35000,"F",40200," "
3,2007,260,25000,"F",27600," "
3,2008,260,45000,"F",56200," "
3,2009,260,40000,"F",78000," "
3,2010,260,42700,"E",70000," "
3,2011,260,42000,"F",65400," "
4,1961,260,0," ",160000," "
4,1962,260,0," ",143000," "
4,1963,260,0," ",148300," "
4,1964,260,0," ",148559," "
4,1965,260,0," ",153169," "
4,1966,260,0," ",143030," "
4,1967,260,0," ",138189," "
4,1968,260,0," ",171639," "
4,1969,260,97260," ",118902," "
4,1970,260,98840," ",137571," "
4,1971,260,125090," ",167836," "
4,1972,260,146300," ",171550," "
4,1973,260,151130," ",119061," "
4,1974,260,166220," ",172896," "
4,1975,260,175910," ",197267," "
4,1976,260,184080," ",221015," "
4,1977,260,167020," ",116363," "
4,1978,260,171220," ",88414," "
4,1979,260,182180," ",156920," "
4,1980,260,179540," ",103431," "
4,1981,260,176370," ",213812," "
4,1982,260,176880," ",143265," "
4,1983,260,184260," ",135317," "
4,1984,260,161260," ",102031," "
4,1985,260,162740," ",159155," "
4,1986,260,164630," ",201625," "
4,1987,260,161680," ",168172," "
4,1988,260,161150," ",142892," "
4,1989,260,161500," ",92453," "
4,1990,260,170170," ",177907," "
4,1991,260,164520," ",87736," "
4,1992,260,164290," ",265520," "
4,1993,260,161380," ",206073," "
4,1994,260,161260," ",170360," "
4,1995,260,160780," ",130964," "
4,1996,260,165040," ",313334," "
