"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,403,0," ",0," "
1,1962,403,0," ",0," "
1,1963,403,0," ",0," "
1,1964,403,0," ",0," "
1,1965,403,0," ",0," "
1,1966,403,0," ",0," "
1,1967,403,0," ",0," "
1,1968,403,0," ",0," "
1,1969,403,0," ",0," "
1,1970,403,0," ",0," "
1,1971,403,0," ",0," "
1,1972,403,0," ",0," "
1,1973,403,0," ",0," "
1,1974,403,0," ",0," "
1,1975,403,0," ",0," "
1,1976,403,0," ",0," "
1,1977,403,0," ",0," "
1,1978,403,0," ",0," "
1,1979,403,0," ",0," "
1,1980,403,0," ",0," "
1,1981,403,0," ",0," "
1,1982,403,0," ",0," "
1,1983,403,0," ",0," "
1,1984,403,0," ",0," "
1,1985,403,0," ",0," "
1,1986,403,0," ",0," "
1,1987,403,0," ",0," "
1,1988,403,1800,"*",51000,"*"
1,1989,403,1800,"*",44000,"*"
1,1990,403,1800,"*",35000,"*"
1,1991,403,2200,"*",26000,"*"
1,1992,403,2000,"*",50000,"*"
1,1993,403,2000,"*",37500,"*"
1,1994,403,2000,"*",36000,"*"
1,1995,403,2000,"*",45000,"*"
1,1996,403,2056," ",39155," "
1,1997,403,2200,"*",32000,"*"
1,1998,403,2000,"*",36000,"*"
1,1999,403,2203," ",40485," "
1,2000,403,1946," ",31328," "
1,2001,403,1975," ",32979," "
1,2002,403,2116," ",37319," "
1,2003,403,1853," ",33521," "
1,2004,403,2097," ",42789," "
1,2005,403,2078," ",48787," "
1,2006,403,2394," ",62234," "
1,2007,403,2227," ",56847," "
1,2008,403,2487," ",61449," "
1,2009,403,2085," ",50416.2," "
1,2010,403,1869," ",38282," "
1,2011,403,1961," ",40576," "
3,1961,403,0,"M",0,"M"
3,1962,403,0,"M",0,"M"
3,1963,403,0,"M",0,"M"
3,1964,403,0,"M",0,"M"
3,1965,403,0,"M",0,"M"
3,1966,403,0,"M",0,"M"
3,1967,403,0,"M",0,"M"
3,1968,403,0,"M",0,"M"
3,1969,403,0,"M",0,"M"
3,1970,403,0,"M",0,"M"
3,1971,403,0,"M",0,"M"
3,1972,403,0,"M",0,"M"
3,1973,403,0,"M",0,"M"
3,1974,403,0,"M",0,"M"
3,1975,403,0,"M",0,"M"
3,1976,403,0,"M",0,"M"
3,1977,403,0,"M",0,"M"
3,1978,403,0,"M",0,"M"
3,1979,403,0,"M",0,"M"
3,1980,403,0,"M",0,"M"
3,1981,403,0,"M",0,"M"
3,1982,403,0,"M",0,"M"
3,1983,403,0,"M",0,"M"
3,1984,403,0,"M",0,"M"
3,1985,403,0,"M",0,"M"
3,1986,403,0,"M",0,"M"
3,1987,403,0,"M",0,"M"
3,1988,403,0,"M",0,"M"
3,1989,403,0,"M",0,"M"
3,1990,403,2700,"*",31000,"*"
3,1991,403,3000,"*",34000,"*"
3,1992,403,4100,"*",47000,"*"
3,1993,403,4500,"*",52000,"*"
3,1994,403,4900,"*",57000,"*"
3,1995,403,3200,"*",40000,"*"
3,1996,403,3300,"*",38000,"*"
3,1997,403,3500,"*",43000,"*"
3,1998,403,3900,"*",48000,"*"
3,1999,403,3100,"*",37000,"*"
3,2000,403,2500,"*",30000,"*"
3,2001,403,2600,"*",32000,"*"
3,2002,403,2600,"*",33000,"*"
3,2003,403,4200," ",51000," "
3,2004,403,4100," ",50000," "
3,2005,403,4200," ",52000," "
3,2006,403,2764," ",61691," "
3,2007,403,2800,"*",60000," "
3,2008,403,3650," ",61300," "
3,2009,403,3916," ",65467," "
3,2010,403,4180," ",70344," "
3,2011,403,5908," ",103049," "
4,1961,403,6240," ",62900," "
4,1962,403,6000,"F",63000," "
4,1963,403,6000,"F",63000," "
4,1964,403,9340," ",68230," "
4,1965,403,5440," ",34696," "
4,1966,403,7090," ",40698," "
4,1967,403,7550," ",38752," "
4,1968,403,7380," ",29825," "
4,1969,403,7010," ",38072," "
4,1970,403,6920," ",37848," "
4,1971,403,8130," ",54361," "
4,1972,403,9520," ",66222," "
4,1973,403,10020," ",74573," "
4,1974,403,9770," ",78510," "
4,1975,403,13020," ",106472," "
4,1976,403,11590," ",72200," "
4,1977,403,13530," ",90594," "
4,1978,403,12450," ",90128," "
4,1979,403,13950," ",113660," "
4,1980,403,14140," ",117918," "
4,1981,403,15840," ",125820," "
4,1982,403,13560," ",112887," "
4,1983,403,14620," ",121429," "
4,1984,403,18990," ",195555," "
4,1985,403,19810," ",164200," "
4,1986,403,20990," ",164900," "
4,1987,403,23520," ",200190," "
4,1988,403,23150," ",200299," "
4,1989,403,21640," ",227589," "
4,1990,403,22530," ",172974," "
4,1991,403,24610," ",317544," "
4,1992,403,26000," ",250649," "
4,1993,403,22080," ",251145," "
4,1994,403,22280," ",247909," "
4,1995,403,25730," ",314029," "
4,1996,403,25420," ",312881," "
4,1997,403,27010," ",351729," "
4,1998,403,27070," ",392643," "
4,1999,403,27750," ",382454," "
4,2000,403,26490," ",315741," "
4,2001,403,30300," ",428491," "
4,2002,403,29640," ",447846," "
4,2003,403,32750," ",555110," "
4,2004,403,35303," ",658215," "
4,2005,403,36508," ",685500," "
4,2006,403,38417," ",703873," "
4,2007,403,38519," ",826592," "
4,2008,403,38370," ",759166," "
4,2009,403,42662," ",980160," "
4,2010,403,42455," ",1001304," "
4,2011,403,46013," ",1144171," "
8,1961,403,1,"F",3,"F"
8,1962,403,2,"F",3,"F"
8,1963,403,3,"F",5,"F"
8,1964,403,4,"F",8,"F"
8,1965,403,5,"F",10,"F"
8,1966,403,5,"F",12,"F"
8,1967,403,6,"F",17,"F"
8,1968,403,7,"F",20,"F"
8,1969,403,8,"F",24,"F"
8,1970,403,9,"F",27,"F"
8,1971,403,10,"F",30,"F"
8,1972,403,6,"F",20," "
8,1973,403,5,"F",14," "
8,1974,403,1,"F",4," "
8,1975,403,2,"F",6," "
8,1976,403,4,"F",14," "
8,1977,403,3,"F",8," "
8,1978,403,4,"F",16," "
8,1979,403,28,"F",127," "
8,1980,403,14,"F",61," "
8,1981,403,14,"F",67," "
8,1982,403,10,"F",39," "
8,1983,403,10,"F",47," "
8,1984,403,7,"F",28," "
8,1985,403,5,"F",23," "
8,1986,403,5,"F",28,"F"
8,1987,403,5,"F",31," "
8,1988,403,6,"F",37," "
8,1989,403,6,"F",40,"F"
8,1990,403,8,"F",60,"F"
8,1991,403,10,"F",80,"F"
