"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,402,0,"M",0,"M"
3,1962,402,0,"M",0,"M"
3,1963,402,0,"M",0,"M"
3,1964,402,0,"M",0,"M"
3,1965,402,0,"M",0,"M"
3,1966,402,0,"M",0,"M"
3,1967,402,0,"M",0,"M"
3,1968,402,0,"M",0,"M"
3,1969,402,0,"M",0,"M"
3,1970,402,0,"M",0,"M"
3,1971,402,0,"M",0,"M"
3,1972,402,0,"M",0,"M"
3,1973,402,0,"M",0,"M"
3,1974,402,0,"M",0,"M"
3,1975,402,0,"M",0,"M"
3,1976,402,0,"M",0,"M"
3,1977,402,0,"M",0,"M"
3,1978,402,0,"M",0,"M"
3,1979,402,0,"M",0,"M"
3,1980,402,0,"M",0,"M"
3,1981,402,0,"M",0,"M"
3,1982,402,0,"M",0,"M"
3,1983,402,0,"M",0,"M"
3,1984,402,0,"M",0,"M"
3,1985,402,0,"M",0,"M"
3,1986,402,0,"M",0,"M"
3,1987,402,0,"M",0,"M"
3,1988,402,0,"M",0,"M"
3,1989,402,0,"M",0,"M"
3,1990,402,700,"*",7800,"*"
3,1991,402,550,"*",6000,"*"
3,1992,402,800,"*",9300,"*"
3,1993,402,950,"*",10500,"*"
3,1994,402,950,"*",11700,"*"
3,1995,402,950,"*",11600,"*"
3,1996,402,800,"*",9600,"*"
3,1997,402,1000,"*",12000,"*"
3,1998,402,1000,"*",12000,"*"
3,1999,402,950,"*",11800,"*"
3,2000,402,1000,"*",12500,"*"
3,2001,402,1000,"*",13000,"*"
3,2002,402,1000,"*",13000,"*"
3,2003,402,1100," ",12000," "
3,2004,402,1000," ",13000," "
3,2005,402,1100," ",13800," "
3,2006,402,596," ",13299," "
3,2007,402,600,"*",13000," "
3,2008,402,1370," ",25780," "
3,2009,402,1368,"F",26306," "
3,2010,402,2297," ",33415," "
3,2011,402,2300,"F",38000,"*"
4,1961,402,0,"M",0," "
4,1962,402,0,"M",0," "
4,1963,402,0,"M",0," "
4,1964,402,0,"M",0," "
4,1965,402,0,"M",0," "
4,1966,402,0,"M",0," "
4,1967,402,0,"M",0," "
4,1968,402,0,"M",0," "
4,1969,402,0,"M",0," "
4,1970,402,0,"M",0," "
4,1971,402,0,"M",0," "
4,1972,402,0,"M",0," "
4,1973,402,0,"M",0," "
4,1974,402,0,"M",0," "
4,1975,402,0,"M",0," "
4,1976,402,0,"M",0," "
4,1977,402,0,"M",0," "
4,1978,402,0,"M",0," "
4,1979,402,0,"M",0," "
4,1980,402,0,"M",0," "
4,1981,402,0,"M",0," "
4,1982,402,5,"F",50,"F"
4,1983,402,8,"F",80,"F"
4,1984,402,10,"F",100,"F"
4,1985,402,15,"F",150,"F"
4,1986,402,15,"F",150,"F"
4,1987,402,15,"F",150,"F"
4,1988,402,15,"F",150,"F"
4,1989,402,15,"F",150,"F"
4,1990,402,14,"E",120,"E"
4,1991,402,18,"F",180,"F"
4,1992,402,20,"E",193,"E"
4,1993,402,19,"E",210,"E"
4,1994,402,20,"F",200,"F"
4,1995,402,24,"E",222,"E"
4,1996,402,20,"E",211,"E"
4,1997,402,22,"F",220,"F"
4,1998,402,21,"E",238,"E"
4,1999,402,25,"E",264,"E"
4,2000,402,24,"F",240,"F"
4,2001,402,25,"E",266,"E"
4,2002,402,26,"E",272,"E"
4,2003,402,25,"F",250,"F"
4,2004,402,27,"E",299,"E"
4,2005,402,22,"E",306,"E"
4,2006,402,28,"F",280,"F"
4,2007,402,26,"E",276,"E"
4,2008,402,30,"F",300,"F"
4,2009,402,36,"E",360,"E"
4,2010,402,30,"F",300,"F"
4,2011,402,30,"F",320,"F"
5,1961,402,0,"M",0,"M"
5,1962,402,0,"M",0,"M"
5,1963,402,0,"M",0,"M"
5,1964,402,0,"M",0,"M"
5,1965,402,0,"M",0,"M"
5,1966,402,0,"M",0,"M"
5,1967,402,0,"M",0,"M"
5,1968,402,0,"M",0,"M"
5,1969,402,0,"M",0,"M"
5,1970,402,0,"M",0,"M"
5,1971,402,0,"M",0,"M"
5,1972,402,0,"M",0,"M"
5,1973,402,0,"M",0,"M"
5,1974,402,0,"M",0,"M"
5,1975,402,0,"M",0,"M"
5,1976,402,0,"M",0,"M"
5,1977,402,0,"M",0,"M"
5,1978,402,0,"M",0,"M"
5,1979,402,0,"M",0,"M"
5,1980,402,0,"M",0,"M"
5,1981,402,0,"M",0,"M"
5,1982,402,0,"M",0,"M"
5,1983,402,0,"M",0,"M"
5,1984,402,0,"M",0,"M"
5,1985,402,0,"M",0,"M"
5,1986,402,0,"M",0,"M"
5,1987,402,0,"M",0,"M"
5,1988,402,0,"M",0,"M"
5,1989,402,0,"M",0,"M"
5,1990,402,0,"M",0,"M"
5,1991,402,0,"M",0,"M"
5,1992,402,0,"M",0,"M"
5,1993,402,0,"M",0,"M"
5,1994,402,0,"M",0,"M"
5,1995,402,0,"M",0,"M"
5,1996,402,0,"M",0,"M"
5,1997,402,0,"M",0,"M"
5,1998,402,4," ",8," "
5,1999,402,5,"F",10,"F"
5,2000,402,5,"F",11,"E"
5,2001,402,5,"F",12,"E"
5,2002,402,4,"E",11,"E"
5,2003,402,8," ",21," "
5,2004,402,10,"F",20,"F"
5,2005,402,10,"F",13,"E"
5,2006,402,10,"F",17,"E"
5,2007,402,10,"F",20,"F"
5,2008,402,10,"T",20,"T"
5,2009,402,10,"T",20,"T"
5,2010,402,10,"E",20,"T"
5,2011,402,10,"F",17,"E"
7,1961,402,2000,"F",2000,"F"
7,1962,402,2000,"F",2000,"F"
7,1963,402,2000,"F",2000,"F"
7,1964,402,2000,"F",2000,"F"
7,1965,402,2000,"F",2000,"F"
7,1966,402,3000,"F",3000,"F"
7,1967,402,3000,"F",3000,"F"
7,1968,402,3000,"F",3000,"F"
7,1969,402,3000,"F",4000,"F"
7,1970,402,3000,"F",4000,"F"
7,1971,402,3000,"F",4000,"F"
7,1972,402,3000,"F",4000,"F"
7,1973,402,3000,"F",4000,"F"
7,1974,402,3000,"F",4000,"F"
7,1975,402,3000,"F",3000,"F"
7,1976,402,3000,"F",3000,"F"
7,1977,402,3000,"F",4000,"F"
7,1978,402,4000,"F",5000,"F"
7,1979,402,4000,"F",5000,"F"
7,1980,402,5000,"F",6000,"F"
7,1981,402,5000,"F",6000,"F"
7,1982,402,6000,"F",7000,"F"
7,1983,402,6000,"F",7000,"F"
7,1984,402,7000,"F",8000,"F"
7,1985,402,7000,"F",8000,"F"
7,1986,402,8000,"F",9000,"F"
7,1987,402,8000,"F",9000,"F"
7,1988,402,9000,"F",10000,"F"
7,1989,402,9000,"F",10000," "
7,1990,402,10000,"F",11000," "
7,1991,402,10188,"E",11500," "
7,1992,402,11000,"F",12000," "
7,1993,402,10462,"E",11000,"F"
7,1994,402,11891,"E",11191,"E"
7,1995,402,12000,"F",12000,"F"
7,1996,402,13000,"F",13000,"F"
7,1997,402,12000,"F",12000,"F"
7,1998,402,13000,"F",13000,"F"
7,1999,402,12000,"F",10000,"F"
7,2000,402,13000,"F",13000,"F"
7,2001,402,12629,"E",12924,"E"
7,2002,402,12686,"E",13565,"E"
7,2003,402,15663,"E",13648,"E"
7,2004,402,15477,"E",13988,"E"
7,2005,402,15705,"E",14396,"E"
7,2006,402,13539,"E",17128,"E"
7,2007,402,12774,"E",17954,"E"
7,2008,402,13203,"E",18686,"E"
7,2009,402,26034,"E",20065,"E"
7,2010,402,13400,"F",23631,"E"
7,2011,402,12653,"E",24419,"E"
12,1961,402,0,"M",0,"M"
12,1962,402,0,"M",0,"M"
12,1963,402,0,"M",0,"M"
12,1964,402,0,"M",0,"M"
12,1965,402,0,"M",0,"M"
12,1966,402,0,"M",0,"M"
12,1967,402,0,"M",0,"M"
12,1968,402,0,"M",0,"M"
12,1969,402,0,"M",0,"M"
12,1970,402,0,"M",0,"M"
12,1971,402,0,"M",0,"M"
12,1972,402,0,"M",0,"M"
