"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
2,1961,490,1430,"F",10100,"*"
2,1962,490,1430,"F",10100,"F"
2,1963,490,1430,"F",10100,"F"
2,1964,490,1510,"F",12400,"F"
2,1965,490,1590,"F",13700,"F"
2,1966,490,1760,"F",15300,"F"
2,1967,490,1960,"F",18500,"F"
2,1968,490,1920,"F",18700,"F"
2,1969,490,1950,"F",18900,"F"
2,1970,490,1960,"F",18300,"F"
2,1971,490,1960,"F",14400,"F"
2,1972,490,2020,"F",17800,"F"
2,1973,490,2060,"F",18500,"F"
2,1974,490,2090,"F",18700,"F"
2,1975,490,2100,"F",18800,"F"
2,1976,490,2100,"F",17600,"F"
2,1977,490,2100,"F",10400,"F"
2,1978,490,2090,"F",15200,"F"
2,1979,490,2020,"F",14500,"F"
2,1980,490,2020,"F",15000,"F"
2,1981,490,1980,"F",14900,"F"
2,1982,490,1900,"F",14300,"F"
2,1983,490,1820,"F",14000,"F"
2,1984,490,1750,"F",13400,"F"
2,1985,490,1700,"F",12800,"F"
2,1986,490,1660,"F",13000,"F"
2,1987,490,1430,"F",11100,"F"
2,1988,490,1490,"F",11300,"F"
2,1989,490,1500,"F",11400,"F"
2,1990,490,1516,"E",11378,"E"
2,1991,490,1514,"E",11409,"E"
2,1992,490,1508,"E",11600,"F"
2,1993,490,1546,"E",10627,"E"
2,1994,490,1609,"E",11413,"E"
2,1995,490,1700,"E",10709,"E"
2,1996,490,1741,"E",12099,"E"
2,1997,490,1802,"E",13483,"E"
2,1998,490,1871,"E",12798,"E"
2,1999,490,1818,"E",13427,"E"
2,2000,490,2005,"E",13840,"E"
2,2001,490,1902,"E",13578,"E"
2,2002,490,2227,"E",14297,"E"
2,2003,490,1860," ",11144,"E"
2,2004,490,1400," ",10800,"F"
2,2005,490,1237," ",9500,"F"
2,2006,490,1000," ",6284," "
2,2007,490,1000," ",7109," "
2,2008,490,1000," ",6500,"F"
2,2009,490,1000," ",4000,"F"
2,2010,490,1000," ",2000," "
2,2011,490,1000," ",6000," "
3,1961,490,0,"M",2553," "
3,1962,490,0,"M",2100," "
3,1963,490,0,"M",2061," "
3,1964,490,0,"M",2370," "
3,1965,490,0,"M",2000," "
3,1966,490,0,"M",2240," "
3,1967,490,0,"M",2560," "
3,1968,490,0,"M",2800," "
