"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
7,1961,782,1500,"F",1500,"F"
7,1962,782,1500,"F",1500,"F"
7,1963,782,1500,"F",1500,"F"
7,1964,782,1500,"F",1500,"*"
7,1965,782,1500,"F",1500,"F"
7,1966,782,1500,"F",2000," "
7,1967,782,2000,"F",2000," "
7,1968,782,2000,"F",2400," "
7,1969,782,2000,"F",2000," "
7,1970,782,2000,"F",1700," "
7,1971,782,1500,"F",1200," "
7,1972,782,1500,"F",1100," "
7,1973,782,1000,"F",1100," "
7,1974,782,1000,"F",1100," "
7,1975,782,1000,"F",1000,"F"
7,1976,782,1000,"F",1000,"F"
7,1977,782,1000,"F",1000,"F"
7,1978,782,1000,"F",1000,"F"
7,1979,782,1000,"F",1000,"F"
7,1980,782,1000,"F",1000,"F"
7,1981,782,1000,"F",1000,"F"
7,1982,782,1000,"F",1000,"F"
7,1983,782,1000,"F",1000,"F"
7,1984,782,1000,"F",1000,"F"
7,1985,782,1000,"F",1000,"F"
7,1986,782,1000,"F",1000,"F"
7,1987,782,1000,"F",1000,"F"
7,1988,782,1000,"F",1000,"F"
7,1989,782,1000,"F",1000,"F"
7,1990,782,1107,"E",1060,"E"
7,1991,782,1000,"F",1125,"E"
7,1992,782,619,"E",1194,"E"
7,1993,782,999,"E",1267,"E"
7,1994,782,900,"F",800,"F"
7,1995,782,800,"F",700,"F"
7,1996,782,900,"F",800,"F"
7,1997,782,1000,"F",900,"F"
7,1998,782,978,"E",1000,"F"
7,1999,782,800,"F",700,"F"
7,2000,782,1000,"F",1000,"F"
7,2001,782,1063,"E",1010,"E"
7,2002,782,1064,"E",1020,"E"
7,2003,782,1134,"E",733,"E"
7,2004,782,944,"E",773,"E"
7,2005,782,1000,"F",829,"E"
7,2006,782,1000,"F",708,"E"
7,2007,782,1000,"F",547,"E"
7,2008,782,1000,"F",629,"E"
7,2009,782,1286,"E",560,"E"
7,2010,782,1200,"F",780,"F"
7,2011,782,1196,"E",899,"E"
16,1961,782,30900,"*",34350,"*"
16,1962,782,30900,"*",34900,"*"
16,1963,782,31700,"*",34170,"*"
16,1964,782,37700,"*",44900,"*"
16,1965,782,50700," ",54540,"*"
16,1966,782,23500," ",26140," "
16,1967,782,51100," ",57960," "
