"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
2,1961,568,3300,"F",15700,"F"
2,1962,568,3300,"F",15700,"F"
2,1963,568,3300,"F",16600,"F"
2,1964,568,3300,"F",17500,"F"
2,1965,568,3300,"F",18000,"F"
2,1966,568,3400,"F",18500,"F"
2,1967,568,3200,"F",20000,"*"
2,1968,568,2900,"F",20500,"F"
2,1969,568,2900,"F",21000,"F"
2,1970,568,2900,"F",19600,"F"
2,1971,568,2900,"F",22700,"F"
2,1972,568,2900,"F",20600,"F"
2,1973,568,2900,"F",21300,"F"
2,1974,568,3000,"F",21900,"F"
2,1975,568,2900,"F",22600,"F"
2,1976,568,4300,"F",28800,"F"
2,1977,568,3000,"F",20700,"F"
2,1978,568,3000,"F",24000,"F"
2,1979,568,2900,"F",24400,"F"
2,1980,568,2800,"F",24400,"F"
2,1981,568,2700,"F",24700,"F"
2,1982,568,2800,"F",25100,"F"
2,1983,568,2700,"F",24700,"F"
2,1984,568,2600,"F",23900,"F"
2,1985,568,2600,"F",23000,"F"
2,1986,568,2200,"F",21300,"F"
2,1987,568,2200,"F",21000,"F"
2,1988,568,2200,"F",20900,"F"
2,1989,568,2100,"F",19500,"F"
2,1990,568,2184,"E",22400,"F"
2,1991,568,2100,"E",22300,"F"
2,1992,568,2169,"E",22400,"F"
2,1993,568,2236,"E",22000,"F"
2,1994,568,1473,"E",15180,"E"
2,1995,568,1549,"E",16376,"E"
2,1996,568,1670,"E",21495,"E"
2,1997,568,1633,"E",29756,"E"
2,1998,568,1846,"E",36766,"E"
2,1999,568,1928,"E",34066,"E"
2,2000,568,2200,"F",22500,"F"
2,2001,568,2700,"F",30000,"F"
2,2002,568,5000,"F",50000,"F"
2,2003,568,8960," ",90000,"F"
2,2004,568,5040," ",50000,"F"
2,2005,568,9861," ",1e+05,"F"
2,2006,568,25000," ",3e+05,"F"
2,2007,568,25000," ",3e+05,"F"
2,2008,568,25000," ",3e+05,"F"
2,2009,568,35400," ",424800," "
2,2010,568,35460," ",350000,"F"
2,2011,568,24717," ",250000,"F"
3,1961,568,0,"M",0,"M"
3,1962,568,0,"M",0,"M"
3,1963,568,0,"M",0,"M"
3,1964,568,0,"M",0,"M"
3,1965,568,0,"M",0,"M"
3,1966,568,0,"M",0,"M"
3,1967,568,0,"M",0,"M"
3,1968,568,0,"M",0,"M"
3,1969,568,0,"M",0,"M"
3,1970,568,0,"M",0,"M"
3,1971,568,0,"M",0,"M"
3,1972,568,0,"M",0,"M"
3,1973,568,0,"M",0,"M"
3,1974,568,0,"M",0,"M"
3,1975,568,0,"M",0,"M"
3,1976,568,0,"M",0,"M"
3,1977,568,0,"M",0,"M"
3,1978,568,0,"M",0,"M"
3,1979,568,0,"M",0,"M"
3,1980,568,0,"M",0,"M"
3,1981,568,0,"M",0,"M"
3,1982,568,0,"M",0,"M"
3,1983,568,0,"M",0,"M"
3,1984,568,0,"M",0,"M"
3,1985,568,0,"M",0,"M"
3,1986,568,0,"M",0,"M"
3,1987,568,0,"M",0,"M"
3,1988,568,0,"M",0,"M"
3,1989,568,0,"M",0,"M"
3,1990,568,0,"M",0,"M"
3,1991,568,0,"M",0,"M"
3,1992,568,0,"M",0,"M"
3,1993,568,0,"M",0,"M"
3,1994,568,0,"M",0,"M"
3,1995,568,0,"M",0,"M"
3,1996,568,0,"M",0,"M"
3,1997,568,0,"M",0,"M"
3,1998,568,0,"M",0,"M"
3,1999,568,0,"M",0,"M"
3,2000,568,0,"M",0,"M"
3,2001,568,0,"M",0,"M"
3,2002,568,0,"M",0,"M"
3,2003,568,1700," ",30200," "
3,2004,568,1800," ",30500," "
3,2005,568,1900," ",31000," "
3,2006,568,1828," ",40805," "
3,2007,568,1800,"*",40000," "
3,2008,568,2500," ",74800," "
3,2009,568,1980," ",32696," "
3,2010,568,2368," ",64622," "
3,2011,568,1500," ",34400," "
5,1961,568,0,"M",0,"M"
5,1962,568,0,"M",0,"M"
5,1963,568,0,"M",0,"M"
5,1964,568,0,"M",0,"M"
5,1965,568,0,"M",0,"M"
5,1966,568,0,"M",0,"M"
5,1967,568,0,"M",0,"M"
5,1968,568,0,"M",0,"M"
5,1969,568,0,"M",0,"M"
5,1970,568,0,"M",0,"M"
5,1971,568,0,"M",0,"M"
5,1972,568,0,"M",0,"M"
5,1973,568,0,"M",0,"M"
5,1974,568,0,"M",0,"M"
5,1975,568,0,"M",0,"M"
5,1976,568,0,"M",0,"M"
5,1977,568,0,"M",0,"M"
5,1978,568,0,"M",0,"M"
5,1979,568,0,"M",0,"M"
5,1980,568,0,"M",0,"M"
