"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
7,1961,256,210000,"C",22300,"*"
7,1962,256,210000,"C",22000,"*"
7,1963,256,2e+05,"C",23000,"*"
7,1964,256,210000,"C",23500,"*"
7,1965,256,170000,"C",19400,"*"
7,1966,256,180000,"C",19700,"*"
7,1967,256,190000,"C",21500,"*"
7,1968,256,190000,"C",17300,"*"
7,1969,256,220000,"C",17500,"*"
7,1970,256,2e+05,"C",16600,"*"
7,1971,256,2e+05,"C",13500,"*"
7,1972,256,2e+05,"C",13000,"*"
7,1973,256,2e+05,"C",12000,"*"
7,1974,256,2e+05,"C",12000,"*"
7,1975,256,2e+05,"C",12000,"F"
7,1976,256,190000,"C",12000,"F"
7,1977,256,170000,"C",13000,"F"
7,1978,256,190000,"C",12000,"F"
7,1979,256,2e+05,"C",12000,"F"
7,1980,256,2e+05,"C",12000,"F"
7,1981,256,190000,"C",11500,"F"
7,1982,256,190000,"C",11500,"F"
7,1983,256,2e+05,"C",12000,"F"
7,1984,256,190000,"C",11500,"F"
7,1985,256,180000,"C",10800,"F"
7,1986,256,190000,"C",11500,"F"
7,1987,256,2e+05,"C",12000,"F"
7,1988,256,210000,"C",12600,"F"
7,1989,256,210000,"C",12600,"F"
7,1990,256,220000,"C",16400,"F"
7,1991,256,230000,"C",17031,"E"
7,1992,256,240000,"C",18608,"E"
7,1993,256,250000,"C",18959,"E"
7,1994,256,260000,"C",19310,"E"
7,1995,256,265000,"C",17100,"F"
7,1996,256,270000,"C",18000,"F"
7,1997,256,265000,"C",18600,"F"
7,1998,256,270000,"C",19100,"F"
7,1999,256,270000,"C",18000,"F"
7,2000,256,280000,"C",18600,"F"
7,2001,256,280000,"C",20000,"*"
7,2002,256,280000,"C",20000,"*"
7,2003,256,280000,"C",21000,"*"
7,2004,256,280000,"C",22000,"*"
7,2005,256,280000,"C",22000,"*"
7,2006,256,280000,"C",22500,"F"
7,2007,256,280000,"C",23000,"F"
7,2008,256,250000,"C",20500,"F"
7,2009,256,280000,"C",23000,"F"
7,2010,256,280000,"C",23000,"F"
7,2011,256,280000,"C",23000,"F"
21,1961,256,0,"C",129987," "
21,1962,256,0,"C",148827," "
21,1963,256,0,"C",155349," "
21,1964,256,0,"C",168167," "
21,1965,256,0,"C",186325," "
21,1966,256,0,"C",187301," "
21,1967,256,0,"C",191764," "
21,1968,256,0,"C",193044," "
21,1969,256,0,"C",198981," "
21,1970,256,0,"C",235243," "
21,1971,256,0,"C",221574," "
21,1972,256,0,"C",230000,"F"
21,1973,256,0,"C",228878," "
21,1974,256,0,"C",237437," "
21,1975,256,0,"C",229645," "
21,1976,256,0,"C",242557," "
21,1977,256,0,"C",252704," "
21,1978,256,0,"C",251680," "
21,1979,256,0,"C",270569," "
21,1980,256,0,"C",267072," "
21,1981,256,0,"C",259164," "
21,1982,256,0,"C",239083," "
21,1983,256,0,"C",224280," "
21,1984,256,0,"C",223112," "
21,1985,256,0,"C",240570," "
21,1986,256,0,"C",209540," "
21,1987,256,0,"C",214922," "
21,1988,256,0,"C",218853," "
21,1989,256,268000,"C",212891," "
21,1990,256,328000,"C",205507," "
21,1991,256,331000,"C",198703," "
21,1992,256,306000,"C",183555," "
21,1993,256,231000,"C",138695," "
21,1994,256,308000,"C",117208," "
21,1995,256,328000,"C",108216," "
21,1996,256,352000,"C",134470," "
21,1997,256,360000,"C",129316," "
21,1998,256,380000,"C",128562," "
21,1999,256,4e+05,"C",125725," "
21,2000,256,450000,"C",122736," "
21,2001,256,460000,"C",120465," "
21,2002,256,450000,"C",119786," "
21,2003,256,516000,"C",121000,"F"
21,2004,256,550000,"C",121500,"F"
21,2005,256,560000,"C",124594,"E"
21,2006,256,590000,"C",128000,"F"
21,2007,256,660000,"C",130000,"F"
21,2008,256,1091104,"C",150000,"F"
21,2009,256,1122399,"C",180000,"F"
21,2010,256,1292713,"C",208900,"E"
21,2011,256,1301192,"C",208900,"F"
25,1961,256,1000,"C",40,"F"
25,1962,256,1000,"C",40,"F"
25,1963,256,1000,"C",40,"F"
25,1964,256,1000,"C",40,"F"
25,1965,256,1000,"C",40,"F"
25,1966,256,1000,"C",40,"F"
25,1967,256,1000,"C",40,"F"
25,1968,256,1000,"C",40,"F"
25,1969,256,2000,"C",80,"F"
25,1970,256,2000,"C",80,"F"
25,1971,256,2500,"C",100,"F"
25,1972,256,2500,"C",100,"F"
25,1973,256,2500,"C",100,"F"
25,1974,256,5000,"C",200,"F"
25,1975,256,12000,"C",480,"F"
25,1976,256,21220,"C",858," "
25,1977,256,32085,"C",1435," "
25,1978,256,47616,"C",1963," "
25,1979,256,55908,"C",2258," "
25,1980,256,64768,"C",2349," "
25,1981,256,82968,"C",3063," "
25,1982,256,89416,"C",3603," "
25,1983,256,87117,"C",4004," "
25,1984,256,87215,"C",3979," "
25,1985,256,92251,"C",4177," "
25,1986,256,68727,"C",3133," "
25,1987,256,54124,"C",2432," "
25,1988,256,70303,"C",3172," "
25,1989,256,97600,"C",4475," "
25,1990,256,98000,"C",5051," "
25,1991,256,1e+05,"C",4992," "
25,1992,256,135000,"C",6781," "
25,1993,256,140000,"C",7043," "
25,1994,256,126000,"C",7183," "
25,1995,256,130000,"C",6861," "
25,1996,256,130000,"C",6834," "
25,1997,256,137000,"C",7005," "
25,1998,256,138000,"C",6821," "
25,1999,256,133000,"C",3182," "
25,2000,256,150000,"C",8000,"*"
25,2001,256,150000,"C",8000,"*"
25,2002,256,150000,"C",8000,"*"
25,2003,256,150000,"C",8000,"*"
25,2004,256,150000,"C",8000,"*"
25,2005,256,150000,"C",8000,"*"
25,2006,256,170000,"C",9000,"*"
25,2007,256,170000,"C",9000,"*"
25,2008,256,177300,"C",9000,"*"
25,2009,256,181820,"C",10000,"*"
25,2010,256,191000,"C",11000,"*"
25,2011,256,191000,"C",11000,"*"
29,1961,256,6000,"C",600,"C"
29,1962,256,6000,"C",600,"C"
29,1963,256,6000,"C",600,"C"
29,1964,256,6000,"C",600,"C"
29,1965,256,6000,"C",600,"C"
29,1966,256,6000,"C",600,"C"
29,1967,256,6000,"C",600,"C"
29,1968,256,8000,"C",800,"C"
29,1969,256,10000,"C",1000,"C"
29,1970,256,11600,"C",1160,"C"
29,1971,256,11900,"C",1190,"C"
29,1972,256,10700,"C",1070,"C"
29,1973,256,12100,"C",1210,"C"
29,1974,256,9700,"C",970,"C"
29,1975,256,11600,"C",1160,"C"
29,1976,256,11600,"C",1160,"C"
29,1977,256,11500,"C",1150,"C"
29,1978,256,16000,"C",1600,"C"
29,1979,256,11900,"C",1190,"C"
29,1980,256,12000,"C",1200,"C"
29,1981,256,12000,"C",1200,"C"
29,1982,256,12000,"C",1200,"C"
29,1983,256,12000,"C",1200,"C"
29,1984,256,12000,"C",1200,"C"
29,1985,256,13000,"C",1300,"C"
29,1986,256,13000,"C",1300,"C"
29,1987,256,13300,"C",1330,"C"
29,1988,256,13600,"C",1360,"C"
29,1989,256,10300,"C",1030,"C"
29,1990,256,14200,"C",1420,"C"
29,1991,256,14500,"C",1450,"C"
29,1992,256,14900,"C",1490,"C"
29,1993,256,14500,"C",1450,"C"
29,1994,256,13000,"C",1300,"C"
29,1995,256,14000,"C",1400,"C"
29,1996,256,14500,"C",1450,"C"
29,1997,256,15000,"C",1500,"C"
29,1998,256,14500,"C",1450,"C"
29,1999,256,14000,"C",1400,"C"
29,2000,256,13000,"C",1300,"C"
29,2001,256,9500,"C",950,"C"
29,2002,256,11000,"C",1100,"C"
29,2003,256,15000,"C",1500,"C"
29,2004,256,20000,"C",2000,"C"
29,2005,256,33000,"C",3300,"C"
29,2006,256,55000,"C",5500,"C"
29,2007,256,85000,"C",8500,"C"
29,2008,256,95000,"C",9500,"C"
29,2009,256,90000,"C",9000,"C"
29,2010,256,84000,"C",8400,"C"
29,2011,256,70000,"C",7000,"C"
32,1961,256,413000,"C",29500," "
32,1962,256,398000,"C",28400," "
32,1963,256,536000,"C",38300," "
32,1964,256,584000,"C",41700," "
32,1965,256,675000,"C",48200," "
32,1966,256,515000,"C",36800," "
32,1967,256,694000,"C",49600," "
32,1968,256,713000,"C",50900," "
32,1969,256,643000,"C",45912," "
32,1970,256,558000,"C",39864," "
32,1971,256,510000,"C",36436," "
32,1972,256,532000,"C",38000," "
32,1973,256,553000,"C",39500," "
32,1974,256,574000,"C",41000,"F"
32,1975,256,630000,"C",45000,"F"
32,1976,256,5e+05,"C",35000,"F"
32,1977,256,5e+05,"C",35000,"F"
32,1978,256,560000,"C",33600,"*"
32,1979,256,580000,"C",37270,"*"
32,1980,256,658000,"C",44050,"*"
32,1981,256,540000,"C",47500,"F"
32,1982,256,610000,"C",45000," "
32,1983,256,5e+05,"C",43500,"*"
32,1984,256,660000,"C",56000,"*"
32,1985,256,7e+05,"C",52000," "
32,1986,256,730000,"C",47000," "
32,1987,256,720000,"C",50000," "
32,1988,256,723000,"C",51000,"*"
32,1989,256,1060000,"C",54000,"*"
32,1990,256,1050000,"C",53000,"*"
32,1991,256,930000,"C",53000,"*"
32,1992,256,930000,"C",53000,"*"
32,1993,256,950000,"C",54000,"*"
32,1994,256,950000,"C",55000,"*"
