"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
7,1961,257,210000,"C",40000,"*"
7,1962,257,210000,"C",41000,"*"
7,1963,257,2e+05,"C",36000,"*"
7,1964,257,210000,"C",41000,"*"
7,1965,257,170000,"C",32000,"*"
7,1966,257,180000,"C",35000,"*"
7,1967,257,190000,"C",35000,"*"
7,1968,257,190000,"C",38000,"*"
7,1969,257,220000,"C",45000," "
7,1970,257,2e+05,"C",38000,"*"
7,1971,257,2e+05,"C",38000,"*"
7,1972,257,2e+05,"C",38000,"*"
7,1973,257,2e+05,"C",40000,"*"
7,1974,257,2e+05,"C",40000,"*"
7,1975,257,2e+05,"C",40000,"*"
7,1976,257,190000,"C",35000,"F"
7,1977,257,170000,"C",30000,"F"
7,1978,257,190000,"C",35000,"F"
7,1979,257,2e+05,"C",40000,"F"
7,1980,257,2e+05,"C",40000,"F"
7,1981,257,190000,"C",38000,"F"
7,1982,257,190000,"C",38000,"F"
7,1983,257,2e+05,"C",40000,"F"
7,1984,257,190000,"C",38000,"F"
7,1985,257,180000,"C",36000,"F"
7,1986,257,190000,"C",38000,"F"
7,1987,257,2e+05,"C",40000,"F"
7,1988,257,210000,"C",42000,"F"
7,1989,257,210000,"C",42000,"F"
7,1990,257,220000,"C",40000,"*"
7,1991,257,230000,"C",40000,"*"
7,1992,257,240000,"C",40000,"*"
7,1993,257,250000,"C",40000,"*"
7,1994,257,260000,"C",40000,"*"
7,1995,257,265000,"C",40000,"*"
7,1996,257,270000,"C",48000,"*"
7,1997,257,265000,"C",50000,"*"
7,1998,257,270000,"C",51000,"*"
7,1999,257,270000,"C",49000,"*"
7,2000,257,280000,"C",49000,"*"
7,2001,257,280000,"C",49000,"*"
7,2002,257,280000,"C",50000,"*"
7,2003,257,280000,"C",49000,"*"
7,2004,257,280000,"C",51000,"*"
7,2005,257,280000,"C",53000,"*"
7,2006,257,280000,"C",54000,"*"
7,2007,257,280000,"C",55000,"*"
7,2008,257,250000,"C",46000,"*"
7,2009,257,280000,"C",55000,"*"
7,2010,257,280000,"C",57000,"*"
7,2011,257,280000,"C",50000,"*"
11,1961,257,,,0,"M"
11,1962,257,,,0,"M"
11,1963,257,,,0,"M"
11,1964,257,,,0,"M"
11,1965,257,,,0,"M"
11,1966,257,,,0,"M"
11,1967,257,,,0,"M"
11,1968,257,,,0,"M"
11,1969,257,,,0,"M"
11,1970,257,,,0,"M"
11,1971,257,,,0,"M"
11,1972,257,,,0,"M"
11,1973,257,,,0,"M"
11,1974,257,,,0,"M"
11,1975,257,,,0,"M"
11,1976,257,,,0,"M"
11,1977,257,,,0,"M"
11,1978,257,,,0,"M"
11,1979,257,,,0,"M"
11,1980,257,,,0,"M"
11,1981,257,,,0,"M"
11,1982,257,,,0,"M"
11,1983,257,,,0,"M"
11,1984,257,,,0,"M"
11,1985,257,,,0,"M"
11,1986,257,,,0,"M"
11,1987,257,,,0,"M"
11,1988,257,,,0,"M"
11,1989,257,,,0,"M"
11,1990,257,,,0,"M"
11,1991,257,,,0,"M"
11,1992,257,,,0,"M"
11,1993,257,,,0,"M"
11,1994,257,,,0,"M"
11,1995,257,,,0,"M"
11,1996,257,,,0,"M"
11,1997,257,,,0,"M"
11,1998,257,,,0,"M"
11,1999,257,,,0,"M"
11,2000,257,,,0,"M"
11,2001,257,,,0,"M"
11,2002,257,,,0,"M"
11,2003,257,,,0,"M"
11,2004,257,,,0,"M"
11,2005,257,,,0,"M"
11,2006,257,,,0,"M"
11,2007,257,,,0,"M"
11,2008,257,,,0,"M"
11,2009,257,,,0,"M"
11,2010,257,,,0,"M"
11,2011,257,,,0,"M"
21,1961,257,20000,"C",3993," "
21,1962,257,25000,"C",5126," "
21,1963,257,27000,"C",5340," "
21,1964,257,32000,"C",6429," "
21,1965,257,42000,"C",8491," "
21,1966,257,55000,"C",10980," "
21,1967,257,49000,"C",9795," "
21,1968,257,51000,"C",10191," "
21,1969,257,58000,"C",11619," "
21,1970,257,23000,"C",4678," "
21,1971,257,26000,"C",5200," "
21,1972,257,27000,"C",5500,"F"
21,1973,257,30000,"C",6000,"*"
21,1974,257,32000,"C",6500,"*"
21,1975,257,35000,"C",7000,"*"
21,1976,257,45000,"C",9000,"F"
21,1977,257,60000,"C",12000,"*"
21,1978,257,75000,"C",15000,"*"
21,1979,257,80000,"C",16000,"*"
21,1980,257,60000,"C",12000,"*"
21,1981,257,70000,"C",14000,"*"
21,1982,257,80000,"C",16000,"*"
21,1983,257,90000,"C",18000,"*"
21,1984,257,115000,"C",23000,"*"
21,1985,257,145000,"C",29000,"*"
21,1986,257,155000,"C",31000,"*"
21,1987,257,195000,"C",39000,"*"
21,1988,257,230000,"C",46000,"*"
21,1989,257,268000,"C",53700,"*"
21,1990,257,328000,"C",65600,"*"
21,1991,257,331000,"C",69900,"*"
21,1992,257,306000,"C",60000,"*"
21,1993,257,231000,"C",53800,"*"
21,1994,257,308000,"C",70800,"*"
21,1995,257,328000,"C",75500,"*"
21,1996,257,352000,"C",79500,"*"
21,1997,257,360000,"C",80400,"*"
21,1998,257,380000,"C",88600,"*"
21,1999,257,4e+05,"C",92000,"*"
21,2000,257,450000,"C",108000,"*"
21,2001,257,460000,"C",110000,"*"
21,2002,257,450000,"C",118000,"*"
21,2003,257,516000,"C",129000,"*"
21,2004,257,550000,"C",142000,"*"
21,2005,257,560000,"C",160000,"*"
21,2006,257,590000,"C",170000,"*"
21,2007,257,660000,"C",190000,"*"
21,2008,257,1091104,"C",210000,"*"
21,2009,257,1122399,"C",240000,"*"
21,2010,257,1292713,"C",250000,"*"
21,2011,257,1301192,"C",270000,"*"
25,1961,257,1000,"C",200,"F"
25,1962,257,1000,"C",200,"F"
25,1963,257,1000,"C",200,"F"
25,1964,257,1000,"C",200,"F"
25,1965,257,1000,"C",200,"F"
25,1966,257,1000,"C",200,"F"
25,1967,257,1000,"C",200,"F"
25,1968,257,1000,"C",200,"F"
25,1969,257,2000,"C",400,"F"
25,1970,257,2000,"C",400,"F"
25,1971,257,2500,"C",500,"F"
25,1972,257,2500,"C",500,"F"
25,1973,257,2500,"C",500,"F"
25,1974,257,5000,"C",1000,"F"
25,1975,257,12000,"C",2300,"F"
25,1976,257,21220,"C",4535," "
25,1977,257,32085,"C",7044," "
25,1978,257,47616,"C",10911," "
25,1979,257,55908,"C",13010," "
25,1980,257,64768,"C",14228," "
25,1981,257,82968,"C",18081," "
25,1982,257,89416,"C",19238," "
25,1983,257,87117,"C",19654," "
25,1984,257,87215,"C",19666," "
25,1985,257,92251,"C",20000," "
25,1986,257,68727,"C",14560," "
25,1987,257,54124,"C",11999," "
25,1988,257,70303,"C",15227," "
25,1989,257,97600,"C",20090," "
25,1990,257,98000,"C",22104," "
25,1991,257,1e+05,"C",22518," "
25,1992,257,135000,"C",30854," "
25,1993,257,140000,"C",30986," "
25,1994,257,126000,"C",29737," "
25,1995,257,130000,"C",29562," "
25,1996,257,130000,"C",28680," "
25,1997,257,137000,"C",28863," "
25,1998,257,138000,"C",29077," "
25,1999,257,133000,"C",31000,"*"
25,2000,257,150000,"C",35000,"*"
25,2001,257,150000,"C",36000,"*"
25,2002,257,150000,"C",34000,"*"
25,2003,257,150000,"C",33000,"*"
25,2004,257,150000,"C",34000,"*"
25,2005,257,150000,"C",35000,"*"
