"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
9,1961,600,0,"M",200,"F"
9,1962,600,0,"M",220,"F"
9,1963,600,0,"M",240,"F"
9,1964,600,0,"M",260,"F"
9,1965,600,0,"M",280,"F"
9,1966,600,0,"M",300,"F"
9,1967,600,0,"M",300,"F"
9,1968,600,0,"M",295," "
9,1969,600,0,"M",571," "
9,1970,600,0,"M",900," "
9,1971,600,0,"M",1150," "
9,1972,600,0,"M",1460," "
9,1973,600,0,"M",1670," "
9,1974,600,0,"M",1210," "
9,1975,600,0,"M",1300," "
9,1976,600,0,"M",1920," "
9,1977,600,0,"M",1030," "
9,1978,600,0,"M",1500," "
9,1979,600,0,"M",1400," "
9,1980,600,0,"M",870," "
9,1981,600,0,"M",1400," "
9,1982,600,0,"M",1100," "
9,1983,600,0,"M",1500,"F"
9,1984,600,0,"M",1400,"F"
9,1985,600,135,"F",1400,"F"
9,1986,600,135,"F",1500,"F"
9,1987,600,135,"F",1500,"F"
9,1988,600,135,"F",1500,"F"
9,1989,600,135,"F",1500,"F"
9,1990,600,121,"E",1421,"E"
9,1991,600,123,"E",1600,"F"
9,1992,600,126,"E",1700,"F"
9,1993,600,138,"F",1800,"F"
9,1994,600,168,"E",1900,"F"
9,1995,600,175,"E",2000,"F"
9,1996,600,143,"E",1688,"E"
9,1997,600,140,"F",2043,"E"
9,1998,600,141,"E",1922,"E"
9,1999,600,150,"F",2100,"F"
9,2000,600,147,"E",2101,"E"
9,2001,600,158,"E",2395,"E"
9,2002,600,160,"F",2200,"F"
9,2003,600,159,"E",2133,"F"
9,2004,600,157,"F",2144,"F"
9,2005,600,162,"E",2326,"E"
9,2006,600,160,"F",2150,"F"
9,2007,600,170,"F",2300,"F"
9,2008,600,164,"E",2167,"E"
9,2009,600,178,"E",2019,"E"
9,2010,600,174,"E",2031,"E"
9,2011,600,170,"E",1913,"E"
10,1961,600,403," ",5444," "
10,1962,600,403," ",5444," "
10,1963,600,426," ",6327," "
10,1964,600,451," ",6015," "
10,1965,600,456," ",6692," "
10,1966,600,488," ",5253," "
10,1967,600,482," ",8038," "
10,1968,600,457," ",6203," "
10,1969,600,378," ",4958," "
10,1970,600,379," ",4902," "
10,1971,600,356," ",4880," "
10,1972,600,316," ",4921," "
10,1973,600,241," ",3522," "
10,1974,600,232," ",2475," "
10,1975,600,180," ",2392," "
10,1976,600,189," ",2771," "
10,1977,600,215," ",2868," "
10,1978,600,199," ",2584," "
10,1979,600,220," ",2690," "
10,1980,600,282," ",3102,"*"
10,1981,600,327," ",3651," "
10,1982,600,308," ",3770,"*"
10,1983,600,296," ",3221,"*"
10,1984,600,366," ",4163," "
10,1985,600,353," ",4220," "
10,1986,600,298," ",4251," "
10,1987,600,332," ",4819," "
10,1988,600,352," ",4473," "
10,1989,600,367," ",5099," "
10,1990,600,335," ",5100," "
10,1991,600,303," ",4472," "
10,1992,600,321," ",4289," "
10,1993,600,351," ",5335," "
10,1994,600,340,"F",5700,"F"
10,1995,600,320," ",6225," "
10,1996,600,316," ",5726," "
10,1997,600,321," ",6108," "
10,1998,600,325," ",5394," "
10,1999,600,298," ",7058," "
10,2000,600,355," ",4350," "
10,2001,600,537," ",9622," "
10,2002,600,457," ",11314," "
10,2003,600,623," ",8976," "
10,2004,600,403," ",5027," "
10,2005,600,410,"F",5648," "
10,2006,600,420,"F",6456," "
10,2007,600,138," ",1066," "
10,2008,600,250,"F",3500,"F"
10,2009,600,326," ",7069," "
10,2010,600,310,"E",6900,"E"
10,2011,600,295,"F",6534," "
12,1961,600,0,"M",0,"M"
12,1962,600,0,"M",0,"M"
12,1963,600,0,"M",0,"M"
12,1964,600,0,"M",0,"M"
12,1965,600,0,"M",0,"M"
12,1966,600,0,"M",0,"M"
12,1967,600,0,"M",0,"M"
12,1968,600,0,"M",0,"M"
12,1969,600,0,"M",0,"M"
12,1970,600,0,"M",0,"M"
12,1971,600,0,"M",0,"M"
12,1972,600,0,"M",0,"M"
12,1973,600,0,"M",0,"M"
12,1974,600,0,"M",0,"M"
12,1975,600,0,"M",0,"M"
12,1976,600,0,"M",0,"M"
12,1977,600,0,"M",0,"M"
12,1978,600,0,"M",0,"M"
12,1979,600,0,"M",0,"M"
12,1980,600,0,"M",0,"M"
12,1981,600,0,"M",0,"M"
12,1982,600,0,"M",0,"M"
