"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,534,0,"M",0," "
1,1962,534,0,"M",0," "
1,1963,534,0,"M",0," "
1,1964,534,0,"M",0," "
1,1965,534,0,"M",0," "
1,1966,534,0,"M",0," "
1,1967,534,0,"M",0," "
1,1968,534,0,"M",0," "
1,1969,534,0,"M",0," "
1,1970,534,0,"M",0," "
1,1971,534,0,"M",0," "
1,1972,534,0,"M",0," "
1,1973,534,0,"M",0," "
1,1974,534,0,"M",0," "
1,1975,534,0,"M",0," "
1,1976,534,0,"M",0," "
1,1977,534,0,"M",0," "
1,1978,534,0,"M",0," "
1,1979,534,0,"M",0," "
1,1980,534,0,"M",0," "
1,1981,534,0,"M",0," "
1,1982,534,0,"M",0," "
1,1983,534,0,"M",0," "
1,1984,534,0,"M",0," "
1,1985,534,0,"M",0," "
1,1986,534,0,"M",0," "
1,1987,534,0,"M",0," "
1,1988,534,0,"M",0," "
1,1989,534,0,"M",0," "
1,1990,534,2500,"F",13000,"*"
1,1991,534,2500,"F",14000,"*"
1,1992,534,4900,"*",12100,"*"
1,1993,534,4800,"*",4400,"*"
1,1994,534,5300,"*",11600,"*"
1,1995,534,5000,"*",13200,"*"
1,1996,534,4900,"*",14100,"*"
1,1997,534,3100,"*",10600,"*"
1,1998,534,2800,"*",16600,"*"
1,1999,534,2839," ",11536," "
1,2000,534,3267," ",26800," "
1,2001,534,3200," ",16000," "
1,2002,534,3220," ",10500," "
1,2003,534,3500,"*",9500,"*"
1,2004,534,5200,"*",11400,"*"
1,2005,534,5400,"*",25500,"*"
1,2006,534,5700,"*",40000,"*"
1,2007,534,4532," ",63868," "
1,2008,534,4269," ",41651," "
1,2009,534,4283," ",57883," "
1,2010,534,4317," ",23805," "
1,2011,534,4509," ",43824," "
2,1961,534,1810,"F",12000,"*"
2,1962,534,1810,"F",12000,"F"
2,1963,534,1810,"F",12000,"F"
2,1964,534,1920,"F",14700,"F"
2,1965,534,2020,"F",16300,"F"
2,1966,534,2230,"F",18200,"F"
2,1967,534,2490,"F",22100,"F"
2,1968,534,2440,"F",22300,"F"
2,1969,534,2480,"F",22500,"F"
2,1970,534,2500,"F",21800,"F"
2,1971,534,2500,"F",17200,"F"
2,1972,534,2570,"F",21300,"F"
2,1973,534,2620,"F",22100,"F"
2,1974,534,2660,"F",22300,"F"
2,1975,534,2670,"F",22300,"F"
2,1976,534,2670,"F",20900,"F"
2,1977,534,2680,"F",12400,"F"
2,1978,534,2650,"F",18100,"F"
2,1979,534,2570,"F",17300,"F"
2,1980,534,2570,"F",17900,"F"
2,1981,534,2520,"F",17700,"F"
2,1982,534,2420,"F",17100,"F"
2,1983,534,2320,"F",16600,"F"
2,1984,534,2230,"F",16000,"F"
2,1985,534,2170,"F",15300,"F"
2,1986,534,2110,"F",15500,"F"
2,1987,534,1820,"F",13300,"F"
2,1988,534,1900,"F",13500,"F"
2,1989,534,1910,"F",13600,"F"
2,1990,534,1931,"E",13574,"E"
2,1991,534,1928,"E",13611,"E"
2,1992,534,2090,"E",13800,"F"
2,1993,534,1900,"F",13500,"F"
2,1994,534,1910,"F",13700,"F"
2,1995,534,1920,"F",14000,"F"
2,1996,534,2044,"E",14734,"E"
2,1997,534,2427,"E",16171,"E"
2,1998,534,2614,"E",18485,"E"
2,1999,534,2930,"E",20618,"E"
2,2000,534,3332,"E",21451,"E"
2,2001,534,3508,"E",24432,"E"
2,2002,534,3541,"E",24005,"E"
2,2003,534,2611," ",18200,"F"
2,2004,534,2400,"F",16800,"F"
2,2005,534,2300,"F",16100,"F"
2,2006,534,2100,"F",14700,"F"
2,2007,534,1920," ",13622," "
2,2008,534,1920," ",24960," "
2,2009,534,1675," ",16752," "
2,2010,534,1675," ",13400," "
2,2011,534,1877," ",15016," "
3,1961,534,0,"M",2000,"F"
3,1962,534,0,"M",1000,"F"
3,1963,534,0,"M",900,"F"
3,1964,534,0,"M",900,"F"
3,1965,534,0,"M",900,"F"
3,1966,534,0,"M",10000,"F"
3,1967,534,0,"M",900,"F"
3,1968,534,0,"M",1000,"F"
3,1969,534,0,"M",1500,"F"
3,1970,534,0,"M",2000,"F"
3,1971,534,0,"M",2000,"F"
3,1972,534,0,"M",2000,"F"
3,1973,534,0,"M",2000,"F"
3,1974,534,0,"M",3000,"F"
3,1975,534,0,"M",3000,"F"
3,1976,534,0,"M",4000,"F"
3,1977,534,0,"M",4000,"F"
3,1978,534,0,"M",5000,"F"
3,1979,534,0,"M",5000,"F"
3,1980,534,0,"M",4700," "
3,1981,534,0,"M",3700,"F"
3,1982,534,0,"M",3500,"F"
3,1983,534,0,"M",3300,"F"
3,1984,534,0,"M",3000,"F"
3,1985,534,1000,"F",2600,"F"
3,1986,534,1000,"F",4900,"F"
3,1987,534,1000,"F",3900,"F"
3,1988,534,1000,"F",3900,"F"
3,1989,534,1000,"F",4800,"F"
3,1990,534,731,"E",4300,"F"
3,1991,534,712,"E",2900,"F"
3,1992,534,713,"E",2140,"E"
3,1993,534,724,"E",3000,"F"
3,1994,534,729,"E",2500,"F"
3,1995,534,723,"E",2000,"F"
3,1996,534,701,"E",1600," "
3,1997,534,220," ",1800," "
3,1998,534,230," ",2000," "
3,1999,534,230," ",2000," "
3,2000,534,230," ",2000," "
3,2001,534,360," ",6100," "
3,2002,534,400," ",4000," "
3,2003,534,520," ",4400," "
3,2004,534,600," ",4800," "
3,2005,534,680," ",5600," "
