"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,521,0,"M",0," "
1,1962,521,0,"M",0," "
1,1963,521,0,"M",0," "
1,1964,521,0,"M",0," "
1,1965,521,0,"M",0," "
1,1966,521,0,"M",0," "
1,1967,521,0,"M",0," "
1,1968,521,0,"M",0," "
1,1969,521,0,"M",0," "
1,1970,521,0,"M",0," "
1,1971,521,0,"M",0," "
1,1972,521,0,"M",0," "
1,1973,521,0,"M",0," "
1,1974,521,0,"M",0," "
1,1975,521,0,"M",0," "
1,1976,521,0,"M",0," "
1,1977,521,0,"M",0," "
1,1978,521,0,"M",0," "
1,1979,521,0,"M",0," "
1,1980,521,0,"M",0," "
1,1981,521,0,"M",0," "
1,1982,521,0,"M",0," "
1,1983,521,0,"M",0," "
1,1984,521,0,"M",0," "
1,1985,521,0,"M",0," "
1,1986,521,0,"M",0," "
1,1987,521,0,"M",0," "
1,1988,521,0,"M",0," "
1,1989,521,0,"M",0," "
1,1990,521,2000,"F",8000,"*"
1,1991,521,2000,"F",8000,"*"
1,1992,521,6100,"*",17200,"*"
1,1993,521,5900,"*",6300,"*"
1,1994,521,6600,"*",16500,"*"
1,1995,521,6500,"*",18900,"*"
1,1996,521,5500,"*",20100,"*"
1,1997,521,4500,"*",15100,"*"
1,1998,521,3700,"*",16800,"*"
1,1999,521,4093," ",16465," "
1,2000,521,4171," ",16261," "
1,2001,521,3960," ",9780," "
1,2002,521,2915," ",8960," "
1,2003,521,2700,"*",19900,"*"
1,2004,521,3500,"*",21270,"*"
1,2005,521,3700,"*",30000,"*"
1,2006,521,3600,"*",34000,"*"
1,2007,521,2905," ",27106," "
1,2008,521,2727," ",29322," "
1,2009,521,2756," ",28247," "
1,2010,521,2788," ",16575," "
1,2011,521,2729," ",23039," "
2,1961,521,300,"F",2000,"F"
2,1962,521,300,"F",2000,"F"
2,1963,521,300,"F",2000,"F"
2,1964,521,320,"F",2400,"F"
2,1965,521,340,"F",2700,"F"
2,1966,521,370,"F",3000,"F"
2,1967,521,420,"F",3700,"F"
2,1968,521,410,"F",3700,"F"
2,1969,521,420,"F",3700,"F"
2,1970,521,420,"F",3600,"F"
2,1971,521,420,"F",2900,"F"
2,1972,521,430,"F",3500,"F"
2,1973,521,440,"F",3700,"F"
2,1974,521,440,"F",3700,"F"
2,1975,521,450,"F",3700,"F"
2,1976,521,450,"F",3500,"F"
2,1977,521,450,"F",2100,"F"
2,1978,521,440,"F",3000,"F"
2,1979,521,430,"F",2900,"F"
2,1980,521,430,"F",3000,"F"
2,1981,521,420,"F",2900,"F"
2,1982,521,400,"F",2800,"F"
2,1983,521,390,"F",2800,"F"
2,1984,521,370,"F",2700,"F"
2,1985,521,360,"F",2500,"F"
2,1986,521,350,"F",2600,"F"
2,1987,521,300,"F",2200,"F"
2,1988,521,320,"F",2200,"F"
2,1989,521,320,"F",2300,"F"
2,1990,521,323,"E",2296,"E"
2,1991,521,322,"E",2302,"E"
2,1992,521,325,"E",2081,"E"
2,1993,521,316,"E",2051,"E"
2,1994,521,319,"E",2073,"E"
2,1995,521,326,"E",2115,"E"
2,1996,521,328,"E",2239,"E"
2,1997,521,330,"E",2303,"E"
2,1998,521,311,"E",2228,"E"
2,1999,521,301,"E",2198,"E"
2,2000,521,297,"E",2398,"E"
2,2001,521,286,"E",2389,"E"
2,2002,521,291,"E",2367,"E"
2,2003,521,435," ",2255,"E"
2,2004,521,256," ",2262,"E"
2,2005,521,305," ",2382,"E"
2,2006,521,350," ",3540," "
2,2007,521,350," ",2145," "
2,2008,521,350," ",3500," "
2,2009,521,225," ",3000,"F"
2,2010,521,220," ",2900,"F"
2,2011,521,225," ",3000,"F"
3,1961,521,0,"M",4500,"F"
3,1962,521,0,"M",4000,"F"
3,1963,521,0,"M",3900,"F"
3,1964,521,0,"M",3800,"F"
3,1965,521,0,"M",3800,"F"
3,1966,521,0,"M",3800,"F"
3,1967,521,0,"M",3500,"F"
3,1968,521,0,"M",3800,"F"
3,1969,521,0,"M",4000,"F"
3,1970,521,0,"M",4500,"F"
3,1971,521,0,"M",4500,"F"
3,1972,521,0,"M",4600,"F"
3,1973,521,0,"M",4600,"F"
3,1974,521,0,"M",5000,"F"
3,1975,521,0,"M",5000,"F"
3,1976,521,0,"M",5500,"F"
3,1977,521,0,"M",5500,"F"
3,1978,521,0,"M",6000,"F"
3,1979,521,0,"M",6000,"F"
3,1980,521,0,"M",5700," "
3,1981,521,0,"M",6600,"F"
