"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,187,0," ",0," "
1,1962,187,0," ",0," "
1,1963,187,0," ",0," "
1,1964,187,0," ",0," "
1,1965,187,0," ",0," "
1,1966,187,0," ",0," "
1,1967,187,0," ",0," "
1,1968,187,0," ",0," "
1,1969,187,0," ",0," "
1,1970,187,0," ",0," "
1,1971,187,0," ",0," "
1,1972,187,0," ",0," "
1,1973,187,0," ",0," "
1,1974,187,0," ",0," "
1,1975,187,0," ",0," "
1,1976,187,0," ",0," "
1,1977,187,0," ",0," "
1,1978,187,0," ",0," "
1,1979,187,0," ",0," "
1,1980,187,0," ",0," "
1,1981,187,0," ",0," "
1,1982,187,0," ",0," "
1,1983,187,0," ",0," "
1,1984,187,0," ",0," "
1,1985,187,0," ",0," "
1,1986,187,0," ",0," "
1,1987,187,0," ",0," "
1,1988,187,0," ",0," "
1,1989,187,0," ",0," "
1,1990,187,99," ",87," "
1,1991,187,32," ",20," "
1,1992,187,28," ",22," "
1,1993,187,35," ",27," "
1,1994,187,35,"*",30,"*"
1,1995,187,40,"*",30,"*"
1,1996,187,25," ",27," "
1,1997,187,30,"*",30,"*"
1,1998,187,40,"*",25,"*"
1,1999,187,105," ",89," "
1,2000,187,22," ",22," "
1,2001,187,26," ",27," "
1,2002,187,25," ",48," "
1,2003,187,41," ",81," "
1,2004,187,116," ",149," "
1,2005,187,91," ",166," "
1,2006,187,118," ",127," "
1,2007,187,31," ",78," "
1,2008,187,59," ",125," "
1,2009,187,71," ",124," "
1,2010,187,76," ",164," "
1,2011,187,44," ",114," "
4,1961,187,5807," ",3020," "
4,1962,187,6000," ",3800," "
4,1963,187,6000," ",4200," "
4,1964,187,5720," ",3422," "
4,1965,187,5690," ",2645," "
4,1966,187,4170," ",2356," "
4,1967,187,4070," ",2263," "
4,1968,187,4580," ",2099," "
4,1969,187,3980," ",1594," "
4,1970,187,5890," ",2017," "
4,1971,187,6060," ",2704," "
4,1972,187,5660," ",2226," "
4,1973,187,5390," ",2363," "
4,1974,187,5950," ",2681," "
4,1975,187,5990," ",3779," "
4,1976,187,5460," ",3525," "
4,1977,187,6000," ",2930," "
4,1978,187,7960," ",3709," "
4,1979,187,8440," ",3122," "
4,1980,187,9440," ",2921," "
4,1981,187,8870," ",3074," "
4,1982,187,6680," ",1314," "
4,1983,187,16840," ",1916," "
4,1984,187,13710," ",3060," "
4,1985,187,16860," ",6043," "
4,1986,187,16960," ",6565," "
4,1987,187,18500," ",4980," "
4,1988,187,15000," ",1868," "
4,1989,187,8110," ",2305," "
4,1990,187,7440," ",2246," "
4,1991,187,8910," ",4719," "
4,1992,187,9420," ",4347," "
4,1993,187,9160," ",1483," "
4,1994,187,11940," ",2819," "
4,1995,187,13710," ",3411," "
4,1996,187,8220," ",4662," "
4,1997,187,8180," ",1295," "
4,1998,187,7790," ",3548," "
4,1999,187,6460," ",3004," "
4,2000,187,7170," ",1593," "
4,2001,187,6570," ",3674," "
4,2002,187,7070," ",4304," "
4,2003,187,8680," ",6342," "
4,2004,187,9328," ",7371," "
4,2005,187,8299," ",5339," "
4,2006,187,9157," ",5381," "
4,2007,187,9184," ",6243," "
4,2008,187,7556," ",3618," "
4,2009,187,8487," ",5969," "
4,2010,187,8865," ",6613," "
4,2011,187,9943," ",7435," "
9,1961,187,19056," ",19900," "
9,1962,187,22471," ",28000," "
9,1963,187,19350," ",27400," "
9,1964,187,16025," ",16800," "
9,1965,187,20355," ",34950," "
9,1966,187,19832," ",32950," "
9,1967,187,17743," ",20000," "
9,1968,187,12340," ",10000," "
9,1969,187,18360," ",21600," "
9,1970,187,19450," ",18100," "
9,1971,187,20730," ",16800," "
9,1972,187,14950," ",12000," "
9,1973,187,13040," ",12600," "
9,1974,187,13320," ",16100," "
9,1975,187,14600," ",19300," "
9,1976,187,18124," ",36300," "
9,1977,187,19900," ",30000," "
9,1978,187,42000," ",46000," "
9,1979,187,15500," ",12000," "
9,1980,187,18700," ",18600," "
9,1981,187,14360," ",14450," "
9,1982,187,8500," ",8750," "
9,1983,187,8300," ",13000," "
9,1984,187,7750," ",7600," "
9,1985,187,10278," ",12900," "
9,1986,187,6600," ",7300," "
9,1987,187,8700," ",10200," "
9,1988,187,16000," ",26100," "
9,1989,187,15500," ",20000," "
9,1990,187,20000," ",15000," "
9,1991,187,17200," ",33200," "
9,1992,187,18200," ",36000," "
9,1993,187,19400," ",38600," "
9,1994,187,17500," ",39000," "
9,1995,187,16500,"F",22100," "
9,1996,187,19000,"F",30000," "
9,1997,187,29000,"F",38000," "
9,1998,187,25000,"F",35000," "
9,1999,187,20000,"F",23000," "
9,2000,187,10000,"F",11200," "
9,2001,187,15000,"F",20000," "
9,2002,187,18000,"F",22000,"F"
9,2003,187,20000,"F",24000,"F"
9,2004,187,25000,"F",28000,"F"
9,2005,187,32000,"F",36000,"F"
9,2006,187,46000,"F",55000,"F"
9,2007,187,42000,"F",50000,"F"
9,2008,187,42000,"F",50000,"F"
9,2009,187,46260,"E",47677,"E"
9,2010,187,48000,"F",65000,"F"
9,2011,187,48500,"F",70000,"F"
10,1961,187,23066," ",21187," "
10,1962,187,22662," ",22270," "
10,1963,187,19425," ",20920," "
10,1964,187,19020," ",20764," "
10,1965,187,21448," ",13576," "
10,1966,187,23361," ",19070," "
10,1967,187,20638," ",8626," "
10,1968,187,23142," ",24044," "
10,1969,187,31326," ",26550," "
10,1970,187,32211," ",33130," "
10,1971,187,36187," ",38979," "
10,1972,187,22645," ",15315," "
10,1973,187,18558," ",18425," "
10,1974,187,18392," ",20130," "
10,1975,187,17923," ",18331," "
10,1976,187,17755," ",14880," "
10,1977,187,29400," ",15058," "
10,1978,187,34889," ",43883," "
10,1979,187,47063," ",53515," "
10,1980,187,57407," ",66334," "
10,1981,187,88653," ",110486," "
10,1982,187,25363," ",33158," "
10,1983,187,92500," ",133400," "
10,1984,187,139552," ",164088," "
10,1985,187,208000," ",240687," "
10,1986,187,313577," ",512631," "
10,1987,187,442104," ",486840," "
10,1988,187,456447," ",517344," "
10,1989,187,330197," ",389416," "
10,1990,187,318035," ",318068," "
10,1991,187,426534," ",472571," "
