"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,417,0," ",0," "
1,1962,417,0," ",0," "
1,1963,417,0," ",0," "
1,1964,417,0," ",0," "
1,1965,417,0," ",0," "
1,1966,417,0," ",0," "
1,1967,417,0," ",0," "
1,1968,417,0," ",0," "
1,1969,417,0," ",0," "
1,1970,417,0," ",0," "
1,1971,417,0," ",0," "
1,1972,417,0," ",0," "
1,1973,417,0," ",0," "
1,1974,417,0," ",0," "
1,1975,417,0," ",0," "
1,1976,417,0," ",0," "
1,1977,417,0," ",0," "
1,1978,417,0," ",0," "
1,1979,417,0," ",0," "
1,1980,417,0," ",0," "
1,1981,417,0," ",0," "
1,1982,417,0," ",0," "
1,1983,417,0," ",0," "
1,1984,417,0," ",0," "
1,1985,417,0," ",0," "
1,1986,417,0," ",0," "
1,1987,417,0," ",0," "
1,1988,417,500,"*",1000,"*"
1,1989,417,500,"*",2000,"*"
1,1990,417,600,"*",1000,"*"
1,1991,417,1100,"*",3000,"*"
1,1992,417,400,"*",3000,"*"
1,1993,417,300,"*",2500,"*"
1,1994,417,250,"*",2000,"*"
1,1995,417,200,"*",1500,"*"
1,1996,417,200,"*",1200,"*"
1,1997,417,150,"*",1000,"*"
1,1998,417,120,"*",800,"*"
1,1999,417,40," ",150," "
1,2000,417,175," ",1228," "
1,2001,417,200," ",730," "
1,2002,417,192," ",622," "
1,2003,417,84," ",274," "
1,2004,417,45," ",296," "
1,2005,417,70," ",619," "
1,2006,417,69," ",796," "
1,2007,417,100," ",437," "
1,2008,417,76," ",284," "
1,2009,417,72," ",334.6," "
1,2010,417,68," ",163," "
1,2011,417,145," ",534," "
3,1961,417,0,"M",0,"M"
3,1962,417,0,"M",0,"M"
3,1963,417,0,"M",0,"M"
3,1964,417,0,"M",0,"M"
3,1965,417,0,"M",0,"M"
3,1966,417,0,"M",0,"M"
3,1967,417,0,"M",0,"M"
3,1968,417,0,"M",0,"M"
3,1969,417,0,"M",0,"M"
3,1970,417,0,"M",0,"M"
3,1971,417,0,"M",0,"M"
3,1972,417,0,"M",0,"M"
3,1973,417,0,"M",0,"M"
3,1974,417,0,"M",0,"M"
3,1975,417,0,"M",0,"M"
3,1976,417,0,"M",0,"M"
3,1977,417,0,"M",0,"M"
3,1978,417,0,"M",0,"M"
3,1979,417,0,"M",0,"M"
3,1980,417,0,"M",0,"M"
3,1981,417,0,"M",0,"M"
3,1982,417,0,"M",0,"M"
3,1983,417,0,"M",0,"M"
3,1984,417,0,"M",0,"M"
3,1985,417,0,"M",0,"M"
3,1986,417,0,"M",0,"M"
3,1987,417,0,"M",0,"M"
3,1988,417,0,"M",0,"M"
3,1989,417,0,"M",0,"M"
3,1990,417,0,"M",0,"M"
3,1991,417,0,"M",0,"M"
3,1992,417,0,"M",0,"M"
3,1993,417,0,"M",0,"M"
3,1994,417,0,"M",0,"M"
3,1995,417,0,"M",0,"M"
3,1996,417,0,"M",0,"M"
3,1997,417,0,"M",0,"M"
3,1998,417,0,"M",0,"M"
3,1999,417,0,"M",0,"M"
3,2000,417,0,"M",0,"M"
3,2001,417,0,"M",0,"M"
3,2002,417,0,"M",0,"M"
3,2003,417,0,"M",0,"M"
3,2004,417,0,"M",0,"M"
3,2005,417,0,"M",0,"M"
3,2006,417,86," ",1914," "
3,2007,417,100,"F",2000," "
3,2008,417,325," ",2430," "
3,2009,417,281," ",2572," "
3,2010,417,347," ",3071," "
3,2011,417,300," ",3000," "
4,1961,417,0," ",0," "
4,1962,417,0," ",0," "
4,1963,417,0," ",0," "
4,1964,417,0," ",0," "
4,1965,417,0," ",0," "
4,1966,417,0," ",0," "
4,1967,417,0," ",0," "
4,1968,417,0," ",0," "
4,1969,417,0," ",0," "
4,1970,417,0," ",0," "
4,1971,417,0," ",0," "
4,1972,417,0," ",0," "
4,1973,417,0," ",0," "
4,1974,417,800,"F",1000,"F"
4,1975,417,1500,"F",2000,"F"
4,1976,417,3000,"F",4000,"F"
4,1977,417,4400,"F",7000,"F"
4,1978,417,6000,"F",10000,"F"
4,1979,417,8000,"F",14000,"F"
4,1980,417,10800,"F",18000,"F"
4,1981,417,11540," ",22100," "
4,1982,417,10280," ",13200," "
4,1983,417,9850," ",16025," "
4,1984,417,12240," ",24624," "
4,1985,417,12800," ",30158," "
4,1986,417,15920," ",36260," "
4,1987,417,16870," ",33708," "
4,1988,417,15370," ",25840," "
4,1989,417,14680," ",27044," "
4,1990,417,10000,"F",23722," "
4,1991,417,16830," ",42675," "
4,1992,417,19210," ",47296," "
4,1993,417,20880," ",42136," "
4,1994,417,19220," ",38659," "
4,1995,417,17240," ",41612," "
4,1996,417,16710," ",44995," "
4,1997,417,14620," ",29362," "
4,1998,417,16780," ",46569," "
4,1999,417,16340," ",45399," "
4,2000,417,18720," ",47389," "
4,2001,417,21200," ",63290," "
4,2002,417,23270," ",65592," "
4,2003,417,23850," ",81992," "
4,2004,417,24917," ",98496," "
4,2005,417,24223," ",109700," "
4,2006,417,25824," ",81501," "
4,2007,417,23471," ",74831," "
4,2008,417,26738," ",83088," "
4,2009,417,28724," ",102971," "
4,2010,417,31109," ",125122," "
4,2011,417,32641," ",127680," "
9,1961,417,11797," ",41200," "
9,1962,417,11336," ",41800," "
9,1963,417,9733," ",32700," "
9,1964,417,11712," ",42900," "
9,1965,417,13716," ",47200," "
9,1966,417,13692," ",41900," "
9,1967,417,9850," ",31300," "
9,1968,417,10550," ",31500," "
9,1969,417,10350," ",30000," "
9,1970,417,11500," ",34000," "
9,1971,417,12120," ",31200," "
9,1972,417,12100," ",32800," "
9,1973,417,12070," ",31400," "
9,1974,417,13740," ",34200," "
9,1975,417,20770," ",84100," "
9,1976,417,21250," ",51300," "
9,1977,417,16100," ",34000," "
9,1978,417,16000," ",35000," "
9,1979,417,13800," ",49000," "
9,1980,417,11000," ",35600," "
9,1981,417,8900," ",27800," "
9,1982,417,8845," ",28700," "
9,1983,417,6900," ",24100," "
9,1984,417,9689," ",22500," "
9,1985,417,9756," ",23300," "
9,1986,417,8300," ",19600," "
9,1987,417,7710," ",22507," "
9,1988,417,10000,"F",25000,"F"
9,1989,417,8500,"F",20000,"F"
9,1990,417,10000,"F",23000,"F"
