"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
10,1961,587,0,"M",0," "
10,1962,587,0,"M",0," "
10,1963,587,0,"M",0," "
10,1964,587,0,"M",0," "
10,1965,587,0,"M",0," "
10,1966,587,0,"M",0," "
10,1967,587,0,"M",0," "
10,1968,587,0,"M",0," "
10,1969,587,0,"M",0," "
10,1970,587,0,"M",0," "
10,1971,587,0,"M",0," "
10,1972,587,0,"M",0," "
10,1973,587,0,"M",0," "
10,1974,587,0,"M",0," "
10,1975,587,0,"M",0," "
10,1976,587,0,"M",0," "
10,1977,587,0,"M",0," "
10,1978,587,0,"M",0," "
10,1979,587,0,"M",0," "
10,1980,587,0,"M",0," "
10,1981,587,0,"M",0," "
10,1982,587,0,"M",0," "
10,1983,587,10,"F",82," "
10,1984,587,15,"F",125," "
10,1985,587,30,"F",216," "
10,1986,587,30,"F",211," "
10,1987,587,30,"F",233," "
10,1988,587,30,"F",230,"F"
10,1989,587,30,"F",232," "
10,1990,587,42,"F",329," "
10,1991,587,60,"F",480," "
10,1992,587,62,"E",510," "
10,1993,587,70,"F",640,"F"
10,1994,587,72,"E",657,"E"
10,1995,587,73,"E",598,"E"
10,1996,587,75,"F",650,"F"
10,1997,587,81,"E",658,"E"
10,1998,587,86,"E",681,"E"
10,1999,587,100,"E",718,"E"
10,2000,587,113,"E",759,"E"
10,2001,587,131,"E",856,"E"
10,2002,587,139,"E",866,"E"
10,2003,587,137,"E",836,"E"
10,2004,587,142,"E",881,"E"
10,2005,587,144,"E",943,"E"
10,2006,587,80,"F",700,"F"
10,2007,587,82,"F",715,"F"
10,2008,587,85,"F",720,"F"
10,2009,587,88,"E",686,"E"
10,2010,587,85,"E",666,"E"
10,2011,587,87,"E",642,"E"
21,1961,587,2500,"F",15298," "
21,1962,587,2600,"F",16005," "
21,1963,587,2700,"F",16239," "
21,1964,587,2800,"F",17198," "
21,1965,587,3185," ",19988," "
21,1966,587,3286," ",19586," "
21,1967,587,3181," ",20037," "
21,1968,587,3297," ",20427," "
21,1969,587,3419," ",20849," "
21,1970,587,3444," ",21659," "
21,1971,587,3700,"F",21558," "
21,1972,587,4400,"F",25188," "
21,1973,587,3450," ",19374," "
21,1974,587,3475," ",20446," "
21,1975,587,3551," ",22114," "
21,1976,587,3537," ",22364," "
21,1977,587,3599," ",23801," "
21,1978,587,3997," ",36340," "
21,1979,587,3977," ",40385," "
21,1980,587,4051," ",39958," "
21,1981,587,3455," ",37598," "
21,1982,587,3498," ",38396," "
21,1983,587,3556," ",45298," "
21,1984,587,3496," ",41915," "
21,1985,587,3692," ",43658," "
21,1986,587,3781," ",43488," "
21,1987,587,3764," ",45000,"F"
21,1988,587,3804," ",45745," "
21,1989,587,3949," ",46836," "
21,1990,587,3960," ",46712," "
21,1991,587,4059," ",47662," "
21,1992,587,4048," ",46611," "
21,1993,587,4337," ",48086," "
21,1994,587,4605," ",55406," "
21,1995,587,4819," ",51685," "
21,1996,587,5152," ",52534," "
21,1997,587,5168," ",52198," "
21,1998,587,5524," ",60423," "
21,1999,587,5820," ",64096," "
21,2000,587,6230," ",63300," "
21,2001,587,6900," ",105000,"F"
21,2002,587,6958," ",141364," "
21,2003,587,7472," ",158131," "
21,2004,587,8112," ",162288," "
21,2005,587,8309," ",164849," "
21,2006,587,8534," ",168274," "
21,2007,587,8065," ",159851," "
21,2008,587,8797," ",173297," "
21,2009,587,8638," ",171555," "
21,2010,587,8755," ",167215," "
21,2011,587,8349," ",154625," "
41,1961,587,76000,"F",495000,"F"
41,1962,587,80000,"F",440000,"F"
41,1963,587,80000,"F",475000,"F"
41,1964,587,90000,"F",465000,"F"
41,1965,587,1e+05,"F",515000,"F"
41,1966,587,130000,"F",495000,"F"
41,1967,587,135000,"F",475000,"F"
41,1968,587,155000,"F",470000,"F"
41,1969,587,120000,"F",414000,"F"
