"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
12,1961,197,290,"F",320,"F"
12,1962,197,320,"F",350,"F"
12,1963,197,340,"F",380,"F"
12,1964,197,350,"F",400,"F"
12,1965,197,380,"F",430,"F"
12,1966,197,400,"F",460,"F"
12,1967,197,405,"F",480,"F"
12,1968,197,410,"F",500,"F"
12,1969,197,415,"F",520,"F"
12,1970,197,420,"F",540,"F"
12,1971,197,427,"F",560,"F"
12,1972,197,436,"F",575,"F"
12,1973,197,441,"F",595,"F"
12,1974,197,449,"F",610,"F"
12,1975,197,453,"F",625,"F"
12,1976,197,445,"F",640,"F"
12,1977,197,448,"F",655,"F"
12,1978,197,373," ",459," "
12,1979,197,400,"F",490,"F"
12,1980,197,420,"F",520,"F"
12,1981,197,440,"F",550,"F"
12,1982,197,460,"F",580,"F"
12,1983,197,480,"F",620,"F"
12,1984,197,500,"F",640,"F"
12,1985,197,500,"F",650,"F"
12,1986,197,500,"F",650,"F"
12,1987,197,510,"F",660,"F"
12,1988,197,510,"F",660,"F"
12,1989,197,500,"F",630,"F"
12,1990,197,443,"E",600,"F"
12,1991,197,440,"F",500,"F"
12,1992,197,360,"F",400,"F"
12,1993,197,295,"F",300,"F"
12,1994,197,193," ",139," "
12,1995,197,195,"F",140,"F"
12,1996,197,222,"E",114,"E"
12,1997,197,192,"E",80,"E"
12,1998,197,196,"E",91,"E"
12,1999,197,177,"E",130,"F"
12,2000,197,170,"F",115," "
12,2001,197,160,"F",110,"F"
12,2002,197,170,"F",115,"F"
12,2003,197,175,"F",120,"F"
12,2004,197,180,"F",125,"F"
12,2005,197,146,"E",98,"E"
12,2006,197,190,"F",130,"F"
12,2007,197,200,"F",135,"F"
12,2008,197,213,"E",124,"E"
12,2009,197,241,"E",152,"E"
12,2010,197,128," ",172," "
12,2011,197,130," ",174," "
16,1961,197,5666," ",4064," "
16,1962,197,4047," ",3048," "
16,1963,197,3642," ",3048," "
16,1964,197,3642," ",3048," "
16,1965,197,3642," ",3048," "
16,1966,197,3642," ",3048," "
16,1967,197,3642," ",3048," "
16,1968,197,3642," ",3048," "
16,1969,197,3731," ",3050," "
16,1970,197,3327," ",2677," "
16,1971,197,3337," ",2684," "
16,1972,197,2916," ",2162," "
16,1973,197,2880," ",2083," "
16,1974,197,2947," ",2216," "
16,1975,197,5000,"F",3600,"F"
16,1976,197,8000,"F",5800,"F"
16,1977,197,10000,"F",7200,"F"
16,1978,197,15000,"*",11000,"F"
16,1979,197,9600,"F",7500,"F"
16,1980,197,9300,"F",7300,"F"
16,1981,197,9300,"F",7000,"F"
16,1982,197,9600,"F",7000,"F"
16,1983,197,7200,"F",5700,"F"
16,1984,197,7200," ",5700," "
16,1985,197,7100," ",5400," "
16,1986,197,5906," ",4341," "
16,1987,197,5634," ",4143," "
16,1988,197,5561," ",3857," "
16,1989,197,5762," ",3335," "
16,1990,197,5406," ",3195," "
16,1991,197,5376," ",2915," "
16,1992,197,5803," ",2935," "
16,1993,197,5781," ",2840," "
16,1994,197,6000," ",3000," "
16,1995,197,6000," ",3000," "
16,1996,197,6000," ",3000," "
16,1997,197,6100," ",3000," "
16,1998,197,6100," ",3000," "
16,1999,197,5260," ",3000," "
16,2000,197,5260," ",3000," "
16,2001,197,4047," ",2000," "
16,2002,197,4047," ",2000," "
16,2003,197,4047," ",2000," "
16,2004,197,3237," ",2000," "
16,2005,197,2110," ",1005," "
16,2006,197,1748," ",1015," "
16,2007,197,1503," ",1445," "
16,2008,197,1213," ",1140," "
16,2009,197,908," ",841," "
16,2010,197,811," ",772," "
16,2011,197,732," ",676," "
