"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
5,1961,574,,,199," "
5,1962,574,,,120,"F"
5,1963,574,,,61," "
5,1964,574,,,71," "
5,1965,574,,,60,"F"
5,1966,574,,,50,"F"
5,1967,574,,,40,"F"
5,1968,574,,,30,"F"
5,1969,574,,,20," "
5,1970,574,,,30,"F"
5,1971,574,,,40,"F"
5,1972,574,,,50,"F"
5,1973,574,,,60,"F"
5,1974,574,,,70,"F"
5,1975,574,,,75," "
5,1976,574,,,60,"F"
5,1977,574,,,45,"F"
5,1978,574,,,30,"F"
5,1979,574,,,20," "
5,1980,574,,,20,"F"
5,1981,574,,,20,"F"
5,1982,574,,,20,"F"
5,1983,574,,,20,"F"
5,1984,574,,,20,"F"
5,1985,574,,,20,"F"
5,1986,574,,,20,"F"
5,1987,574,,,20,"F"
5,1988,574,,,20,"F"
5,1989,574,,,20,"F"
5,1990,574,,,30," "
5,1991,574,,,50,"F"
5,1992,574,,,100,"F"
5,1993,574,,,150,"F"
5,1994,574,,,200,"F"
5,1995,574,,,250,"F"
5,1996,574,,,233,"E"
5,1997,574,,,300,"F"
5,1998,574,,,339," "
5,1999,574,,,350,"F"
5,2000,574,,,371,"E"
5,2001,574,,,319,"E"
5,2002,574,,,317,"E"
5,2003,574,,,377," "
5,2004,574,,,380,"F"
5,2005,574,,,357,"E"
5,2006,574,,,336,"E"
5,2007,574,,,298,"E"
5,2008,574,,,335,"E"
5,2009,574,,,379,"E"
5,2010,574,,,368,"E"
5,2011,574,,,355,"E"
7,1961,574,1000,"F",10000,"F"
7,1962,574,1200,"F",12000,"F"
7,1963,574,1200,"F",12000,"F"
7,1964,574,1300,"F",13000,"F"
7,1965,574,1300,"F",13000,"F"
7,1966,574,1400,"F",14000,"F"
7,1967,574,1400,"F",14000,"F"
7,1968,574,1500,"F",15000,"F"
7,1969,574,1800,"F",18000,"F"
7,1970,574,1800,"F",18000,"F"
7,1971,574,2000,"F",20000,"F"
7,1972,574,2500,"F",25000,"F"
7,1973,574,2800,"F",28000,"F"
7,1974,574,3000,"F",30000,"F"
7,1975,574,3000,"F",30000,"F"
7,1976,574,3000,"F",30000,"F"
7,1977,574,3000,"F",32000,"F"
7,1978,574,3000,"F",32000,"F"
7,1979,574,3000,"F",35000,"F"
7,1980,574,3000,"F",36000,"F"
7,1981,574,3000,"F",35000,"F"
7,1982,574,3000,"F",35000,"F"
7,1983,574,3000,"F",36000,"F"
7,1984,574,3000,"F",35000,"F"
7,1985,574,3000,"F",33000,"F"
7,1986,574,3000,"F",34000,"F"
7,1987,574,3000,"F",35000,"F"
7,1988,574,3000,"F",35000,"F"
7,1989,574,3000,"F",34000,"F"
7,1990,574,3059,"E",32000,"F"
7,1991,574,3049,"E",34000,"F"
7,1992,574,3089,"E",35000,"F"
7,1993,574,3280,"E",34000,"F"
7,1994,574,3375,"E",36848,"E"
7,1995,574,2161,"E",36000,"F"
7,1996,574,2240,"E",38000,"F"
7,1997,574,1996,"E",36000,"F"
7,1998,574,1991,"E",38000,"F"
7,1999,574,2800,"F",32000,"F"
7,2000,574,3100,"F",39000,"F"
7,2001,574,3200,"F",40000,"F"
7,2002,574,3213,"E",40519,"E"
7,2003,574,3254,"E",40795,"E"
7,2004,574,3296,"E",41278,"E"
7,2005,574,4500,"F",50000,"F"
7,2006,574,6500,"F",75000,"F"
7,2007,574,7372," ",82361," "
7,2008,574,9594," ",95422," "
7,2009,574,25840," ",291943," "
7,2010,574,25881," ",313365," "
7,2011,574,27504," ",326352," "
8,1961,574,0,"M",0," "
8,1962,574,0,"M",0," "
8,1963,574,0,"M",0," "
8,1964,574,0,"M",0," "
8,1965,574,0,"M",0," "
8,1966,574,0,"M",2,"F"
8,1967,574,0,"M",2,"F"
8,1968,574,0,"M",3,"F"
8,1969,574,0,"M",5,"F"
8,1970,574,0,"M",7,"F"
8,1971,574,0,"M",9,"F"
8,1972,574,0,"M",11," "
8,1973,574,0,"M",8," "
8,1974,574,0,"M",9," "
8,1975,574,0,"M",11," "
8,1976,574,0,"M",40," "
8,1977,574,0,"M",26," "
8,1978,574,0,"M",111," "
8,1979,574,0,"M",107," "
8,1980,574,0,"M",96," "
8,1981,574,0,"M",131," "
8,1982,574,0,"M",185," "
8,1983,574,0,"M",181," "
8,1984,574,0,"M",182," "
8,1985,574,8,"F",93," "
8,1986,574,8,"F",100,"F"
8,1987,574,8,"F",105," "
8,1988,574,11,"F",126," "
8,1989,574,11,"F",130,"F"
8,1990,574,12,"F",150,"F"
