"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
2,1961,223,0," ",0," "
2,1962,223,0," ",0," "
2,1963,223,0," ",0," "
2,1964,223,0," ",0," "
2,1965,223,0," ",0," "
2,1966,223,0," ",0," "
2,1967,223,0," ",0," "
2,1968,223,0," ",0," "
2,1969,223,0," ",0," "
2,1970,223,0," ",0," "
2,1971,223,0," ",0," "
2,1972,223,0," ",0," "
2,1973,223,0," ",0," "
2,1974,223,0," ",0," "
2,1975,223,0,"F",0,"F"
2,1976,223,4650,"F",3700,"F"
2,1977,223,4700,"F",2700,"F"
2,1978,223,4700,"F",3800,"F"
2,1979,223,4600,"F",2000,"F"
2,1980,223,4500,"F",3200,"F"
2,1981,223,4400,"F",2600,"F"
2,1982,223,4300,"F",3200,"F"
2,1983,223,4200,"F",2500,"F"
2,1984,223,4000,"F",3000,"F"
2,1985,223,3700,"F",2200,"F"
2,1986,223,3400,"F",2600,"F"
2,1987,223,3100,"F",2000,"F"
2,1988,223,2900,"F",2200,"F"
2,1989,223,2800,"F",1700,"F"
2,1990,223,2700,"F",2000,"F"
2,1991,223,2826,"E",2000," "
2,1992,223,2700," ",2100," "
2,1993,223,2700," ",2200," "
2,1994,223,2700," ",2300," "
2,1995,223,2700," ",2400," "
2,1996,223,2700," ",2500," "
2,1997,223,2700," ",2600," "
2,1998,223,2700," ",2600," "
2,1999,223,2700," ",2800," "
2,2000,223,2700," ",2800," "
2,2001,223,2700," ",2800," "
2,2002,223,2700," ",2800," "
2,2003,223,3200," ",2200," "
2,2004,223,2000," ",2310," "
2,2005,223,2211," ",2457," "
2,2006,223,2211," ",2457," "
2,2007,223,2347," ",2800,"F"
2,2008,223,2900,"F",3300,"F"
2,2009,223,2000,"F",2200,"F"
2,2010,223,1800,"F",2000,"F"
2,2011,223,1800,"F",2000,"F"
10,1961,223,0,"M",0,"M"
10,1962,223,0,"M",0,"M"
10,1963,223,0,"M",0,"M"
10,1964,223,0,"M",0,"M"
10,1965,223,0,"M",0,"M"
10,1966,223,0,"M",0,"M"
10,1967,223,0,"M",0,"M"
10,1968,223,0,"M",0,"M"
10,1969,223,0,"M",0,"M"
10,1970,223,0,"M",0,"M"
10,1971,223,0,"M",0,"M"
10,1972,223,0,"M",0,"M"
10,1973,223,0,"M",0,"M"
10,1974,223,0,"M",0,"M"
10,1975,223,0,"M",0,"M"
10,1976,223,0,"M",0,"M"
10,1977,223,0,"M",0,"M"
10,1978,223,0,"M",0,"M"
10,1979,223,0,"M",0,"M"
10,1980,223,0,"M",0,"M"
10,1981,223,0,"M",0,"M"
10,1982,223,0,"M",0,"M"
10,1983,223,0,"M",0,"M"
10,1984,223,0,"M",0,"M"
10,1985,223,0,"M",0,"M"
10,1986,223,0,"M",0,"M"
10,1987,223,0,"M",0,"M"
10,1988,223,0,"M",0,"M"
