"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
12,1961,489,0,"M",0,"M"
12,1962,489,0,"M",0,"M"
12,1963,489,0,"M",0,"M"
12,1964,489,0,"M",0,"M"
12,1965,489,0,"M",0,"M"
12,1966,489,0,"M",0,"M"
12,1967,489,0,"M",0,"M"
12,1968,489,0,"M",0,"M"
12,1969,489,0,"M",0,"M"
12,1970,489,0,"M",0,"M"
12,1971,489,0,"M",0,"M"
12,1972,489,0,"M",0,"M"
12,1973,489,0,"M",0,"M"
12,1974,489,0,"M",0,"M"
12,1975,489,0,"M",0,"M"
12,1976,489,0,"M",0,"M"
12,1977,489,0,"M",0,"M"
12,1978,489,0,"M",0,"M"
12,1979,489,0,"M",0,"M"
12,1980,489,0,"M",0,"M"
12,1981,489,0,"M",0,"M"
12,1982,489,0,"M",0,"M"
12,1983,489,0,"M",0,"M"
12,1984,489,0,"M",0,"M"
12,1985,489,0,"M",0,"M"
12,1986,489,0,"M",0,"M"
12,1987,489,0,"M",0,"M"
12,1988,489,0,"M",0,"M"
12,1989,489,0,"M",0,"M"
12,1990,489,0,"M",0,"M"
12,1991,489,0,"M",0,"M"
12,1992,489,0,"M",0,"M"
12,1993,489,0,"M",0,"M"
12,1994,489,0,"M",0,"M"
12,1995,489,0,"M",0,"M"
12,1996,489,0,"M",0,"M"
12,1997,489,0,"M",0,"M"
12,1998,489,0,"M",0,"M"
12,1999,489,0,"M",0,"M"
12,2000,489,0,"M",0,"M"
12,2001,489,0,"M",0,"M"
12,2002,489,0,"M",0,"M"
12,2003,489,0,"M",0,"M"
12,2004,489,0,"M",0,"M"
12,2005,489,0,"M",0,"M"
12,2006,489,0,"M",0,"M"
12,2007,489,0,"M",0,"M"
12,2008,489,0,"M",0,"M"
12,2009,489,0,"M",0,"M"
12,2010,489,21," ",166," "
12,2011,489,22," ",172," "
19,1961,489,2000," ",33000," "
19,1962,489,3000," ",42000," "
19,1963,489,2000," ",50000," "
19,1964,489,4000," ",59000," "
19,1965,489,4000," ",66000," "
19,1966,489,4606," ",76000," "
19,1967,489,5296," ",87400," "
19,1968,489,5636," ",93000," "
19,1969,489,5900," ",97000," "
19,1970,489,6200," ",98500," "
19,1971,489,6500," ",104000," "
19,1972,489,6800," ",109000," "
19,1973,489,7400," ",116800," "
19,1974,489,7850," ",124550," "
19,1975,489,9425," ",140500," "
19,1976,489,9800," ",147000," "
19,1977,489,10200," ",153000," "
19,1978,489,11435," ",107610," "
19,1979,489,11000," ",112265," "
19,1980,489,12100," ",117710," "
19,1981,489,12330,"*",119700," "
19,1982,489,10710,"*",100420," "
19,1983,489,10850,"*",102450," "
19,1984,489,9021," ",109924,"*"
19,1985,489,14795," ",156514,"*"
19,1986,489,11634," ",105700,"*"
19,1987,489,10000,"*",1e+05,"*"
19,1988,489,17256," ",164665," "
19,1989,489,16601,"*",156278,"*"
19,1990,489,32300,"F",325000,"F"
19,1991,489,32308," ",325882," "
19,1992,489,32724," ",325825," "
19,1993,489,32323," ",308052," "
19,1994,489,34938," ",328515," "
19,1995,489,35497," ",339191," "
19,1996,489,36130," ",346206," "
19,1997,489,37458," ",366607," "
19,1998,489,37473," ",357065," "
19,1999,489,37476," ",365892," "
19,2000,489,37041," ",379170," "
19,2001,489,40109," ",396890," "
19,2002,489,41160," ",413175," "
19,2003,489,41732," ",423612," "
19,2004,489,41221," ",432818," "
19,2005,489,41792," ",443369," "
19,2006,489,41920," ",443819," "
19,2007,489,41991," ",445898," "
19,2008,489,42092," ",451204," "
19,2009,489,35555," ",328495," "
19,2010,489,36495," ",338901," "
19,2011,489,36516," ",336270," "
23,1961,489,0,"M",0,"M"
23,1962,489,0,"M",0,"M"
23,1963,489,0,"M",0,"M"
23,1964,489,0,"M",0,"M"
23,1965,489,0,"M",0,"M"
23,1966,489,0,"M",0,"M"
23,1967,489,0,"M",0,"M"
23,1968,489,0,"M",0,"M"
23,1969,489,0,"M",0,"M"
23,1970,489,0,"M",0,"M"
23,1971,489,0,"M",0,"M"
23,1972,489,0,"M",0,"M"
23,1973,489,0,"M",0,"M"
23,1974,489,0,"M",0,"M"
23,1975,489,0,"M",0,"M"
23,1976,489,0,"M",0,"M"
23,1977,489,0,"M",0,"M"
23,1978,489,0,"M",0,"M"
23,1979,489,0,"M",0,"M"
23,1980,489,0,"M",0,"M"
23,1981,489,0,"M",0,"M"
23,1982,489,0,"M",0,"M"
23,1983,489,0,"M",0,"M"
23,1984,489,0,"M",0,"M"
23,1985,489,0,"M",0,"M"
23,1986,489,0,"M",0,"M"
23,1987,489,0,"M",0,"M"
23,1988,489,0,"M",0,"M"
23,1989,489,115," ",2372," "
23,1990,489,81," ",1315," "
23,1991,489,141," ",3789," "
23,1992,489,227," ",8276," "
23,1993,489,272," ",10442," "
23,1994,489,222," ",9000,"F"
23,1995,489,590,"F",14844," "
23,1996,489,850,"F",21944," "
23,1997,489,289," ",3007," "
23,1998,489,346," ",3189," "
23,1999,489,258," ",6873," "
23,2000,489,728," ",36915," "
23,2001,489,812," ",26291," "
23,2002,489,750," ",17958," "
23,2003,489,628," ",12480," "
23,2004,489,725," ",16597," "
23,2005,489,370,"F",8504," "
23,2006,489,424," ",15118," "
23,2007,489,132," ",3007," "
23,2008,489,208," ",7326," "
23,2009,489,173," ",9599," "
23,2010,489,157,"*",3158,"*"
23,2011,489,170,"F",3689,"*"
28,1961,489,24281," ",92000,"F"
28,1962,489,26305," ",99086," "
28,1963,489,30352," ",120000,"F"
28,1964,489,31971," ",130000,"F"
28,1965,489,33589," ",147566," "
28,1966,489,34399," ",145441," "
28,1967,489,36827," ",155019," "
28,1968,489,37636," ",160452," "
28,1969,489,38041," ",163490," "
28,1970,489,38850," ",171502," "
28,1971,489,38850," ",171252," "
28,1972,489,38850," ",164547," "
28,1973,489,38850," ",161619," "
28,1974,489,39642," ",173532," "
28,1975,489,40672," ",174849," "
28,1976,489,43113," ",183849," "
28,1977,489,41593," ",208353," "
28,1978,489,42186," ",183105," "
28,1979,489,40389," ",174659," "
28,1980,489,39589," ",176590,"*"
28,1981,489,37767," ",170748," "
28,1982,489,38552," ",184617," "
28,1983,489,40488," ",206038," "
28,1984,489,39550," ",199703," "
28,1985,489,39428," ",203424," "
28,1986,489,40200," ",217602," "
28,1987,489,37325," ",215836," "
28,1988,489,38556," ",224062," "
28,1989,489,38933," ",230653," "
28,1990,489,43671," ",237756," "
28,1991,489,46031," ",259243," "
28,1992,489,43183," ",237477," "
28,1993,489,45908," ",274738," "
28,1994,489,45875," ",337605," "
28,1995,489,46130," ",343895," "
28,1996,489,44920," ",290272," "
28,1997,489,45300," ",336997," "
28,1998,489,45700," ",423000," "
28,1999,489,44500," ",418000," "
28,2000,489,45300," ",376000," "
28,2001,489,49400," ",462430," "
28,2002,489,52600," ",505150," "
28,2003,489,55444," ",552050," "
28,2004,489,59025," ",602100," "
28,2005,489,59100," ",543560," "
28,2006,489,61500," ",677980," "
28,2007,489,66400," ",795185," "
28,2008,489,66000," ",789000," "
28,2009,489,66929," ",769890," "
28,2010,489,68398," ",841813," "
28,2011,489,73951," ",954836," "
32,1961,489,95000,"F",524797," "
32,1962,489,120000,"F",661260," "
32,1963,489,120000,"F",696306," "
32,1964,489,166000,"F",964653," "
32,1965,489,106000,"F",585339," "
32,1966,489,112000,"F",641429," "
32,1967,489,140638," ",802233," "
32,1968,489,156873," ",796854," "
32,1969,489,150640," ",623119," "
32,1970,489,171461," ",695781," "
32,1971,489,184688," ",762898," "
32,1972,489,167516," ",840000," "
32,1973,489,187192," ",889128," "
32,1974,489,206525," ",1070534," "
32,1975,489,190000,"F",9e+05,"F"
32,1976,489,160000,"F",768000,"*"
32,1977,489,170000,"F",864000,"*"
32,1978,489,190000,"F",1100000,"*"
32,1979,489,190000,"F",1017000,"*"
32,1980,489,195000,"F",1020000,"F"
32,1981,489,195000,"F",1030000,"F"
32,1982,489,192000,"F",1e+06,"F"
32,1983,489,462478," ",1266215,"*"
32,1984,489,370000,"F",986875," "
32,1985,489,402000,"F",1237865," "
32,1986,489,430000,"F",1310136," "
32,1987,489,197000,"F",943774," "
32,1988,489,170000,"F",854011," "
32,1989,489,2e+05,"F",1136310," "
32,1990,489,170000,"F",869544," "
32,1991,489,180000,"F",958000,"*"
32,1992,489,190000,"F",1038000,"*"
32,1993,489,2e+05,"F",1120000,"*"
32,1994,489,220000,"F",1211158," "
32,1995,489,230000,"F",1250400," "
32,1996,489,232000,"F",1290000," "
32,1997,489,235000,"F",1326000," "
32,1998,489,2e+05,"F",1359150," "
32,1999,489,189333," ",1156860," "
32,2000,489,189773," ",1163740," "
32,2001,489,191247," ",1186959," "
32,2002,489,232483," ",1237010," "
32,2003,489,239458," ",1275362," "
32,2004,489,246642," ",1314898," "
32,2005,489,252453," ",2012548," "
32,2006,489,272406," ",2175434," "
32,2007,489,193836," ",2338036," "
32,2008,489,208387," ",2500639," "
32,2009,489,230545," ",2758953," "
32,2010,489,260301," ",3182184," "
32,2011,489,274342," ",3425757," "
36,1961,489,,,0," "
36,1962,489,,,0," "
36,1963,489,,,0," "
36,1964,489,,,0," "
36,1965,489,,,0," "
36,1966,489,,,0," "
36,1967,489,,,0," "
36,1968,489,,,0," "
36,1969,489,,,0," "
36,1970,489,,,0," "
36,1971,489,,,0," "
36,1972,489,,,0," "
36,1973,489,,,0," "
36,1974,489,,,0," "
36,1975,489,,,0," "
36,1976,489,,,0," "
36,1977,489,,,0," "
36,1978,489,,,12," "
36,1979,489,,,13," "
36,1980,489,,,15," "
36,1981,489,,,20," "
36,1982,489,,,21," "
36,1983,489,,,31," "
36,1984,489,,,11," "
36,1985,489,,,10," "
36,1986,489,,,15,"F"
36,1987,489,,,23," "
36,1988,489,,,16," "
36,1989,489,,,15," "
36,1990,489,,,21," "
36,1991,489,,,22,"F"
36,1992,489,,,28,"F"
36,1993,489,,,33," "
36,1994,489,,,41," "
36,1995,489,,,48," "
36,1996,489,,,29,"F"
36,1997,489,,,10," "
36,1998,489,,,28," "
36,1999,489,,,24," "
36,2000,489,,,21," "
36,2001,489,,,23,"E"
36,2002,489,,,20,"E"
36,2003,489,,,25,"E"
36,2004,489,,,20,"F"
36,2005,489,,,16,"E"
36,2006,489,,,19,"E"
36,2007,489,,,20,"E"
36,2008,489,,,15,"E"
36,2009,489,,,19,"E"
36,2010,489,,,20,"E"
36,2011,489,,,22,"E"
37,1961,489,18000,"F",48000,"F"
37,1962,489,18000,"F",48000,"F"
37,1963,489,18000,"F",48000,"F"
37,1964,489,18000,"F",49000,"F"
37,1965,489,18000,"F",49000,"F"
37,1966,489,20000," ",49000,"F"
37,1967,489,20000," ",50000,"F"
37,1968,489,20000," ",51000,"F"
37,1969,489,20000,"F",52000,"F"
37,1970,489,20000,"F",53000,"F"
37,1971,489,20000,"F",54000,"F"
37,1972,489,20000,"F",55000,"F"
37,1973,489,20000,"F",56500,"F"
37,1974,489,19427," ",57000,"F"
37,1975,489,19500,"F",58000,"F"
37,1976,489,19500,"F",60000,"F"
37,1977,489,20000,"F",61000,"F"
37,1978,489,19500,"F",60000,"F"
37,1979,489,19000," ",60000," "
37,1980,489,20000,"F",62000,"F"
37,1981,489,20000,"F",62000,"F"
37,1982,489,22000,"F",64000,"F"
37,1983,489,24000,"F",64000,"F"
37,1984,489,24000,"F",65000,"F"
37,1985,489,24000,"F",65000,"F"
37,1986,489,24000,"F",65000,"F"
37,1987,489,24000,"F",66000,"F"
37,1988,489,25000,"F",66000,"F"
37,1989,489,25000,"F",67000,"F"
37,1990,489,26000,"F",68000,"F"
37,1991,489,25876,"E",70000,"F"
37,1992,489,27000,"F",72000,"F"
37,1993,489,28438,"E",74000,"F"
37,1994,489,28000,"F",76000,"F"
37,1995,489,17451,"E",78000,"F"
37,1996,489,18168,"E",78410,"E"
37,1997,489,15284,"E",80000,"F"
37,1998,489,29000,"F",82000,"F"
37,1999,489,29150,"E",76221,"E"
37,2000,489,29453,"E",83000,"F"
37,2001,489,30028,"E",84886,"E"
37,2002,489,28000,"F",82000,"F"
37,2003,489,27000,"F",80000,"F"
37,2004,489,27446,"E",80990,"E"
37,2005,489,28000,"F",81000,"F"
37,2006,489,28228,"E",87313,"E"
37,2007,489,28200,"F",82000,"F"
37,2008,489,28243,"E",82125,"E"
37,2009,489,29000,"F",85000,"F"
37,2010,489,30000,"F",88000,"F"
37,2011,489,29500,"F",84000,"F"
38,1961,489,39502," ",334000," "
38,1962,489,39246," ",322097," "
38,1963,489,39000,"F",344000," "
38,1964,489,42000,"F",380000,"F"
38,1965,489,45000,"F",420000,"F"
38,1966,489,20825," ",454381," "
38,1967,489,24199," ",556969," "
38,1968,489,52903," ",409523," "
38,1969,489,44514," ",394972," "
38,1970,489,44199," ",372870," "
38,1971,489,48000,"F",440000,"F"
38,1972,489,49835," ",415741," "
38,1973,489,22843," ",429969," "
38,1974,489,28259," ",525795," "
38,1975,489,29366," ",806801," "
38,1976,489,33913," ",868875," "
38,1977,489,29606," ",806301," "
38,1978,489,29362," ",775414," "
38,1979,489,26920," ",1435472," "
38,1980,489,31143," ",1803104," "
38,1981,489,29600," ",1192992," "
38,1982,489,30307," ",934096," "
38,1983,489,30850," ",983504," "
38,1984,489,35880," ",799040," "
38,1985,489,35200," ",546480," "
38,1986,489,42866," ",662640," "
38,1987,489,39367," ",560304," "
38,1988,489,40884," ",579776," "
38,1989,489,41920," ",634128," "
38,1990,489,36700," ",515200," "
38,1991,489,38223," ",495552," "
38,1992,489,37687," ",497328," "
38,1993,489,40000,"F",545000,"F"
38,1994,489,42000,"F",575000,"F"
38,1995,489,44000,"F",580000,"F"
38,1996,489,46554," ",6e+05,"F"
38,1997,489,50450," ",545039,"E"
38,1998,489,51000,"F",610000,"F"
38,1999,489,52000,"F",615000,"F"
38,2000,489,51000,"F",610000,"F"
38,2001,489,50704,"E",679489,"E"
38,2002,489,50000,"F",590000,"F"
38,2003,489,49680," ",590153,"E"
38,2004,489,50380," ",540000," "
38,2005,489,51150," ",545280," "
38,2006,489,48860," ",504480," "
38,2007,489,49420," ",518720," "
38,2008,489,47680," ",529920," "
38,2009,489,48040," ",511680," "
38,2010,489,52380," ",572480," "
38,2011,489,53630," ",605440," "
44,1961,489,187400," ",1275000," "
44,1962,489,189200," ",1292000," "
44,1963,489,191600," ",1309000," "
44,1964,489,196800," ",1345500," "
44,1965,489,170500," ",1383900," "
44,1966,489,225000," ",1423300," "
44,1967,489,230000," ",1590400," "
44,1968,489,230000," ",1600000," "
44,1969,489,240000," ",1650000," "
44,1970,489,240000," ",1690000," "
44,1971,489,324900," ",1517300," "
44,1972,489,324800," ",1562300," "
44,1973,489,326700," ",1653100," "
44,1974,489,327900," ",1678900," "
44,1975,489,341000," ",1791700," "
44,1976,489,340100," ",1852000," "
44,1977,489,386300," ",1844000," "
