"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,536,0,"M",0," "
1,1962,536,0,"M",0," "
1,1963,536,0,"M",0," "
1,1964,536,0,"M",0," "
1,1965,536,0,"M",0," "
1,1966,536,0,"M",0," "
1,1967,536,0,"M",0," "
1,1968,536,0,"M",0," "
1,1969,536,0,"M",0," "
1,1970,536,0,"M",0," "
1,1971,536,0,"M",0," "
1,1972,536,0,"M",0," "
1,1973,536,0,"M",0," "
1,1974,536,0,"M",0," "
1,1975,536,0,"M",0," "
1,1976,536,0,"M",0," "
1,1977,536,0,"M",0," "
1,1978,536,0,"M",0," "
1,1979,536,0,"M",0," "
1,1980,536,0,"M",0," "
1,1981,536,0,"M",0," "
1,1982,536,0,"M",0," "
1,1983,536,0,"M",0," "
1,1984,536,0,"M",0," "
1,1985,536,0,"M",0," "
1,1986,536,0,"M",0," "
1,1987,536,0,"M",0," "
1,1988,536,0,"M",0," "
1,1989,536,3600,"F",20000,"*"
1,1990,536,3600,"F",18000,"*"
1,1991,536,3600,"F",19000,"*"
1,1992,536,3000,"*",8000,"*"
1,1993,536,2900,"*",3000,"*"
1,1994,536,3200,"*",7700,"*"
1,1995,536,3100,"*",8800,"*"
1,1996,536,2900,"*",9400,"*"
1,1997,536,2100,"*",7100,"*"
1,1998,536,1800,"*",11100,"*"
1,1999,536,1893," ",7691," "
1,2000,536,1540," ",11800," "
1,2001,536,1540," ",10500," "
1,2002,536,1540," ",10000," "
1,2003,536,1700,"*",9100,"*"
1,2004,536,2500,"*",11000,"*"
1,2005,536,2600,"*",15400,"*"
1,2006,536,2800,"*",15000,"*"
1,2007,536,1446," ",11226," "
1,2008,536,1486," ",12077," "
1,2009,536,1536," ",10344," "
1,2010,536,1536," ",4014," "
1,2011,536,1596," ",12376," "
2,1961,536,4320,"F",30100,"*"
2,1962,536,4320,"F",30100,"F"
2,1963,536,4320,"F",30100,"F"
2,1964,536,4570,"F",36800,"F"
2,1965,536,4820,"F",40700,"F"
2,1966,536,5320,"F",45500,"F"
2,1967,536,5940,"F",55200,"F"
2,1968,536,5810,"F",55800,"F"
2,1969,536,5910,"F",56400,"F"
2,1970,536,5950,"F",54600,"F"
2,1971,536,5950,"F",43000,"F"
2,1972,536,6110,"F",53100,"F"
2,1973,536,6230,"F",55200,"F"
2,1974,536,6340,"F",55700,"F"
2,1975,536,6350,"F",55900,"F"
2,1976,536,6350,"F",52400,"F"
2,1977,536,6370,"F",31100,"F"
2,1978,536,6320,"F",45400,"F"
2,1979,536,6110,"F",43300,"F"
2,1980,536,6120,"F",44700,"F"
2,1981,536,5990,"F",44200,"F"
2,1982,536,5750,"F",42700,"F"
2,1983,536,5530,"F",41600,"F"
2,1984,536,5310,"F",39900,"F"
2,1985,536,5160,"F",38200,"F"
2,1986,536,5030,"F",38800,"F"
2,1987,536,4330,"F",33200,"F"
2,1988,536,4530,"F",33700,"F"
2,1989,536,4540,"F",33900,"F"
2,1990,536,4589,"E",33835,"E"
2,1991,536,4582,"E",33927,"E"
2,1992,536,5076,"E",34400,"F"
2,1993,536,4500,"F",34000,"F"
2,1994,536,4606,"E",34400,"F"
2,1995,536,4657,"E",34500,"F"
2,1996,536,4779,"E",34658,"E"
2,1997,536,4633,"E",34343,"E"
2,1998,536,4712,"E",35864,"E"
2,1999,536,4930,"E",36047,"E"
2,2000,536,5431,"E",38494,"E"
2,2001,536,5251,"E",38460,"E"
2,2002,536,5407,"E",40106,"E"
2,2003,536,6119," ",39175,"E"
2,2004,536,3594," ",37109,"E"
2,2005,536,4278," ",40000,"F"
2,2006,536,5500," ",53000,"F"
2,2007,536,5500," ",49925,"E"
2,2008,536,3500," ",34500,"F"
2,2009,536,3500," ",34600,"F"
2,2010,536,3500," ",26527,"E"
2,2011,536,3800," ",28406,"E"
3,1961,536,0,"M",13206," "
3,1962,536,0,"M",10609," "
3,1963,536,0,"M",9769," "
3,1964,536,0,"M",8268," "
3,1965,536,0,"M",8000,"F"
3,1966,536,0,"M",10000,"F"
3,1967,536,0,"M",12000,"F"
3,1968,536,0,"M",14000,"F"
3,1969,536,0,"M",17000,"F"
3,1970,536,0,"M",11000,"*"
3,1971,536,0,"M",12000,"F"
3,1972,536,0,"M",12000,"F"
3,1973,536,0,"M",12000,"F"
3,1974,536,0,"M",13000,"F"
3,1975,536,0,"M",16000,"F"
3,1976,536,0,"M",15000,"F"
3,1977,536,0,"M",17000,"F"
3,1978,536,0,"M",17000,"F"
3,1979,536,0,"M",14000,"F"
3,1980,536,0,"M",16000,"*"
3,1981,536,0,"M",18000,"F"
3,1982,536,0,"M",23000,"F"
3,1983,536,0,"M",19000,"F"
3,1984,536,0,"M",17000,"F"
3,1985,536,6000,"F",14000,"F"
3,1986,536,6000,"F",14000,"F"
3,1987,536,6000,"F",13000,"*"
3,1988,536,6000,"F",12400,"*"
3,1989,536,6000,"F",15000,"*"
3,1990,536,4388,"E",9600,"F"
3,1991,536,2500,"F",5200,"F"
3,1992,536,2518,"E",4200,"F"
3,1993,536,2539,"E",5600,"F"
3,1994,536,2534,"E",5944,"E"
3,1995,536,2525,"E",10000,"F"
3,1996,536,2300," ",14500," "
3,1997,536,2350," ",11000," "
3,1998,536,2400," ",12000," "
3,1999,536,2400," ",12100," "
3,2000,536,2400," ",12100," "
3,2001,536,1880," ",17004," "
3,2002,536,1900," ",15300," "
