"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
230,1961,542,0,"M",0,"M"
230,1962,542,0,"M",0,"M"
230,1963,542,0,"M",0,"M"
230,1964,542,0,"M",0,"M"
230,1965,542,0,"M",0,"M"
230,1966,542,0,"M",0,"M"
230,1967,542,0,"M",0,"M"
230,1968,542,0,"M",0,"M"
230,1969,542,0,"M",0,"M"
230,1970,542,0,"M",0,"M"
230,1971,542,0,"M",0,"M"
230,1972,542,0,"M",0,"M"
230,1973,542,0,"M",0,"M"
230,1974,542,0,"M",0,"M"
230,1975,542,0,"M",0,"M"
230,1976,542,0,"M",0,"M"
230,1977,542,0,"M",0,"M"
230,1978,542,0,"M",0,"M"
230,1979,542,0,"M",0,"M"
230,1980,542,0,"M",0,"M"
230,1981,542,0,"M",0,"M"
230,1982,542,0,"M",0,"M"
230,1983,542,0,"M",0,"M"
230,1984,542,0,"M",0,"M"
230,1985,542,0,"M",0,"M"
230,1986,542,0,"M",0,"M"
230,1987,542,0,"M",0,"M"
230,1988,542,0,"M",0,"M"
230,1989,542,0,"M",0,"M"
230,1990,542,0,"M",0,"M"
230,1991,542,0,"M",0,"M"
230,1992,542,0,"M",0,"M"
230,1993,542,0,"M",0,"M"
230,1994,542,0,"M",0,"M"
230,1995,542,0,"M",0,"M"
230,1996,542,0,"M",0,"M"
230,1997,542,0,"M",0,"M"
230,1998,542,0,"M",0,"M"
230,1999,542,0,"M",0,"M"
230,2000,542,0,"M",0,"M"
230,2001,542,0,"M",0,"M"
230,2002,542,0,"M",0,"M"
230,2003,542,500," ",100," "
230,2004,542,400," ",400," "
230,2005,542,700," ",400," "
230,2006,542,300," ",200," "
230,2007,542,300," ",300," "
230,2008,542,300,"*",500,"*"
230,2009,542,500," ",400," "
230,2010,542,300," ",200," "
230,2011,542,400," ",120," "
235,1961,542,0,"M",0,"M"
235,1962,542,0,"M",0,"M"
235,1963,542,0,"M",0,"M"
235,1964,542,0,"M",0,"M"
235,1965,542,0,"M",0,"M"
235,1966,542,0,"M",0,"M"
235,1967,542,0,"M",0,"M"
235,1968,542,0,"M",0,"M"
235,1969,542,0,"M",0,"M"
235,1970,542,0,"M",0,"M"
235,1971,542,0,"M",0,"M"
235,1972,542,0,"M",0,"M"
235,1973,542,0,"M",0,"M"
235,1974,542,0,"M",0,"M"
235,1975,542,0,"M",0,"M"
235,1976,542,0,"M",0,"M"
235,1977,542,0,"M",0,"M"
235,1978,542,0,"M",0,"M"
235,1979,542,0,"M",0,"M"
235,1980,542,0,"M",0,"M"
235,1981,542,0,"M",0,"M"
235,1982,542,0,"M",0,"M"
235,1983,542,0,"M",0,"M"
235,1984,542,0,"M",0,"M"
235,1985,542,0,"M",0,"M"
235,1986,542,0,"M",0,"M"
235,1987,542,0,"M",0,"M"
235,1988,542,0,"M",0,"M"
235,1989,542,0,"M",0,"M"
235,1990,542,0,"M",0,"M"
235,1991,542,0,"M",0,"M"
235,1992,542,0,"M",0,"M"
235,1993,542,0,"M",0,"M"
235,1994,542,0,"M",0,"M"
235,1995,542,0,"M",0,"M"
235,1996,542,0,"M",0,"M"
235,1997,542,0,"M",0,"M"
235,1998,542,0,"M",0,"M"
235,1999,542,0,"M",0,"M"
235,2000,542,8500,"F",39500,"*"
235,2001,542,8500,"*",40000,"*"
235,2002,542,8500,"*",42000,"*"
235,2003,542,9000,"*",43000,"F"
235,2004,542,8500,"*",42600,"*"
235,2005,542,9000,"*",47500,"*"
235,2006,542,9985," ",69302," "
235,2007,542,10500,"F",70000,"*"
235,2008,542,9500,"*",75000,"*"
235,2009,542,9800,"*",81000,"*"
235,2010,542,10200,"*",91000,"*"
235,2011,542,10600,"*",1e+05,"*"
