"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
11,1961,296,1166," ",1056," "
11,1962,296,1389," ",1198," "
11,1963,296,1351," ",1187," "
11,1964,296,1266," ",1115," "
11,1965,296,414," ",322," "
11,1966,296,361," ",348," "
11,1967,296,348," ",346," "
11,1968,296,325," ",344," "
11,1969,296,152," ",144," "
11,1970,296,167," ",192," "
11,1971,296,145," ",138," "
11,1972,296,142," ",129," "
11,1973,296,135," ",125," "
11,1974,296,136," ",119," "
11,1975,296,167," ",151," "
11,1976,296,218," ",204," "
11,1977,296,218," ",169," "
11,1978,296,191," ",178," "
11,1979,296,96," ",111," "
11,1980,296,246," ",243," "
11,1981,296,202," ",206," "
11,1982,296,134," ",139," "
11,1983,296,167," ",145," "
11,1984,296,418," ",367," "
11,1985,296,218," ",210," "
11,1986,296,183," ",163," "
11,1987,296,381," ",334," "
11,1988,296,646," ",529," "
11,1989,296,851," ",656," "
11,1990,296,706," ",713," "
11,1991,296,430," ",442," "
11,1992,296,455," ",470,"F"
11,1993,296,551," ",535," "
11,1994,296,1737," ",1369," "
11,1995,296,2567," ",2395," "
11,1996,296,1131," ",1131," "
11,1997,296,887," ",865," "
11,1998,296,1102," ",1118," "
11,1999,296,1175," ",1339," "
11,2000,296,654," ",571," "
11,2001,296,806," ",695," "
11,2002,296,1547," ",1356," "
11,2003,296,1740," ",1324," "
11,2004,296,1707," ",1395," "
11,2005,296,3095," ",2445," "
11,2006,296,3858," ",2663," "
11,2007,296,2644," ",1964," "
11,2008,296,2011," ",1567," "
11,2009,296,2186," ",1504," "
11,2010,296,2536," ",1740," "
11,2011,296,1740," ",1614," "
27,1961,296,1026," ",370," "
27,1962,296,659," ",139," "
27,1963,296,900," ",170," "
27,1964,296,345," ",143," "
27,1965,296,290," ",118," "
27,1966,296,454," ",121," "
27,1967,296,624," ",189," "
27,1968,296,1064," ",135," "
27,1969,296,570," ",135," "
27,1970,296,183," ",95," "
27,1971,296,265," ",115," "
27,1972,296,122," ",76," "
27,1973,296,141," ",40," "
27,1974,296,127," ",65," "
27,1975,296,269," ",335," "
27,1976,296,522," ",97," "
27,1977,296,258," ",78," "
27,1978,296,66," ",84," "
27,1979,296,103," ",26," "
27,1980,296,0," ",0," "
27,1981,296,0," ",0," "
27,1982,296,0," ",0," "
27,1983,296,0," ",0," "
27,1984,296,0," ",0," "
27,1985,296,0," ",0," "
27,1986,296,0," ",0," "
27,1987,296,0," ",0," "
27,1988,296,0," ",0," "
27,1989,296,0," ",0," "
27,1990,296,0," ",0," "
27,1991,296,0," ",0," "
27,1992,296,0," ",0," "
27,1993,296,0,"M",0,"M"
27,1994,296,0,"M",0,"M"
27,1995,296,0,"M",0,"M"
27,1996,296,0,"M",0,"M"
27,1997,296,0,"M",0,"M"
27,1998,296,0,"M",0,"M"
27,1999,296,0,"M",0,"M"
27,2000,296,0,"M",0,"M"
27,2001,296,0,"M",0,"M"
27,2002,296,0,"M",0,"M"
27,2003,296,0,"M",0,"M"
27,2004,296,0,"M",0,"M"
27,2005,296,0,"M",0,"M"
27,2006,296,0,"M",0,"M"
27,2007,296,800,"F",500,"F"
27,2008,296,800,"F",500,"F"
27,2009,296,1000,"F",600,"F"
27,2010,296,1300,"F",1000,"F"
27,2011,296,800,"F",500,"F"
51,1961,296,20863," ",13400," "
51,1962,296,20705," ",11395," "
51,1963,296,16315," ",9400," "
51,1964,296,14561," ",6400," "
51,1965,296,12105," ",4400," "
51,1966,296,11643," ",6011," "
51,1967,296,13432," ",7000,"*"
51,1968,296,12410," ",7000,"*"
51,1969,296,11706," ",7745," "
51,1970,296,9720," ",5984," "
51,1971,296,8256," ",6192," "
51,1972,296,6921," ",6005," "
51,1973,296,7656," ",4899," "
51,1974,296,9868," ",7144," "
51,1975,296,9169," ",4920," "
51,1976,296,7445," ",1835," "
51,1977,296,10484," ",6050," "
51,1978,296,11981," ",9010," "
51,1979,296,12457," ",5707," "
51,1980,296,11614," ",6210," "
51,1981,296,10329," ",3755," "
51,1982,296,8381," ",4112," "
51,1983,296,7587," ",4430," "
51,1984,296,9263," ",7418," "
