"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,116,17000," ",173000," "
1,1962,116,16000," ",178000," "
1,1963,116,15000," ",101000," "
1,1964,116,17000," ",176000," "
1,1965,116,17000," ",198000," "
1,1966,116,17000," ",161000," "
1,1967,116,16000," ",182000," "
1,1968,116,18000," ",173000," "
1,1969,116,18000," ",191000," "
1,1970,116,18000," ",267000," "
1,1971,116,18000," ",139000," "
1,1972,116,17000," ",143000," "
1,1973,116,19000," ",246000," "
1,1974,116,19000," ",277000," "
1,1975,116,19000," ",190000," "
1,1976,116,18000," ",207000," "
1,1977,116,19000," ",282000," "
1,1978,116,18000," ",205000," "
1,1979,116,20000," ",223000," "
1,1980,116,20000," ",254000," "
1,1981,116,19000," ",243000," "
1,1982,116,20000," ",309000," "
1,1983,116,21000," ",253000," "
1,1984,116,20000," ",341000," "
1,1985,116,20000," ",306000," "
1,1986,116,20000," ",266000," "
1,1987,116,20000," ",296000," "
1,1988,116,21000," ",207000," "
1,1989,116,21000," ",266000," "
1,1990,116,22413," ",212500," "
1,1991,116,22934," ",275156," "
1,1992,116,28969," ",322427," "
1,1993,116,30800," ",414000," "
1,1994,116,31800," ",417200," "
1,1995,116,32600," ",427700," "
1,1996,116,32645," ",423163," "
1,1997,116,32900," ",359800," "
1,1998,116,32736," ",440000," "
1,1999,116,31963," ",414123," "
1,2000,116,34202," ",290260," "
1,2001,116,31752," ",363834," "
1,2002,116,30474," ",374263," "
1,2003,116,32286," ",507518," "
1,2004,116,35690," ",576427," "
1,2005,116,34299," ",564211," "
1,2006,116,33012," ",539477," "
1,2007,116,31612," ",583934," "
1,2008,116,34298," ",648562," "
1,2009,116,31998," ",593551," "
1,2010,116,28326," ",481956," "
1,2011,116,28665," ",557322," "
2,1961,116,15000,"F",130000," "
2,1962,116,15000,"*",115000,"*"
2,1963,116,15000,"*",122000,"F"
2,1964,116,15000,"*",129000,"*"
2,1965,116,15000,"*",132000,"F"
2,1966,116,15000,"*",136000,"*"
2,1967,116,15000,"*",147000,"*"
2,1968,116,15000," ",150000," "
2,1969,116,15100,"*",154000,"*"
2,1970,116,15100,"*",144000,"*"
2,1971,116,15000,"*",167000,"*"
2,1972,116,15200,"*",158000,"*"
2,1973,116,15000," ",165000," "
2,1974,116,16600,"*",182000,"*"
2,1975,116,17000," ",194500," "
2,1976,116,19800," ",354000," "
2,1977,116,19000," ",2e+05," "
2,1978,116,18200," ",250000," "
2,1979,116,17900,"*",257000,"*"
2,1980,116,17900,"*",266000,"*"
2,1981,116,17700,"*",273000,"*"
2,1982,116,17600,"*",273000,"*"
2,1983,116,17000,"*",268000,"*"
2,1984,116,18000,"*",260000,"*"
2,1985,116,17600,"*",248000,"*"
2,1986,116,15000," ",238000," "
2,1987,116,14000,"F",217000,"*"
2,1988,116,14000,"F",218000,"*"
2,1989,116,13300,"*",203000,"*"
2,1990,116,13300,"*",224000,"*"
2,1991,116,13400,"F",223000,"*"
2,1992,116,13500,"F",225000,"F"
2,1993,116,13600,"F",227000,"F"
2,1994,116,13800,"F",229000,"F"
2,1995,116,13900,"F",231000,"F"
2,1996,116,14000," ",233000,"F"
2,1997,116,14000," ",235000," "
2,1998,116,14000," ",235000," "
2,1999,116,14000," ",235000," "
2,2000,116,14000," ",235000," "
2,2001,116,14000," ",235000," "
2,2002,116,14000," ",230000," "
2,2003,116,21000," ",350000," "
2,2004,116,17000," ",3e+05," "
2,2005,116,20000," ",3e+05," "
2,2006,116,20000," ",3e+05," "
2,2007,116,20000," ",300800," "
2,2008,116,20000," ",280000," "
2,2009,116,21600," ",302400," "
2,2010,116,20500," ",246000," "
2,2011,116,20500," ",205000," "
3,1961,116,4185," ",30188," "
3,1962,116,3598," ",19552," "
3,1963,116,3091," ",23726," "
3,1964,116,3729," ",33706," "
3,1965,116,3718," ",21395," "
3,1966,116,12347," ",107816," "
3,1967,116,16006," ",115830," "
3,1968,116,22032," ",159695," "
3,1969,116,21701," ",120958," "
3,1970,116,19510," ",106707," "
3,1971,116,15768," ",99814," "
3,1972,116,15300,"F",81400,"F"
3,1973,116,13300," ",81000," "
3,1974,116,15500,"F",104000,"F"
3,1975,116,15500,"F",108000,"F"
3,1976,116,15500,"F",115000,"F"
3,1977,116,15500,"F",117000,"F"
3,1978,116,15500,"F",119000,"F"
3,1979,116,15500," ",118800," "
3,1980,116,16300," ",98800," "
3,1981,116,16600," ",119100," "
3,1982,116,15600," ",101200," "
3,1983,116,15500," ",136000," "
3,1984,116,14300," ",90000,"F"
3,1985,116,15000," ",85000," "
3,1986,116,14000," ",110000," "
3,1987,116,14000," ",89000," "
3,1988,116,12000," ",60000," "
3,1989,116,9000," ",97000," "
3,1990,116,12000," ",80000," "
