"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,211,0,"M",0,"M"
1,1962,211,0,"M",0,"M"
1,1963,211,0,"M",0,"M"
1,1964,211,0,"M",0,"M"
1,1965,211,0,"M",0,"M"
1,1966,211,0,"M",0,"M"
1,1967,211,0,"M",0,"M"
1,1968,211,0,"M",0,"M"
1,1969,211,0,"M",0,"M"
1,1970,211,0,"M",0,"M"
1,1971,211,0,"M",0,"M"
1,1972,211,0,"M",0,"M"
1,1973,211,0,"M",0,"M"
1,1974,211,0,"M",0,"M"
1,1975,211,0,"M",0,"M"
1,1976,211,0,"M",0,"M"
1,1977,211,0,"M",0,"M"
1,1978,211,0,"M",0,"M"
1,1979,211,0,"M",0,"M"
1,1980,211,0,"M",0,"M"
1,1981,211,0,"M",0,"M"
1,1982,211,0,"M",0,"M"
1,1983,211,0,"M",0,"M"
1,1984,211,0,"M",0,"M"
1,1985,211,0,"M",0,"M"
1,1986,211,0,"M",0,"M"
1,1987,211,0,"M",0,"M"
1,1988,211,0,"M",0,"M"
1,1989,211,0,"M",0,"M"
1,1990,211,0,"M",0,"M"
1,1991,211,0,"M",0,"M"
1,1992,211,0,"M",0,"M"
1,1993,211,0,"M",0,"M"
1,1994,211,0,"M",0,"M"
1,1995,211,0,"M",0,"M"
1,1996,211,0,"M",0,"M"
1,1997,211,0,"M",0,"M"
1,1998,211,0,"M",0,"M"
1,1999,211,0,"M",0,"M"
1,2000,211,0,"M",0,"M"
1,2001,211,0,"M",0,"M"
1,2002,211,0,"M",0,"M"
1,2003,211,78," ",81," "
1,2004,211,60," ",108," "
1,2005,211,58," ",74," "
1,2006,211,60,"*",100," "
1,2007,211,60,"*",109," "
1,2008,211,50,"*",132," "
1,2009,211,25," ",104," "
1,2010,211,20,"*",84," "
1,2011,211,30,"*",133," "
2,1961,211,20500,"F",18000,"F"
2,1962,211,21000,"F",18600,"F"
2,1963,211,22500,"F",19600,"F"
2,1964,211,22500,"F",20600,"F"
2,1965,211,24000,"F",21700,"F"
2,1966,211,25500,"F",22600,"F"
2,1967,211,18000,"F",15000,"F"
2,1968,211,27000,"F",24600,"F"
2,1969,211,27000,"F",25600,"F"
2,1970,211,28000,"F",26700,"F"
2,1971,211,26000,"F",25000,"F"
2,1972,211,30000,"F",29400,"F"
2,1973,211,36000,"F",32400,"F"
2,1974,211,33000,"F",31700,"F"
2,1975,211,33000,"F",32000," "
2,1976,211,35000,"F",33800,"F"
2,1977,211,37000,"F",35000," "
2,1978,211,37000,"F",36000," "
2,1979,211,37500,"F",37000," "
2,1980,211,41500,"F",41000," "
2,1981,211,45000,"F",44600,"F"
2,1982,211,37500,"F",36400,"F"
2,1983,211,39000,"F",36200,"F"
2,1984,211,39000,"F",36800,"F"
2,1985,211,43500,"F",43000,"F"
2,1986,211,39500,"F",37100,"F"
2,1987,211,39000,"F",37600,"F"
2,1988,211,35000,"F",32000,"F"
2,1989,211,35000,"F",29000,"F"
2,1990,211,33465,"E",33000,"F"
2,1991,211,36000,"F",34800,"F"
2,1992,211,37000,"F",35000,"F"
2,1993,211,28748,"E",40000,"F"
2,1994,211,27537,"E",45000,"F"
2,1995,211,30375,"E",50000,"F"
2,1996,211,26618,"E",65000,"F"
2,1997,211,26124,"E",50000,"F"
2,1998,211,25453,"E",41979,"E"
2,1999,211,24338,"E",44624,"E"
2,2000,211,24024,"E",45325,"E"
2,2001,211,22428,"E",49096,"E"
2,2002,211,22603,"E",39330,"E"
2,2003,211,39300," ",42100," "
2,2004,211,39000,"F",42000,"F"
2,2005,211,38151,"E",35023,"E"
2,2006,211,39300,"F",42100,"F"
2,2007,211,40000,"F",39975,"E"
2,2008,211,50000,"F",51000,"F"
2,2009,211,53000,"F",50000,"F"
2,2010,211,71700," ",53300,"F"
2,2011,211,81000," ",67000,"F"
3,1961,211,622," ",234," "
3,1962,211,1179," ",777," "
3,1963,211,1926," ",1003," "
3,1964,211,1955," ",962," "
3,1965,211,2159," ",984," "
3,1966,211,1313," ",583," "
3,1967,211,1791," ",812," "
3,1968,211,1496," ",553," "
3,1969,211,1749," ",641," "
3,1970,211,1197," ",603," "
3,1971,211,1377," ",360," "
3,1972,211,1500,"F",600,"F"
3,1973,211,1500,"F",600,"F"
3,1974,211,1500,"F",700,"F"
3,1975,211,1500,"F",400,"F"
3,1976,211,1650,"F",700,"F"
3,1977,211,1700,"F",1600,"F"
3,1978,211,1800,"F",1150,"F"
3,1979,211,1600,"F",660,"F"
3,1980,211,1600,"F",660,"F"
3,1981,211,1600,"F",700,"F"
3,1982,211,1600,"F",660,"F"
3,1983,211,1600,"F",700,"F"
3,1984,211,1600,"F",700,"F"
3,1985,211,1600,"F",700,"F"
3,1986,211,1600,"F",700,"F"
3,1987,211,1600,"F",700,"F"
3,1988,211,1600,"F",700,"F"
3,1989,211,1600,"F",700,"F"
3,1990,211,1400,"F",600,"F"
3,1991,211,1200,"F",510,"F"
3,1992,211,1558,"E",530,"F"
3,1993,211,1300,"F",500,"F"
3,1994,211,1267,"E",550,"F"
3,1995,211,1230,"F",400,"F"
3,1996,211,1110,"F",200,"F"
3,1997,211,1170,"F",300,"F"
3,1998,211,1270,"F",350,"F"
3,1999,211,1370,"F",400,"F"
3,2000,211,1470,"F",450,"F"
3,2001,211,1209,"E",395,"E"
3,2002,211,1500,"F",500,"F"
3,2003,211,1569,"E",363,"E"
3,2004,211,1373,"E",457,"E"
3,2005,211,1344,"E",550,"F"
3,2006,211,1160,"E",600,"F"
3,2007,211,1068,"E",500,"F"
3,2008,211,868,"E",600,"F"
3,2009,211,1077,"E",633,"E"
3,2010,211,900,"F",600,"F"
3,2011,211,1101,"E",633,"E"
4,1961,211,0,"M",0,"M"
4,1962,211,0,"M",0,"M"
4,1963,211,0,"M",0,"M"
4,1964,211,0,"M",0,"M"
4,1965,211,0,"M",0,"M"
4,1966,211,0,"M",0,"M"
4,1967,211,0,"M",0,"M"
4,1968,211,0,"M",0,"M"
4,1969,211,0,"M",0,"M"
4,1970,211,0,"M",0,"M"
4,1971,211,0,"M",0,"M"
4,1972,211,0,"M",0,"M"
4,1973,211,0,"M",0,"M"
4,1974,211,0,"M",0,"M"
4,1975,211,0,"M",0,"M"
4,1976,211,0,"M",0,"M"
4,1977,211,0,"M",0,"M"
4,1978,211,0,"M",0,"M"
4,1979,211,0,"M",0,"M"
4,1980,211,0,"M",0,"M"
4,1981,211,0,"M",0,"M"
4,1982,211,0,"M",0,"M"
4,1983,211,0,"M",0,"M"
4,1984,211,0,"M",0,"M"
4,1985,211,0,"M",0,"M"
4,1986,211,0,"M",0,"M"
4,1987,211,0,"M",0,"M"
4,1988,211,0,"M",0,"M"
4,1989,211,0,"M",0,"M"
4,1990,211,12,"F",10,"F"
4,1991,211,25,"F",20,"F"
4,1992,211,37,"F",30,"F"
4,1993,211,50,"F",40,"F"
4,1994,211,62,"F",50,"F"
4,1995,211,75,"F",60,"F"
4,1996,211,87,"F",70,"F"
4,1997,211,94,"F",75,"F"
4,1998,211,105,"F",85,"F"
4,1999,211,120,"F",95,"F"
4,2000,211,130,"F",102," "
4,2001,211,122,"E",105,"F"
4,2002,211,128,"E",119,"E"
4,2003,211,137,"F",110,"F"
4,2004,211,145,"E",104,"E"
4,2005,211,139,"E",89,"E"
4,2006,211,206," ",111," "
4,2007,211,94," ",95," "
4,2008,211,197," ",198," "
4,2009,211,205," ",133," "
4,2010,211,173," ",198," "
4,2011,211,221," ",181," "
10,1961,211,0,"M",0,"M"
10,1962,211,0,"M",0,"M"
10,1963,211,0,"M",0,"M"
10,1964,211,0,"M",0,"M"
10,1965,211,0,"M",0,"M"
10,1966,211,0,"M",0,"M"
10,1967,211,0,"M",0,"M"
10,1968,211,0,"M",0,"M"
10,1969,211,0,"M",0,"M"
10,1970,211,0,"M",0,"M"
10,1971,211,0,"M",0,"M"
10,1972,211,0,"M",0,"M"
10,1973,211,0,"M",0,"M"
10,1974,211,0,"M",0,"M"
10,1975,211,0,"M",0,"M"
10,1976,211,0,"M",0,"M"
10,1977,211,0,"M",0,"M"
10,1978,211,0,"M",0,"M"
10,1979,211,0,"M",0,"M"
10,1980,211,0,"M",0,"M"
10,1981,211,0,"M",0,"M"
10,1982,211,0,"M",0,"M"
10,1983,211,0,"M",0,"M"
10,1984,211,0,"M",0,"M"
10,1985,211,0,"M",0,"M"
10,1986,211,0,"M",0,"M"
10,1987,211,0,"M",0,"M"
10,1988,211,0,"M",0,"M"
10,1989,211,0,"M",0,"M"
10,1990,211,0,"M",0,"M"
10,1991,211,0,"M",0,"M"
