"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,394,0,"M",0,"M"
3,1962,394,0,"M",0,"M"
3,1963,394,0,"M",0,"M"
3,1964,394,0,"M",0,"M"
3,1965,394,0,"M",0,"M"
3,1966,394,0,"M",0,"M"
3,1967,394,0,"M",0,"M"
3,1968,394,0,"M",0,"M"
3,1969,394,0,"M",0,"M"
3,1970,394,0,"M",0,"M"
3,1971,394,0,"M",0,"M"
3,1972,394,0,"M",0,"M"
3,1973,394,0,"M",0,"M"
3,1974,394,0,"M",0,"M"
3,1975,394,0,"M",0,"M"
3,1976,394,0,"M",0,"M"
3,1977,394,0,"M",0,"M"
3,1978,394,0,"M",0,"M"
3,1979,394,0,"M",0,"M"
3,1980,394,0,"M",0,"M"
3,1981,394,0,"M",0,"M"
3,1982,394,0,"M",0,"M"
3,1983,394,0,"M",0,"M"
3,1984,394,0,"M",0,"M"
3,1985,394,0,"M",0,"M"
3,1986,394,0,"M",0,"M"
3,1987,394,0,"M",0,"M"
3,1988,394,0,"M",0,"M"
3,1989,394,0,"M",0,"M"
3,1990,394,250,"*",3900,"*"
3,1991,394,200,"*",3000,"*"
3,1992,394,300,"*",4600,"*"
3,1993,394,340,"*",5200,"*"
3,1994,394,380,"*",5900,"*"
3,1995,394,380,"*",5800,"*"
3,1996,394,320,"*",4800,"*"
3,1997,394,390,"*",6000,"*"
3,1998,394,390,"*",6000,"*"
3,1999,394,390,"*",5900,"*"
3,2000,394,400,"*",6200,"*"
3,2001,394,430,"*",6500,"*"
3,2002,394,450,"*",6700,"*"
3,2003,394,400," ",7000," "
3,2004,394,300," ",7200," "
3,2005,394,400," ",7500," "
3,2006,394,241," ",5374," "
3,2007,394,300,"*",7000," "
3,2008,394,270," ",5470," "
3,2009,394,373," ",6482," "
3,2010,394,488," ",9726," "
3,2011,394,400," ",9400," "
4,1961,394,0," ",0," "
4,1962,394,0," ",0," "
4,1963,394,0," ",0," "
4,1964,394,0," ",0," "
4,1965,394,0," ",0," "
4,1966,394,0," ",0," "
4,1967,394,0," ",0," "
4,1968,394,0," ",0," "
4,1969,394,700,"F",2000,"F"
4,1970,394,1600,"F",4000,"F"
4,1971,394,2000,"F",6000,"F"
4,1972,394,2200,"F",8000,"F"
4,1973,394,2400,"F",10000,"F"
4,1974,394,2600,"F",13000,"F"
4,1975,394,2800,"F",16000,"F"
4,1976,394,3000,"F",18000,"F"
4,1977,394,3200,"F",20000,"F"
4,1978,394,3600,"F",23000,"F"
4,1979,394,3800,"F",25000,"F"
4,1980,394,4000,"F",26900,"F"
4,1981,394,4490," ",27370," "
4,1982,394,5160," ",35444," "
4,1983,394,5530," ",36754," "
4,1984,394,5250," ",32850," "
4,1985,394,6860," ",47041," "
4,1986,394,6360," ",53855," "
4,1987,394,6870," ",54254," "
4,1988,394,6070," ",45530," "
4,1989,394,7030," ",67310," "
