"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
19,1961,754,,,0," "
19,1962,754,,,0," "
19,1963,754,,,0," "
19,1964,754,,,0," "
19,1965,754,,,0," "
19,1966,754,,,0," "
19,1967,754,,,0," "
19,1968,754,,,0," "
19,1969,754,,,0," "
19,1970,754,,,30," "
19,1971,754,,,35," "
19,1972,754,,,40," "
19,1973,754,,,10," "
19,1974,754,,,5,"*"
19,1975,754,,,5,"*"
19,1976,754,,,5,"*"
19,1977,754,,,5,"*"
19,1978,754,,,0,"F"
19,1979,754,,,0," "
19,1980,754,,,0," "
19,1981,754,,,0," "
19,1982,754,,,0," "
19,1983,754,,,0," "
19,1984,754,,,0," "
19,1985,754,,,0," "
19,1986,754,,,0," "
19,1987,754,,,0," "
19,1988,754,,,0," "
19,1989,754,,,0," "
19,1990,754,,,0," "
19,1991,754,,,0," "
19,1992,754,,,0," "
19,1993,754,,,0,"M"
19,1994,754,,,0,"M"
19,1995,754,,,0,"M"
19,1996,754,,,0,"M"
19,1997,754,,,0,"M"
19,1998,754,,,0,"M"
19,1999,754,,,0,"M"
19,2000,754,,,0,"M"
19,2001,754,,,0,"M"
19,2002,754,,,0,"M"
19,2003,754,,,0,"M"
19,2004,754,,,0,"M"
19,2005,754,,,0,"M"
19,2006,754,,,0,"M"
19,2007,754,,,0,"M"
19,2008,754,,,0,"M"
19,2009,754,,,0,"M"
19,2010,754,,,0,"M"
19,2011,754,,,0,"M"
21,1961,754,,,0," "
21,1962,754,,,0," "
21,1963,754,,,0," "
21,1964,754,,,0," "
21,1965,754,,,0," "
21,1966,754,,,0," "
21,1967,754,,,0," "
21,1968,754,,,0," "
21,1969,754,,,0," "
21,1970,754,,,200,"*"
21,1971,754,,,200,"*"
21,1972,754,,,200,"*"
21,1973,754,,,200,"*"
21,1974,754,,,200,"*"
21,1975,754,,,200,"*"
21,1976,754,,,200,"*"
21,1977,754,,,200,"*"
21,1978,754,,,200,"F"
21,1979,754,,,200,"F"
21,1980,754,,,200,"F"
21,1981,754,,,200,"F"
21,1982,754,,,200,"F"
21,1983,754,,,200,"F"
21,1984,754,,,200,"F"
21,1985,754,,,200,"F"
21,1986,754,,,0,"F"
21,1987,754,,,0," "
21,1988,754,,,0," "
21,1989,754,,,0," "
21,1990,754,,,0," "
21,1991,754,,,0," "
21,1992,754,,,0," "
21,1993,754,,,0,"M"
21,1994,754,,,0,"M"
21,1995,754,,,0,"M"
21,1996,754,,,0,"M"
21,1997,754,,,0,"M"
21,1998,754,,,0,"M"
21,1999,754,,,0,"M"
21,2000,754,,,0,"M"
21,2001,754,,,0,"M"
21,2002,754,,,0,"M"
21,2003,754,,,0,"M"
21,2004,754,,,0,"M"
21,2005,754,,,0,"M"
21,2006,754,,,0,"M"
21,2007,754,,,0,"M"
21,2008,754,,,0,"M"
21,2009,754,,,0,"M"
21,2010,754,,,0,"M"
21,2011,754,,,0,"M"
58,1961,754,1800," ",500,"*"
58,1962,754,1800," ",500,"*"
58,1963,754,3000,"F",1100,"*"
58,1964,754,4500," ",1800,"*"
58,1965,754,7000," ",2000,"*"
58,1966,754,7605," ",2605," "
58,1967,754,8963," ",3626," "
58,1968,754,8788," ",3974," "
58,1969,754,4244," ",1586," "
58,1970,754,3480," ",1233," "
58,1971,754,2604," ",962," "
58,1972,754,1630," ",618," "
58,1973,754,1135," ",612," "
58,1974,754,776," ",338," "
58,1975,754,554," ",183," "
58,1976,754,325," ",117," "
58,1977,754,304," ",190," "
58,1978,754,245," ",162," "
58,1979,754,380," ",260," "
58,1980,754,380," ",265,"*"
58,1981,754,380,"*",300,"*"
58,1982,754,51," ",21," "
58,1983,754,401," ",71," "
58,1984,754,93," ",39," "
58,1985,754,84," ",29," "
58,1986,754,84," ",32," "
58,1987,754,5," ",3," "
58,1988,754,34," ",11," "
58,1989,754,23," ",8," "
58,1990,754,16," ",6," "
58,1991,754,150,"F",65," "
58,1992,754,150,"F",60,"F"
58,1993,754,150,"F",60,"F"
58,1994,754,160,"F",65,"F"
58,1995,754,170,"F",70,"F"
58,1996,754,180,"F",80,"F"
58,1997,754,180,"F",90,"F"
58,1998,754,200,"F",100,"F"
58,1999,754,200,"F",100,"F"
58,2000,754,200,"F",100,"F"
58,2001,754,210,"F",105,"F"
58,2002,754,220,"F",110,"F"
58,2003,754,220,"F",110,"F"
58,2004,754,230,"F",115,"F"
58,2005,754,230,"F",115,"F"
58,2006,754,240,"F",120,"F"
58,2007,754,240,"F",120,"F"
58,2008,754,250,"F",125,"F"
58,2009,754,250,"F",125,"F"
58,2010,754,250,"F",125,"F"
58,2011,754,250,"F",125,"F"
106,1961,754,,,0," "
106,1962,754,,,0," "
106,1963,754,,,0," "
106,1964,754,,,0," "
106,1965,754,,,0," "
106,1966,754,,,0," "
106,1967,754,,,0," "
106,1968,754,,,0," "
106,1969,754,,,0," "
106,1970,754,,,0," "
106,1971,754,,,0," "
106,1972,754,,,0," "
106,1973,754,,,0," "
106,1974,754,,,0," "
106,1975,754,,,0," "
106,1976,754,,,0," "
106,1977,754,,,0," "
106,1978,754,,,200,"F"
106,1979,754,,,200,"F"
106,1980,754,,,200,"F"
106,1981,754,,,200,"F"
106,1982,754,,,200,"F"
106,1983,754,,,200,"F"
106,1984,754,,,200,"F"
106,1985,754,,,200,"F"
106,1986,754,,,200,"F"
106,1987,754,,,200,"F"
106,1988,754,,,200,"F"
106,1989,754,,,200,"F"
106,1990,754,,,200,"F"
106,1991,754,,,200,"F"
106,1992,754,,,200,"F"
106,1993,754,,,200,"F"
106,1994,754,,,200,"F"
106,1995,754,,,200,"F"
106,1996,754,,,200,"F"
106,1997,754,,,200,"F"
106,1998,754,,,200,"F"
106,1999,754,,,200,"F"
106,2000,754,,,300,"F"
106,2001,754,,,300,"F"
106,2002,754,,,300,"F"
106,2003,754,,,300,"F"
106,2004,754,,,300,"F"
106,2005,754,,,300,"F"
106,2006,754,,,300,"F"
106,2007,754,,,300,"F"
106,2008,754,,,300,"F"
106,2009,754,,,300,"F"
106,2010,754,,,300,"F"
106,2011,754,,,300,"F"
110,1961,754,2000," ",2000," "
110,1962,754,2000," ",2000," "
110,1963,754,2000," ",2000," "
110,1964,754,2000," ",2000," "
110,1965,754,1900," ",1500," "
110,1966,754,1500," ",1200," "
110,1967,754,1100," ",1000," "
110,1968,754,800," ",800," "
110,1969,754,700," ",700," "
110,1970,754,600,"F",600,"F"
110,1971,754,600,"F",600,"F"
110,1972,754,550,"F",550,"F"
110,1973,754,550,"F",550,"F"
110,1974,754,450,"F",450,"F"
110,1975,754,450,"F",450,"F"
110,1976,754,400,"F",400,"F"
110,1977,754,350,"F",350,"F"
110,1978,754,300,"F",300,"F"
110,1979,754,250,"F",250,"F"
110,1980,754,200,"F",200,"F"
110,1981,754,150,"F",150,"F"
110,1982,754,100,"F",100,"F"
110,1983,754,50,"F",50,"F"
110,1984,754,0,"F",0,"F"
110,1985,754,0," ",0," "
110,1986,754,0," ",0," "
110,1987,754,0," ",0," "
110,1988,754,0," ",0," "
110,1989,754,0," ",0," "
110,1990,754,0," ",0," "
110,1991,754,0," ",0," "
110,1992,754,0," ",0," "
110,1993,754,0,"M",0,"M"
110,1994,754,0,"M",0,"M"
110,1995,754,0,"M",0,"M"
110,1996,754,0,"M",0,"M"
110,1997,754,0,"M",0,"M"
110,1998,754,0,"M",0,"M"
110,1999,754,0,"M",0,"M"
110,2000,754,0,"M",0,"M"
110,2001,754,0,"M",0,"M"
110,2002,754,0,"M",0,"M"
110,2003,754,0,"M",0,"M"
