"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,523,0,"M",0,"M"
1,1962,523,0,"M",0,"M"
1,1963,523,0,"M",0,"M"
1,1964,523,0,"M",0,"M"
1,1965,523,0,"M",0,"M"
1,1966,523,0,"M",0,"M"
1,1967,523,0,"M",0,"M"
1,1968,523,0,"M",0,"M"
1,1969,523,0,"M",0,"M"
1,1970,523,0,"M",0,"M"
1,1971,523,0,"M",0,"M"
1,1972,523,0,"M",0,"M"
1,1973,523,0,"M",0,"M"
1,1974,523,0,"M",0,"M"
1,1975,523,0,"M",0,"M"
1,1976,523,0,"M",0,"M"
1,1977,523,0,"M",0,"M"
1,1978,523,0,"M",0,"M"
1,1979,523,0,"M",0,"M"
1,1980,523,0,"M",0,"M"
1,1981,523,0,"M",0,"M"
1,1982,523,0,"M",0,"M"
1,1983,523,0,"M",0,"M"
1,1984,523,0,"M",0,"M"
1,1985,523,0,"M",0,"M"
1,1986,523,0,"M",0,"M"
1,1987,523,0,"M",0,"M"
1,1988,523,0,"M",0,"M"
1,1989,523,0,"M",0,"M"
1,1990,523,0,"M",0,"M"
1,1991,523,0,"M",0,"M"
1,1992,523,0,"M",0,"M"
1,1993,523,0,"M",0,"M"
1,1994,523,0,"M",0,"M"
1,1995,523,0,"M",0,"M"
1,1996,523,0,"M",0,"M"
1,1997,523,0,"M",0,"M"
1,1998,523,0,"M",0,"M"
1,1999,523,0,"M",0,"M"
1,2000,523,0,"M",0,"M"
1,2001,523,0,"M",0,"M"
1,2002,523,0,"M",0,"M"
1,2003,523,0,"M",0,"M"
1,2004,523,0,"M",0,"M"
1,2005,523,0,"M",0,"M"
1,2006,523,0,"M",0,"M"
1,2007,523,269," ",1917," "
1,2008,523,269," ",1332," "
1,2009,523,279," ",1432," "
1,2010,523,284," ",739," "
1,2011,523,274," ",1209," "
3,1961,523,0,"M",1000,"F"
3,1962,523,0,"M",800,"F"
3,1963,523,0,"M",700,"F"
3,1964,523,0,"M",700,"F"
