"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
19,1961,92,22000," ",9200," "
19,1962,92,22300," ",10200," "
19,1963,92,22600," ",13500," "
19,1964,92,18800," ",11200," "
19,1965,92,17000," ",6800," "
19,1966,92,16000," ",8000," "
19,1967,92,12330," ",7400," "
19,1968,92,14120," ",9600," "
19,1969,92,14150," ",9600," "
19,1970,92,12200," ",9700," "
19,1971,92,15000," ",10500," "
19,1972,92,15000," ",10800," "
19,1973,92,16000," ",12000," "
19,1974,92,16890," ",13205," "
19,1975,92,19240," ",15200," "
19,1976,92,20800," ",14960," "
19,1977,92,22400," ",9035," "
19,1978,92,17830," ",7660," "
19,1979,92,10455," ",6000," "
19,1980,92,15640," ",8935," "
19,1981,92,23040," ",13040," "
19,1982,92,24930," ",15785," "
19,1983,92,43086," ",11710," "
19,1984,92,33382," ",16622," "
19,1985,92,47939," ",21144," "
19,1986,92,42850," ",20631," "
19,1987,92,47330," ",23897," "
19,1988,92,50000," ",22600," "
19,1989,92,42640," ",18230," "
19,1990,92,38615," ",16077," "
19,1991,92,38791," ",19651," "
19,1992,92,38700," ",16858," "
19,1993,92,38518," ",19129," "
19,1994,92,38196," ",19465," "
19,1995,92,36790," ",18814," "
19,1996,92,37493," ",23498," "
19,1997,92,38680," ",26366," "
19,1998,92,37714," ",20291," "
19,1999,92,35963," ",22498," "
19,2000,92,36847," ",23785," "
19,2001,92,37223," ",23299," "
19,2002,92,37817," ",24179," "
19,2003,92,38289," ",24936," "
19,2004,92,38649," ",24688," "
19,2005,92,39302," ",25201," "
19,2006,92,42431," ",26873," "
19,2007,92,45454," ",26601," "
19,2008,92,46369," ",27169," "
19,2009,92,59924," ",34156," "
19,2010,92,63010," ",36106," "
19,2011,92,64789," ",38257," "
58,1961,92,1945," ",741," "
58,1962,92,2750," ",2385," "
58,1963,92,2586," ",2252," "
58,1964,92,4557," ",1403," "
58,1965,92,1180," ",878," "
58,1966,92,1200," ",872," "
58,1967,92,1100,"F",800,"F"
58,1968,92,1000,"F",768," "
58,1969,92,1000,"F",740,"F"
58,1970,92,1000,"F",740,"F"
58,1971,92,1000,"F",740,"F"
58,1972,92,1000,"F",740,"F"
58,1973,92,1000,"F",700,"*"
58,1974,92,1600,"F",1100,"F"
58,1975,92,1800,"F",1300,"F"
58,1976,92,2000,"F",1500,"*"
58,1977,92,3000,"F",1500,"F"
58,1978,92,3000,"F",1500,"F"
58,1979,92,2700,"F",1000,"F"
58,1980,92,1300,"F",500,"F"
58,1981,92,270,"F",100,"F"
58,1982,92,27," ",11," "
58,1983,92,40," ",14," "
58,1984,92,54," ",22," "
58,1985,92,69," ",31," "
58,1986,92,177," ",104," "
58,1987,92,361," ",309," "
58,1988,92,1230," ",556," "
58,1989,92,870," ",471," "
58,1990,92,889," ",675," "
58,1991,92,1070," ",450," "
58,1992,92,2030," ",1001," "
58,1993,92,1000,"F",493," "
58,1994,92,700,"F",362," "
58,1995,92,800,"F",408," "
58,1996,92,1100,"F",555," "
58,1997,92,600,"F",304," "
58,1998,92,1800,"F",938," "
58,1999,92,1800,"F",938," "
58,2000,92,1300,"F",650,"F"
58,2001,92,650,"F",320," "
58,2002,92,600,"F",294," "
58,2003,92,1000,"F",519," "
58,2004,92,918," ",641," "
58,2005,92,929," ",652," "
58,2006,92,950,"F",660,"F"
58,2007,92,980,"F",690,"F"
58,2008,92,1000,"F",741," "
58,2009,92,1100,"F",800,"F"
58,2010,92,1176,"E",897,"E"
58,2011,92,1277,"E",816,"E"
170,1961,92,28610," ",22494," "
170,1962,92,30040," ",24364," "
170,1963,92,29640," ",25060," "
170,1964,92,19390," ",17635," "
170,1965,92,19485," ",18533," "
170,1966,92,17835," ",12583," "
170,1967,92,18305," ",14347," "
170,1968,92,10060," ",5245," "
170,1969,92,16955," ",7563," "
170,1970,92,16370," ",7307," "
170,1971,92,15035," ",6405," "
170,1972,92,13020," ",6202," "
170,1973,92,13250," ",7130," "
170,1974,92,12980," ",6572," "
170,1975,92,13228," ",8142," "
170,1976,92,15065," ",8676," "
170,1977,92,19747," ",10679," "
170,1978,92,19439," ",10231," "
170,1979,92,17231," ",9286," "
170,1980,92,18634," ",16324," "
170,1981,92,18384," ",13112," "
170,1982,92,21652," ",17028," "
170,1983,92,14363," ",8638," "
170,1984,92,18349," ",14203," "
170,1985,92,11860," ",8014," "
170,1986,92,13524," ",10004," "
170,1987,92,13112," ",9921," "
170,1988,92,18475," ",16284," "
170,1989,92,15241," ",15753," "
170,1990,92,8081," ",6260," "
170,1991,92,21007," ",18266," "
170,1992,92,7874," ",4961," "
170,1993,92,17812," ",17157," "
170,1994,92,20693," ",16629," "
170,1995,92,18729," ",13773," "
170,1996,92,18704," ",16070," "
170,1997,92,27033," ",23688," "
170,1998,92,30720," ",28171," "
170,1999,92,28979," ",28413," "
170,2000,92,28889," ",28191," "
170,2001,92,25601," ",22267," "
170,2002,92,27851," ",30373," "
170,2003,92,28326," ",30085," "
170,2004,92,27676," ",26997," "
170,2005,92,28632," ",32590," "
170,2006,92,29947," ",30429," "
170,2007,92,30381," ",31824," "
170,2008,92,31163," ",29867," "
170,2009,92,34026," ",39397," "
170,2010,92,35313," ",41079," "
170,2011,92,35475," ",41182," "
