"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
21,1961,788,14000,"F",24000,"F"
21,1962,788,14000,"F",24000,"F"
21,1963,788,13000,"F",22000,"F"
21,1964,788,17000,"F",28000,"F"
21,1965,788,18000,"F",30000,"F"
21,1966,788,20000,"F",34000,"F"
21,1967,788,22000,"F",36000,"F"
21,1968,788,23000,"F",38000,"F"
21,1969,788,25000,"F",42000,"F"
21,1970,788,26000,"F",44000,"F"
21,1971,788,22749," ",53941," "
21,1972,788,23099," ",54599," "
21,1973,788,26725," ",44418," "
21,1974,788,16770," ",35790," "
21,1975,788,12360," ",23780," "
21,1976,788,9675," ",18500," "
21,1977,788,8200," ",14020," "
21,1978,788,6400," ",7220," "
21,1979,788,6350," ",8980," "
21,1980,788,7016," ",17283," "
21,1981,788,7325," ",10259," "
21,1982,788,5968," ",9657," "
21,1983,788,4670," ",9583," "
21,1984,788,4495," ",9625," "
21,1985,788,4887," ",10004," "
21,1986,788,5530," ",7000," "
21,1987,788,7100," ",15500," "
21,1988,788,8162," ",19060," "
21,1989,788,8030," ",9193," "
21,1990,788,7139," ",10183," "
21,1991,788,5559," ",7999," "
21,1992,788,5224," ",6955," "
21,1993,788,4696," ",7079," "
21,1994,788,3482," ",3992," "
21,1995,788,2868," ",3485," "
21,1996,788,2553," ",4807," "
21,1997,788,1816," ",3616," "
21,1998,788,818," ",1615," "
21,1999,788,465," ",992," "
21,2000,788,465," ",950," "
21,2001,788,399," ",897," "
21,2002,788,480," ",1378," "
21,2003,788,539," ",1381," "
21,2004,788,539," ",1196," "
21,2005,788,539," ",1158," "
21,2006,788,447," ",1221," "
21,2007,788,394," ",1072," "
21,2008,788,447," ",1023," "
21,2009,788,151," ",499," "
21,2010,788,369," ",831," "
21,2011,788,369," ",971," "
41,1961,788,20000,"F",18000,"F"
41,1962,788,22000,"F",20000,"F"
41,1963,788,24000,"F",22000,"F"
41,1964,788,26000,"F",24000,"F"
41,1965,788,26000,"F",23000,"F"
41,1966,788,26000,"F",22000,"F"
41,1967,788,26000,"F",22000,"F"
41,1968,788,27000,"F",23000,"F"
41,1969,788,27000,"F",23000,"F"
41,1970,788,28000,"F",24000,"F"
41,1971,788,28000,"F",24000,"F"
41,1972,788,28000,"F",24000,"F"
41,1973,788,29000,"F",25000,"F"
41,1974,788,29000,"F",25000,"F"
41,1975,788,29000,"F",25000,"F"
41,1976,788,30000,"F",26000,"F"
41,1977,788,32000,"F",26000,"F"
41,1978,788,36000," ",26100," "
41,1979,788,37300," ",34700," "
41,1980,788,40000,"F",38000," "
41,1981,788,48000," ",49000," "
41,1982,788,47000," ",59000," "
41,1983,788,38360," ",44350," "
41,1984,788,39200," ",50000," "
41,1985,788,86000," ",81684," "
41,1986,788,272000," ",226540," "
41,1987,788,516000," ",567000," "
41,1988,788,290000,"F",318000," "
41,1989,788,148900," ",184470," "
41,1990,788,80500," ",89068," "
41,1991,788,54267," ",58000," "
41,1992,788,53200," ",61211," "
41,1993,788,50400," ",67574," "
41,1994,788,82900," ",116351," "
41,1995,788,97180," ",147093," "
41,1996,788,92740," ",140531," "
41,1997,788,83730," ",136635," "
41,1998,788,77750," ",122346," "
41,1999,788,74000," ",120000," "
41,2000,788,95430," ",160966," "
41,2001,788,113700," ",197044," "
41,2002,788,125200," ",238491," "
41,2003,788,128000," ",245000," "
41,2004,788,101000," ",255000," "
41,2005,788,132000," ",277052," "
41,2006,788,141800," ",286819," "
41,2007,788,142800," ",291259," "
41,2008,788,126100," ",250438," "
41,2009,788,109800," ",211673," "
41,2010,788,97600," ",189362," "
41,2011,788,84000," ",158446," "
110,1961,788,1350," ",1180," "
110,1962,788,1060," ",1080," "
110,1963,788,580," ",840," "
110,1964,788,680," ",650," "
110,1965,788,460," ",516," "
110,1966,788,0,"M",0,"M"
110,1967,788,0,"M",0,"M"
110,1968,788,0,"M",0,"M"
110,1969,788,0,"M",0,"M"
110,1970,788,0,"M",0,"M"
110,1971,788,0,"M",0,"M"
110,1972,788,0,"M",0,"M"
110,1973,788,0,"M",0,"M"
110,1974,788,0,"M",0,"M"
110,1975,788,0,"M",0,"M"
110,1976,788,0,"M",0,"M"
110,1977,788,0,"M",0,"M"
110,1978,788,0,"M",0,"M"
110,1979,788,0,"M",0,"M"
110,1980,788,0,"M",0,"M"
110,1981,788,0,"M",0,"M"
110,1982,788,0,"M",0,"M"
110,1983,788,0,"M",0,"M"
110,1984,788,0,"M",0,"M"
110,1985,788,0,"M",0,"M"
110,1986,788,0,"M",0,"M"
110,1987,788,0,"M",0,"M"
110,1988,788,0,"M",0,"M"
110,1989,788,0,"M",0,"M"
110,1990,788,0,"M",0,"M"
110,1991,788,0,"M",0,"M"
110,1992,788,0,"M",0,"M"
110,1993,788,0,"M",0,"M"
110,1994,788,0,"M",0,"M"
110,1995,788,0,"M",0,"M"
110,1996,788,0,"M",0,"M"
110,1997,788,0,"M",0,"M"
110,1998,788,0,"M",0,"M"
110,1999,788,0,"M",0,"M"
110,2000,788,0,"M",0,"M"
110,2001,788,0,"M",0,"M"
110,2002,788,0,"M",0,"M"
110,2003,788,0,"M",0,"M"
110,2004,788,0,"M",0,"M"
110,2005,788,0,"M",0,"M"
110,2006,788,0,"M",0,"M"
110,2007,788,0,"M",0,"M"
110,2008,788,0,"M",0,"M"
110,2009,788,0,"M",0,"M"
110,2010,788,0,"M",0,"M"
110,2011,788,0,"M",0,"M"
117,1961,788,1319," ",700," "
117,1962,788,1430," ",848," "
117,1963,788,1514," ",992," "
117,1964,788,1548," ",866," "
117,1965,788,3136," ",1725," "
117,1966,788,3301," ",2813," "
117,1967,788,3342," ",3715," "
117,1968,788,1265," ",1662," "
117,1969,788,1445," ",1799," "
117,1970,788,864," ",1134," "
117,1971,788,895," ",1161," "
117,1972,788,821," ",948," "
117,1973,788,790," ",1155," "
