"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
4,1961,270,0," ",0," "
4,1962,270,0," ",0," "
4,1963,270,0," ",0," "
4,1964,270,0," ",0," "
4,1965,270,0," ",0," "
4,1966,270,0," ",0," "
4,1967,270,0," ",0," "
4,1968,270,0," ",0," "
4,1969,270,0," ",0," "
4,1970,270,0," ",0," "
4,1971,270,0," ",0," "
4,1972,270,0," ",0," "
4,1973,270,0," ",0," "
4,1974,270,0," ",0," "
4,1975,270,0," ",0," "
4,1976,270,0," ",0," "
4,1977,270,0," ",0," "
4,1978,270,0," ",0," "
4,1979,270,12000,"F",25000,"F"
4,1980,270,15000,"F",30000,"F"
4,1981,270,24000,"F",48060," "
4,1982,270,22000,"F",44327," "
4,1983,270,24000,"F",49576," "
4,1984,270,28000,"F",57759," "
4,1985,270,33000,"F",66098," "
4,1986,270,36000,"F",72700," "
4,1987,270,42000,"F",85711," "
4,1988,270,38000,"F",77130," "
4,1989,270,45000,"F",90395," "
4,1990,270,35000,"F",70000,"F"
4,1991,270,30000,"F",60000,"F"
4,1992,270,20000,"F",40000,"F"
4,1993,270,16000,"*",35000,"F"
4,1994,270,15000,"*",30000,"F"
4,1995,270,16000,"*",23155,"E"
4,1996,270,16000,"*",15776,"E"
4,1997,270,16000,"*",12489,"E"
4,1998,270,15000,"*",30000,"*"
4,1999,270,16000,"*",31000,"*"
4,2000,270,16000,"*",29000,"*"
4,2001,270,15000,"*",29000,"*"
4,2002,270,15000,"*",27000,"*"
4,2003,270,15000,"*",28000,"*"
4,2004,270,15000,"*",29000,"*"
4,2005,270,15000,"*",29000,"*"
4,2006,270,15000,"*",29000,"*"
4,2007,270,15000,"*",29000,"*"
4,2008,270,15342,"E",35150,"E"
4,2009,270,15649,"E",37050,"E"
4,2010,270,16788,"E",39053,"E"
4,2011,270,16343,"E",45166,"E"
9,1961,270,6900,"F",4800,"F"
9,1962,270,6400,"F",4500,"F"
9,1963,270,7600,"F",5300,"F"
9,1964,270,10500,"F",7350,"F"
9,1965,270,7900,"F",5500,"F"
9,1966,270,2800,"F",1950,"F"
9,1967,270,1600,"F",1150,"F"
9,1968,270,2400,"F",1700,"F"
9,1969,270,3000,"F",2050,"F"
9,1970,270,2000,"F",1450,"F"
9,1971,270,3800,"F",2650,"F"
9,1972,270,1950,"F",1370,"F"
9,1973,270,1300,"F",930,"F"
9,1974,270,600,"F",400,"F"
9,1975,270,210,"F",150,"F"
9,1976,270,600,"F",400,"F"
9,1977,270,2800,"F",2000,"*"
9,1978,270,4200,"F",3000,"*"
9,1979,270,5600," ",5538," "
9,1980,270,29800," ",23052," "
9,1981,270,2100," ",1600," "
9,1982,270,2000," ",2000,"F"
9,1983,270,2000,"*",2000,"*"
9,1984,270,2000,"*",2000,"*"
9,1985,270,2000,"*",2000,"*"
9,1986,270,2000,"*",2000,"*"
9,1987,270,2000,"*",2000,"*"
9,1988,270,2000,"*",2000,"*"
9,1989,270,15300," ",22800," "
9,1990,270,15000,"*",17000,"*"
9,1991,270,15700,"*",17000,"*"
9,1992,270,41825," ",57052," "
9,1993,270,19485," ",30090," "
9,1994,270,7630," ",11575," "
9,1995,270,15750," ",21316," "
9,1996,270,9220," ",9305," "
9,1997,270,4000," ",4000," "
9,1998,270,1520," ",2173," "
9,1999,270,2200," ",2200," "
9,2000,270,3725," ",6015," "
9,2001,270,8725," ",15380," "
9,2002,270,2150," ",2320," "
9,2003,270,7680," ",10450," "
9,2004,270,15876," ",20285," "
9,2005,270,16560," ",26050," "
9,2006,270,6160," ",9140," "
9,2007,270,8986," ",11230," "
9,2008,270,12716," ",20411," "
9,2009,270,39256," ",61167," "
9,2010,270,11525," ",17215," "
9,2011,270,11405," ",23335," "
10,1961,270,0," ",0," "
10,1962,270,0," ",0," "
10,1963,270,0," ",0," "
10,1964,270,0," ",0," "
10,1965,270,0," ",0," "
10,1966,270,0," ",0," "
10,1967,270,0," ",0," "
10,1968,270,1416," ",508," "
10,1969,270,4856," ",4470," "
10,1970,270,42897," ",33630," "
10,1971,270,84985," ",54614," "
10,1972,270,77142," ",25037," "
10,1973,270,16843," ",10598," "
10,1974,270,11848," ",8533," "
10,1975,270,15900," ",11937," "
10,1976,270,7719," ",8509," "
10,1977,270,19053," ",15710," "
10,1978,270,22251," ",23426," "
10,1979,270,41610," ",41131," "
10,1980,270,23550," ",17233," "
10,1981,270,15664," ",14535," "
10,1982,270,12358," ",6748," "
10,1983,270,17774," ",17194," "
10,1984,270,30022," ",32370," "
10,1985,270,74154," ",87030," "
10,1986,270,64963," ",76470," "
10,1987,270,58281," ",65914," "
10,1988,270,42916," ",58252," "
