"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
10,1961,547,395," ",2361," "
10,1962,547,395," ",2361," "
10,1963,547,365," ",1734," "
10,1964,547,367," ",1919," "
10,1965,547,338," ",1696," "
10,1966,547,317," ",1782," "
10,1967,547,286," ",1641," "
10,1968,547,229," ",1313," "
10,1969,547,240," ",1311," "
10,1970,547,255," ",1465," "
10,1971,547,282," ",1537," "
10,1972,547,258," ",1464," "
10,1973,547,254," ",1628," "
10,1974,547,227," ",1131," "
10,1975,547,203," ",1345," "
10,1976,547,173," ",759," "
10,1977,547,149," ",664," "
10,1978,547,142," ",643," "
10,1979,547,144," ",523," "
10,1980,547,144," ",656," "
10,1981,547,160," ",602," "
10,1982,547,153," ",604," "
10,1983,547,168," ",584," "
10,1984,547,141," ",431," "
10,1985,547,142," ",547," "
10,1986,547,119," ",360," "
10,1987,547,134," ",481," "
10,1988,547,149," ",517," "
10,1989,547,166," ",519," "
10,1990,547,165," ",572," "
10,1991,547,137," ",444," "
10,1992,547,151," ",482," "
10,1993,547,166," ",537," "
10,1994,547,201," ",500," "
10,1995,547,167," ",399," "
10,1996,547,173," ",370," "
10,1997,547,181," ",361," "
10,1998,547,215," ",568," "
10,1999,547,230,"F",600,"F"
10,2000,547,261,"E",634,"E"
10,2001,547,303,"E",715,"E"
10,2002,547,322,"E",723,"E"
10,2003,547,317,"E",698,"E"
10,2004,547,328,"E",736,"E"
10,2005,547,332,"E",788,"E"
10,2006,547,345,"E",760,"E"
10,2007,547,356,"E",672,"E"
10,2008,547,357,"E",754,"E"
10,2009,547,217," ",620," "
10,2010,547,210,"E",600,"E"
10,2011,547,269," ",797," "
11,1961,547,0,"M",0,"M"
11,1962,547,0,"M",0,"M"
11,1963,547,0,"M",0,"M"
11,1964,547,0,"M",0,"M"
11,1965,547,0,"M",0,"M"
11,1966,547,0,"M",0,"M"
11,1967,547,0,"M",0,"M"
11,1968,547,0,"M",0,"M"
11,1969,547,0,"M",0,"M"
11,1970,547,0,"M",0,"M"
11,1971,547,0,"M",0,"M"
11,1972,547,0,"M",0,"M"
11,1973,547,0,"M",0,"M"
11,1974,547,0,"M",0,"M"
11,1975,547,0,"M",0,"M"
11,1976,547,0,"M",0,"M"
11,1977,547,0,"M",0,"M"
11,1978,547,0,"M",0,"M"
11,1979,547,0,"M",0,"M"
11,1980,547,0,"M",0,"M"
11,1981,547,0,"M",0,"M"
11,1982,547,0,"M",0,"M"
11,1983,547,0,"M",0,"M"
11,1984,547,0,"M",0,"M"
11,1985,547,0,"M",0,"M"
11,1986,547,0,"M",0,"M"
11,1987,547,0,"M",0,"M"
11,1988,547,0,"M",0,"M"
11,1989,547,0,"M",0,"M"
11,1990,547,0,"M",0,"M"
11,1991,547,0,"M",0,"M"
11,1992,547,0,"M",0,"M"
11,1993,547,0,"M",0,"M"
11,1994,547,0,"M",0,"M"
11,1995,547,0,"M",0,"M"
11,1996,547,0,"M",0,"M"
11,1997,547,0,"M",0,"M"
11,1998,547,0,"M",0,"M"
11,1999,547,0,"M",0,"M"
11,2000,547,0,"M",0,"M"
11,2001,547,0,"M",0,"M"
11,2002,547,0,"M",0,"M"
11,2003,547,100," ",1200," "
11,2004,547,100," ",1100," "
11,2005,547,100," ",1200," "
11,2006,547,149," ",910," "
11,2007,547,174," ",1321," "
11,2008,547,156," ",1139," "
11,2009,547,156," ",1112," "
11,2010,547,177," ",1168," "
11,2011,547,177," ",1209," "
15,1961,547,0,"M",300," "
15,1962,547,0,"M",300," "
15,1963,547,0,"M",300," "
15,1964,547,0,"M",300," "
15,1965,547,0,"M",200," "
15,1966,547,0,"M",150," "
15,1967,547,0,"M",150," "
15,1968,547,0,"M",100," "
15,1969,547,0,"M",100," "
15,1970,547,0,"M",100," "
15,1971,547,0,"M",150," "
15,1972,547,0,"M",200," "
15,1973,547,0,"M",350," "
15,1974,547,0,"M",450," "
15,1975,547,0,"M",550," "
15,1976,547,0,"M",500," "
15,1977,547,0,"M",350," "
15,1978,547,0,"M",300," "
15,1979,547,0,"M",250," "
15,1980,547,0,"M",250," "
15,1981,547,0,"M",280," "
15,1982,547,0,"M",350," "
15,1983,547,0,"M",350," "
15,1984,547,0,"M",350," "
15,1985,547,80,"F",400," "
15,1986,547,80,"F",400," "
15,1987,547,80,"F",400," "
