"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
2,1961,27,210000," ",319000," "
2,1962,27,210000," ",319000," "
2,1963,27,210000," ",319000," "
2,1964,27,220000," ",380000," "
2,1965,27,220000," ",380000," "
2,1966,27,222000," ",337000," "
2,1967,27,206000," ",396000," "
2,1968,27,206000," ",402000," "
2,1969,27,206000," ",407000," "
2,1970,27,202000," ",366000," "
2,1971,27,2e+05," ",350000," "
2,1972,27,210000," ",4e+05," "
2,1973,27,210000," ",420000," "
2,1974,27,210000," ",420000," "
2,1975,27,210000," ",435000," "
2,1976,27,210000," ",448000," "
2,1977,27,210000," ",4e+05," "
2,1978,27,210000," ",428000," "
2,1979,27,206000," ",439000," "
2,1980,27,191000,"F",415000,"F"
2,1981,27,174000,"F",390000,"F"
2,1982,27,165500,"*",364000,"*"
2,1983,27,155000,"*",350000,"*"
2,1984,27,149000,"*",334000,"*"
2,1985,27,141000,"*",317000,"*"
2,1986,27,150000," ",336000," "
2,1987,27,162000,"F",324000," "
2,1988,27,180000," ",343000," "
2,1989,27,170000," ",320000," "
2,1990,27,175000," ",333000," "
2,1991,27,173000," ",335000," "
2,1992,27,175000,"*",3e+05,"*"
2,1993,27,175000,"*",3e+05,"*"
2,1994,27,180000,"*",342000,"*"
2,1995,27,170000,"*",390000,"*"
2,1996,27,175000,"*",340000,"*"
2,1997,27,180000," ",4e+05," "
2,1998,27,180000," ",450000," "
2,1999,27,140000," ",280000," "
2,2000,27,130000," ",260000," "
2,2001,27,121000," ",242000," "
2,2002,27,135000," ",388000," "
2,2003,27,145000," ",434000," "
2,2004,27,195000," ",463000," "
2,2005,27,160000," ",485000," "
2,2006,27,160000," ",540000," "
2,2007,27,170000," ",552000," "
2,2008,27,190000," ",612000," "
2,2009,27,2e+05," ",645000," "
2,2010,27,208000," ",672000," "
2,2011,27,210000," ",672000," "
3,1961,27,2967," ",4603," "
3,1962,27,3408," ",5683," "
3,1963,27,3871," ",9135," "
3,1964,27,3539," ",8173," "
3,1965,27,3933," ",10225," "
3,1966,27,3846," ",10524," "
3,1967,27,4032," ",11254," "
3,1968,27,4154," ",12807," "
3,1969,27,4366," ",14276," "
3,1970,27,5024," ",14924," "
3,1971,27,3408," ",10760," "
3,1972,27,4000,"F",12000,"F"
3,1973,27,4800," ",15168,"*"
3,1974,27,4000,"*",12000,"*"
3,1975,27,4000,"F",13500,"F"
3,1976,27,4000,"F",14000,"F"
3,1977,27,4000,"F",14400,"F"
3,1978,27,4000,"F",14800,"F"
3,1979,27,4000," ",15520," "
3,1980,27,4000," ",13000," "
3,1981,27,4000," ",13900," "
3,1982,27,4000," ",11900," "
3,1983,27,3600," ",13000," "
3,1984,27,3600,"F",12600,"F"
3,1985,27,3000," ",12000," "
3,1986,27,3000," ",11000," "
3,1987,27,3300," ",10600," "
3,1988,27,3200," ",8830," "
3,1989,27,2700," ",8450," "
3,1990,27,3000," ",7000," "
3,1991,27,800," ",2283," "
3,1992,27,240," ",960," "
3,1993,27,140," ",585," "
3,1994,27,0,"F",0,"F"
3,1995,27,0,"F",0,"F"
3,1996,27,0,"M",0,"M"
3,1997,27,0,"M",0,"M"
3,1998,27,0,"M",0,"M"
3,1999,27,0,"M",0,"M"
3,2000,27,0,"M",0,"M"
3,2001,27,0,"M",0,"M"
3,2002,27,0,"M",0,"M"
3,2003,27,0,"M",0,"M"
3,2004,27,0,"M",0,"M"
3,2005,27,0,"M",0,"M"
3,2006,27,0,"M",0,"M"
3,2007,27,0,"M",0,"M"
3,2008,27,0,"M",0,"M"
3,2009,27,0,"M",0,"M"
3,2010,27,0,"M",0,"M"
3,2011,27,0,"M",0,"M"
4,1961,27,2090," ",9512," "
