"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
18,1961,149,1620,"F",10800,"F"
18,1962,149,1680,"F",11100,"F"
18,1963,149,1710,"F",11400,"F"
18,1964,149,1740,"F",11700,"F"
18,1965,149,1800,"F",12000,"F"
18,1966,149,1830,"F",12300,"F"
18,1967,149,1890,"F",12600,"F"
18,1968,149,1920,"F",12750,"F"
18,1969,149,1950,"F",13050,"F"
18,1970,149,2010,"F",13200,"F"
18,1971,149,2040,"F",13500,"F"
18,1972,149,2100,"F",13800,"F"
18,1973,149,2130,"F",14100,"F"
18,1974,149,2160,"F",14400,"F"
18,1975,149,2190,"F",14700,"F"
18,1976,149,2220,"F",15000,"F"
18,1977,149,2250,"F",15300,"F"
18,1978,149,2280,"F",15600,"F"
18,1979,149,2310,"F",15900,"F"
18,1980,149,2370,"F",16200,"F"
18,1981,149,2400,"F",16500,"F"
18,1982,149,2430,"F",16800,"F"
18,1983,149,2460,"F",17100,"F"
18,1984,149,2500,"F",18000,"F"
18,1985,149,2600,"F",18500,"F"
18,1986,149,2600,"F",18000,"F"
18,1987,149,2650,"F",19000,"F"
18,1988,149,2700,"F",19400,"F"
18,1989,149,2700,"F",19800,"F"
18,1990,149,2687,"E",20200,"F"
18,1991,149,2779,"E",20600,"F"
18,1992,149,2993,"E",21000,"F"
18,1993,149,3137,"E",21400,"F"
18,1994,149,3188,"E",21800,"F"
18,1995,149,2800,"F",22400,"F"
18,1996,149,2986,"E",24250,"E"
18,1997,149,2850,"F",22800,"F"
18,1998,149,2856,"E",22900,"F"
18,1999,149,2950,"F",24200,"F"
18,2000,149,2816,"E",23220,"E"
18,2001,149,3000,"F",24600,"F"
18,2002,149,3054,"E",24687,"E"
18,2003,149,3100,"F",25500,"F"
18,2004,149,2568,"E",29773,"E"
18,2005,149,2620,"E",25600,"F"
18,2006,149,3150,"F",26400,"F"
18,2007,149,3016,"E",26728,"E"
18,2008,149,2752,"E",22894,"E"
18,2009,149,3000,"F",25000,"F"
18,2010,149,2307,"E",22713,"E"
18,2011,149,2349,"E",25139,"E"
19,1961,149,13000," ",43000," "
19,1962,149,13000," ",43000," "
19,1963,149,14000," ",46000," "
19,1964,149,14000," ",46000," "
19,1965,149,14000," ",47000," "
19,1966,149,14000," ",47000," "
19,1967,149,15000," ",50000," "
19,1968,149,15000," ",50000," "
19,1969,149,15000," ",51000," "
19,1970,149,16200," ",55600," "
19,1971,149,16400," ",56000," "
19,1972,149,16600," ",60000," "
19,1973,149,16500," ",45500," "
19,1974,149,17070," ",47582," "
19,1975,149,16560," ",43850," "
19,1976,149,16555," ",62885," "
19,1977,149,16950," ",58875," "
19,1978,149,13605," ",49175," "
19,1979,149,14000," ",51200," "
19,1980,149,12780," ",41420," "
19,1981,149,20580," ",65995," "
19,1982,149,19135," ",66640," "
19,1983,149,11645," ",29230," "
19,1984,149,21225," ",64410," "
19,1985,149,23605," ",72884," "
19,1986,149,25055," ",82330," "
19,1987,149,26325," ",84060," "
19,1988,149,27050," ",90392," "
19,1989,149,26720," ",89380," "
19,1990,149,23972," ",79956," "
19,1991,149,25386," ",99878," "
19,1992,149,24900," ",82500," "
19,1993,149,25600," ",88500," "
19,1994,149,25000,"F",85000,"F"
19,1995,149,23500,"F",80000,"F"
19,1996,149,22000,"F",75000,"F"
19,1997,149,20500,"F",70000,"F"
19,1998,149,21025,"E",64573,"E"
19,1999,149,20000,"F",68000,"F"
19,2000,149,19922,"E",69811,"E"
19,2001,149,19000,"F",65000,"F"
19,2002,149,19425,"E",63000,"F"
19,2003,149,17000,"F",57000,"F"
19,2004,149,14799,"*",49465,"*"
19,2005,149,15006,"*",50146,"*"
19,2006,149,13595," ",42817," "
19,2007,149,15464," ",51482," "
19,2008,149,15647," ",52031," "
19,2009,149,15833," ",51279," "
19,2010,149,16000,"F",51500,"F"
19,2011,149,16104,"E",50592,"E"
20,1961,149,6000,"F",30000,"F"
20,1962,149,6000,"F",30000,"F"
20,1963,149,6000,"F",31000,"F"
20,1964,149,6000,"F",32000,"F"
20,1965,149,6000,"F",32000,"F"
20,1966,149,6100,"F",33000,"F"
20,1967,149,6100,"F",33000,"F"
20,1968,149,6100,"F",34000,"F"
20,1969,149,6100,"F",35000,"F"
20,1970,149,6100,"F",38000,"F"
20,1971,149,6200,"F",38000,"F"
20,1972,149,6200,"F",39000,"F"
20,1973,149,6200,"F",39000,"F"
20,1974,149,6300,"F",40000,"F"
20,1975,149,6300,"F",42000,"F"
20,1976,149,6500,"F",44000,"F"
20,1977,149,6500,"F",45000,"F"
20,1978,149,7300,"F",49000,"F"
20,1979,149,7300,"F",49000,"F"
20,1980,149,7400,"F",49000,"F"
20,1981,149,7400,"F",50000,"F"
20,1982,149,7800,"F",54000,"F"
20,1983,149,7800,"F",55000,"F"
20,1984,149,7800,"F",56000,"F"
20,1985,149,8000,"F",57000,"F"
20,1986,149,8100,"F",59000,"F"
20,1987,149,8400,"F",62000,"F"
20,1988,149,8400,"F",63000,"F"
20,1989,149,8400,"F",63000,"F"
20,1990,149,8800,"F",66000,"F"
20,1991,149,9162,"E",67000,"F"
20,1992,149,9500,"F",72000,"F"
20,1993,149,8872,"E",72500,"F"
20,1994,149,9700,"F",75000,"F"
20,1995,149,9900,"F",77000,"F"
20,1996,149,6568,"E",78000,"F"
20,1997,149,10300,"F",80000,"F"
20,1998,149,11000,"F",83000,"F"
20,1999,149,11573,"E",84000,"F"
20,2000,149,10947,"E",85000,"F"
20,2001,149,12000,"F",92000,"F"
20,2002,149,12257,"E",93000,"F"
20,2003,149,12457,"E",84613,"E"
20,2004,149,13002,"E",101484,"E"
20,2005,149,13217,"E",99714,"E"
20,2006,149,13307,"E",93500,"F"
20,2007,149,13454,"E",94000,"F"
20,2008,149,13375,"E",90000,"F"
20,2009,149,7999,"E",83175,"E"
20,2010,149,8247,"E",92934,"E"
20,2011,149,8492,"E",97037,"E"
23,1961,149,100,"F",1600,"F"
23,1962,149,100,"F",1700,"F"
23,1963,149,110,"F",2000,"F"
23,1964,149,120,"F",2100,"F"
23,1965,149,130,"F",2200,"F"
23,1966,149,140,"F",2300,"F"
23,1967,149,145," ",2400,"F"
23,1968,149,129," ",2200,"F"
23,1969,149,76," ",1350,"F"
23,1970,149,78,"F",1350,"F"
23,1971,149,80,"F",1400,"F"
23,1972,149,85,"F",1500,"F"
23,1973,149,87," ",1560," "
23,1974,149,81," ",1452," "
23,1975,149,100,"F",1900,"F"
23,1976,149,120,"F",2300,"F"
23,1977,149,130,"F",2600,"F"
23,1978,149,140,"F",2800,"F"
23,1979,149,140,"F",2800,"F"
23,1980,149,145,"F",2900,"F"
23,1981,149,145,"F",2900,"F"
23,1982,149,150,"F",3000,"F"
23,1983,149,150,"F",3000,"F"
23,1984,149,150,"F",3000,"F"
23,1985,149,150,"F",3000,"F"
23,1986,149,160,"F",3500,"F"
23,1987,149,160,"F",3500,"F"
23,1988,149,160,"F",3500,"F"
23,1989,149,6," ",87," "
23,1990,149,4," ",48," "
23,1991,149,25," ",49," "
23,1992,149,18," ",221," "
23,1993,149,16," ",202," "
23,1994,149,6," ",69," "
23,1995,149,2," ",68," "
23,1996,149,4," ",50," "
23,1997,149,3,"F",20,"F"
23,1998,149,2," ",8," "
23,1999,149,4," ",14," "
23,2000,149,4," ",12," "
23,2001,149,4," ",15," "
23,2002,149,5,"F",56," "
23,2003,149,6,"F",77," "
23,2004,149,6,"F",69," "
23,2005,149,10,"F",110," "
23,2006,149,17," ",171," "
23,2007,149,11," ",129," "
23,2008,149,22," ",199," "
23,2009,149,21," ",186," "
23,2010,149,20,"F",180,"F"
23,2011,149,20,"F",171,"E"
26,1961,149,100,"F",300,"F"
26,1962,149,100,"F",300,"F"
26,1963,149,142," ",363," "
26,1964,149,142," ",22," "
26,1965,149,160," ",59," "
26,1966,149,671," ",966," "
26,1967,149,672," ",967," "
26,1968,149,673," ",1036," "
26,1969,149,675," ",1014," "
26,1970,149,675," ",682," "
26,1971,149,450,"F",300,"F"
26,1972,149,400,"F",350,"F"
26,1973,149,450," ",400,"F"
26,1974,149,579," ",577," "
26,1975,149,537," ",631," "
26,1976,149,542," ",729," "
26,1977,149,629," ",613," "
26,1978,149,747," ",381," "
26,1979,149,739," ",418," "
26,1980,149,739," ",311," "
26,1981,149,554," ",16," "
26,1982,149,499," ",12," "
26,1983,149,495," ",740," "
26,1984,149,493," ",1133," "
26,1985,149,448," ",214," "
26,1986,149,500,"F",500,"F"
26,1987,149,450,"F",450,"F"
26,1988,149,400,"F",400,"F"
26,1989,149,350,"F",350,"F"
26,1990,149,329,"E",315,"E"
26,1991,149,300,"F",300,"F"
26,1992,149,309,"E",307,"E"
26,1993,149,311,"E",303,"E"
26,1994,149,302,"E",310,"E"
26,1995,149,280,"F",280,"F"
26,1996,149,282,"E",286,"E"
26,1997,149,300,"F",300,"F"
26,1998,149,320,"F",320,"F"
26,1999,149,334,"E",349,"E"
